"","gene","breadth"
"1","PF3D7_0103100",3
"2","PF3D7_0103400",5
"3","PF3D7_0104000",1
"4","PF3D7_0104100",1
"5","PF3D7_0104200",3
"6","PF3D7_0104300",2
"7","PF3D7_0104400",1
"8","PF3D7_0105700",5
"9","PF3D7_0106100",2
"10","PF3D7_0106200",1
"11","PF3D7_0106500",3
"12","PF3D7_0106800",1
"13","PF3D7_0106900",2
"14","PF3D7_0107000",4
"15","PF3D7_0107300",1
"16","PF3D7_0107700",1
"17","PF3D7_0107800",1
"18","PF3D7_0108100",2
"19","PF3D7_0108600",1
"20","PF3D7_0108800",1
"21","PF3D7_0109300",1
"22","PF3D7_0109400",1
"23","PF3D7_0109850",2
"24","PF3D7_0109950",1
"25","PF3D7_0110100",1
"26","PF3D7_0110500",2
"27","PF3D7_0111300",2
"28","PF3D7_0111600",1
"29","PF3D7_0111800",1
"30","PF3D7_0112000",1
"31","PF3D7_0112100",1
"32","PF3D7_0112200",1
"33","PF3D7_0113200",2
"34","PF3D7_0113400",1
"35","PF3D7_0113800",1
"36","PF3D7_0113900",1
"37","PF3D7_0114000",1
"38","PF3D7_0115100",1
"39","PF3D7_0201500",1
"40","PF3D7_0201900",2
"41","PF3D7_0202000",2
"42","PF3D7_0202600",2
"43","PF3D7_0203100",1
"44","PF3D7_0203300",1
"45","PF3D7_0203400",2
"46","PF3D7_0203600",1
"47","PF3D7_0203700",1
"48","PF3D7_0204000",1
"49","PF3D7_0204200",4
"50","PF3D7_0204300",2
"51","PF3D7_0205000",1
"52","PF3D7_0205100",1
"53","PF3D7_0205600",1
"54","PF3D7_0205900",5
"55","PF3D7_0206000",1
"56","PF3D7_0206500",1
"57","PF3D7_0206800",2
"58","PF3D7_0208400",3
"59","PF3D7_0208700",2
"60","PF3D7_0209000",1
"61","PF3D7_0209200",1
"62","PF3D7_0209800",2
"63","PF3D7_0210100",2
"64","PF3D7_0210400",1
"65","PF3D7_0210500",1
"66","PF3D7_0210600",2
"67","PF3D7_0210900",1
"68","PF3D7_0211400",1
"69","PF3D7_0211700",1
"70","PF3D7_0211800",2
"71","PF3D7_0212000",2
"72","PF3D7_0212300",1
"73","PF3D7_0212700",1
"74","PF3D7_0212900",1
"75","PF3D7_0213100",2
"76","PF3D7_0213400",1
"77","PF3D7_0213500",1
"78","PF3D7_0213600",1
"79","PF3D7_0213800",1
"80","PF3D7_0214400",1
"81","PF3D7_0214700",1
"82","PF3D7_0214900",1
"83","PF3D7_0215200",1
"84","PF3D7_0215600",1
"85","PF3D7_0215700",1
"86","PF3D7_0215800",1
"87","PF3D7_0216000",2
"88","PF3D7_0216500",3
"89","PF3D7_0216700",2
"90","PF3D7_0217100",3
"91","PF3D7_0217600",3
"92","PF3D7_0217700",1
"93","PF3D7_0217800",2
"94","PF3D7_0217900",2
"95","PF3D7_0218000",2
"96","PF3D7_0218300",1
"97","PF3D7_0218500",2
"98","PF3D7_0218600",2
"99","PF3D7_0219500",1
"100","PF3D7_0220000",1
"101","PF3D7_0220800",1
"102","PF3D7_0302100",1
"103","PF3D7_0302200",1
"104","PF3D7_0302600",1
"105","PF3D7_0302900",2
"106","PF3D7_0303100",1
"107","PF3D7_0303400",1
"108","PF3D7_0304100",1
"109","PF3D7_0304400",1
"110","PF3D7_0304500",1
"111","PF3D7_0304600",1
"112","PF3D7_0304700",1
"113","PF3D7_0304800",2
"114","PF3D7_0306200",1
"115","PF3D7_0306900",2
"116","PF3D7_0307300",1
"117","PF3D7_0307600",2
"118","PF3D7_0307900",1
"119","PF3D7_0308100",4
"120","PF3D7_0308700",2
"121","PF3D7_0308900",2
"122","PF3D7_0309200",5
"123","PF3D7_0309500",1
"124","PF3D7_0309600",4
"125","PF3D7_0309800",1
"126","PF3D7_0309900",3
"127","PF3D7_0310100",1
"128","PF3D7_0310300",1
"129","PF3D7_0310500",2
"130","PF3D7_0310900",1
"131","PF3D7_0311200",2
"132","PF3D7_0311400",2
"133","PF3D7_0311600",1
"134","PF3D7_0312100",1
"135","PF3D7_0312300",1
"136","PF3D7_0312900",1
"137","PF3D7_0313100",1
"138","PF3D7_0313400",2
"139","PF3D7_0313500",1
"140","PF3D7_0313600",3
"141","PF3D7_0313700",3
"142","PF3D7_0313900",1
"143","PF3D7_0314200",2
"144","PF3D7_0315200",1
"145","PF3D7_0315300",1
"146","PF3D7_0315400",2
"147","PF3D7_0315600",1
"148","PF3D7_0316400",1
"149","PF3D7_0316700",1
"150","PF3D7_0316800",2
"151","PF3D7_0316900",1
"152","PF3D7_0317400",1
"153","PF3D7_0317800",2
"154","PF3D7_0318000",1
"155","PF3D7_0318200",2
"156","PF3D7_0318900",2
"157","PF3D7_0319200",1
"158","PF3D7_0319400",2
"159","PF3D7_0319500",1
"160","PF3D7_0319900",1
"161","PF3D7_0320200",2
"162","PF3D7_0320400",1
"163","PF3D7_0320500",1
"164","PF3D7_0320700",4
"165","PF3D7_0320800",1
"166","PF3D7_0321400",1
"167","PF3D7_0321600",3
"168","PF3D7_0322000",2
"169","PF3D7_0322300",2
"170","PF3D7_0322400",1
"171","PF3D7_0322600",1
"172","PF3D7_0322700",2
"173","PF3D7_0322900",2
"174","PF3D7_0323000",2
"175","PF3D7_0323200",3
"176","PF3D7_0323800",2
"177","PF3D7_0402000",1
"178","PF3D7_0403200",2
"179","PF3D7_0403300",1
"180","PF3D7_0403400",2
