,country,stage,excluded_gene,Q,alpha,omega,adaptive_divergence,neutral_divergence,selected_divergence
0,ghana,sporozoite,PF3D7_1354700,0.0009884713,0.565164,0.279969,0.002608,0.009314,0.004614
1,ghana,sporozoite,PF3D7_1023800,0.0009913535,0.53452,0.248078,0.002506,0.0101,0.004688
2,ghana,sporozoite,PF3D7_1137800,0.0009845408,0.524646,0.236799,0.002445,0.010325,0.00466
3,ghana,sporozoite,PF3D7_0902900,0.0009869064,0.494638,0.210503,0.002226,0.010575,0.0045
4,ghana,sporozoite,PF3D7_0304700,0.000988966,0.522566,0.235889,0.002426,0.010284,0.004642
5,ghana,sporozoite,PF3D7_0407600,0.00099537,0.520377,0.235342,0.002391,0.01016,0.004595
6,ghana,sporozoite,PF3D7_1468400,0.000992076,0.503137,0.218923,0.002343,0.010701,0.004656
7,ghana,sporozoite,PF3D7_1201300,0.0009876585,0.501496,0.216522,0.00229,0.010576,0.004566
8,ghana,sporozoite,PF3D7_0829600,0.0009865504,0.533801,0.246164,0.002494,0.010131,0.004672
9,ghana,sporozoite,PF3D7_1475400,0.0009855424,0.546388,0.258696,0.002275,0.008795,0.004164
10,ghana,sporozoite,PF3D7_1131900,0.0009892621,0.570101,0.285887,0.002921,0.010216,0.005123
11,ghana,sporozoite,PF3D7_0212600,0.0009873211,0.532983,0.245548,0.00259,0.01055,0.00486
12,ghana,sporozoite,PF3D7_1444700,0.000987466,0.529143,0.241826,0.002448,0.010125,0.004627
13,ghana,sporozoite,PF3D7_1408300,0.0009876141,0.521956,0.234991,0.002433,0.010352,0.00466
14,ghana,sporozoite,PF3D7_0421800,0.0009882127,0.52199,0.235165,0.00247,0.010504,0.004732
15,ghana,sporozoite,PF3D7_1017500,0.0009883725,0.522154,0.235358,0.002428,0.010315,0.004649
16,ghana,sporozoite,PF3D7_0629300,0.0009835717,0.603995,0.326916,0.00288,0.008809,0.004768
17,ghana,sporozoite,PF3D7_0202100,0.000988443,0.489848,0.206828,0.002214,0.010706,0.00452
18,ghana,sporozoite,PF3D7_1476100,0.0009878305,0.535069,0.247743,0.002505,0.01011,0.004681
19,ghana,sporozoite,PF3D7_1302200,0.0009870432,0.533779,0.246265,0.002586,0.010501,0.004845
20,ghana,sporozoite,PF3D7_0830300,0.000987621,0.389065,0.137061,0.001518,0.011074,0.003901
21,ghana,sporozoite,PF3D7_1132100,0.0009897426,0.505977,0.220904,0.00234,0.010591,0.004624
22,ghana,sporozoite,PF3D7_0901500,0.0009879909,0.522166,0.235278,0.002437,0.010359,0.004668
23,ghana,sporozoite,PF3D7_1352900,0.0009853594,0.525085,0.237413,0.002435,0.010255,0.004637
24,ghana,ring,PF3D7_0708400,8.44773e-05,0.900414,0.164997,0.002331,0.01413,0.002589
25,ghana,ring,PF3D7_0802000,8.46276e-05,0.900669,0.165762,0.002256,0.013608,0.002505
26,ghana,ring,PF3D7_1451200,8.43655e-05,0.900915,0.165705,0.002202,0.013289,0.002444
27,ghana,ring,PF3D7_0107500,8.45844e-05,0.900669,0.165679,0.002203,0.013294,0.002446
28,ghana,ring,PF3D7_1404900,8.43897e-05,0.903338,0.170363,0.002269,0.013317,0.002512
29,ghana,ring,PF3D7_0619200,8.43347e-05,0.901237,0.166244,0.00231,0.013895,0.002563
30,ghana,ring,PF3D7_1121700,8.4462e-05,0.902495,0.168879,0.002349,0.013908,0.002602
31,ghana,ring,PF3D7_0706500,8.40415e-05,0.924246,0.2215,0.002094,0.009453,0.002265
32,ghana,ring,PF3D7_1464600,8.44491e-05,0.907977,0.179998,0.002366,0.013147,0.002606
33,ghana,ring,PF3D7_1420700,8.43812e-05,0.897256,0.159184,0.002207,0.013865,0.00246
34,ghana,ring,PF3D7_0417300,8.43931e-05,0.900052,0.16417,0.002209,0.013456,0.002454
35,ghana,ring,PF3D7_0409100,8.44913e-05,0.901278,0.166628,0.002193,0.01316,0.002433
36,ghana,ring,PF3D7_1116700,8.45435e-05,0.898991,0.162543,0.002218,0.013646,0.002467
37,ghana,ring,PF3D7_0911900,8.45004e-05,0.899865,0.164038,0.00221,0.013472,0.002456
38,ghana,ring,PF3D7_1022500,8.45255e-05,0.899231,0.16294,0.002298,0.014102,0.002555
39,ghana,ring,PF3D7_1445600,8.43824e-05,0.896054,0.157136,0.002197,0.013984,0.002452
40,ghana,ring,PF3D7_1446900,8.45375e-05,0.899806,0.164003,0.00221,0.013477,0.002456
41,ghana,ring,PF3D7_1308500,8.44235e-05,0.904119,0.171969,0.002255,0.013111,0.002494
42,ghana,ring,PF3D7_0103900,8.44334e-05,0.903931,0.171618,0.002288,0.013332,0.002531
43,ghana,ring,PF3D7_1017800,8.43693e-05,0.90055,0.165036,0.002205,0.013362,0.002449
44,ghana,ring,PF3D7_1336400,8.44232e-05,0.899766,0.163708,0.002211,0.013508,0.002458
45,ghana,ring,PF3D7_1336600,8.44721e-05,0.898267,0.16112,0.002199,0.013647,0.002448
46,ghana,ring,PF3D7_0317100,8.44805e-05,0.898403,0.161377,0.002235,0.01385,0.002488
47,ghana,ring,PF3D7_1313100,8.42371e-05,0.841776,0.096811,0.001328,0.013714,0.001577
48,ghana,trophozoite,PF3D7_1359600,4.86394e-05,0.947657,0.190317,0.003682,0.019347,0.003885
49,ghana,trophozoite,PF3D7_0909600,4.8778e-05,0.952516,0.21147,0.003989,0.018862,0.004188
50,ghana,trophozoite,PF3D7_1235300,4.8617e-05,0.956255,0.229682,0.004246,0.018485,0.00444
51,ghana,trophozoite,PF3D7_1136000,4.84063e-05,0.953393,0.214003,0.003978,0.018587,0.004172
52,ghana,trophozoite,PF3D7_0305000,4.87555e-05,0.952502,0.211305,0.003989,0.01888,0.004188
53,ghana,trophozoite,PF3D7_0826100,4.92248e-05,0.954147,0.221371,0.003947,0.017828,0.004136
54,ghana,trophozoite,PF3D7_1456000,4.86225e-05,0.952798,0.212114,0.003986,0.018792,0.004183
55,ghana,trophozoite,PF3D7_1445000,4.87558e-05,0.95232,0.210457,0.004016,0.019083,0.004217
56,ghana,trophozoite,PF3D7_1417600,4.86006e-05,0.956609,0.231567,0.004249,0.018348,0.004442
57,ghana,trophozoite,PF3D7_0629700,4.8539e-05,0.957511,0.236404,0.003729,0.015776,0.003895
