,country,stage,excluded_gene,Q,alpha,omega,adaptive_divergence,neutral_divergence,selected_divergence
0,ghana,sporozoite,PF3D7_1354700,0.0011637935,0.412185,0.179291,0.011031,0.061523,0.026761
1,ghana,sporozoite,PF3D7_1023800,0.0011764794,0.369183,0.15127,0.009088,0.060079,0.024617
2,ghana,sporozoite,PF3D7_1137800,0.0011501296,0.424525,0.186403,0.011174,0.059944,0.02632
3,ghana,sporozoite,PF3D7_0902900,0.0011581544,0.418205,0.182901,0.010833,0.059228,0.025903
4,ghana,sporozoite,PF3D7_0304700,0.0011663526,0.416119,0.182622,0.010944,0.059925,0.026299
5,ghana,sporozoite,PF3D7_0407600,0.0011892834,0.404282,0.177321,0.010611,0.05984,0.026246
6,ghana,sporozoite,PF3D7_1468400,0.0011677712,0.43519,0.197681,0.012035,0.060881,0.027655
7,ghana,sporozoite,PF3D7_1201300,0.0011610496,0.416896,0.182374,0.011047,0.060576,0.026499
8,ghana,sporozoite,PF3D7_0829600,0.0011543878,0.405843,0.173236,0.010574,0.061035,0.026053
9,ghana,sporozoite,PF3D7_1475400,0.0011966755,0.401758,0.17656,0.01036,0.05868,0.025788
10,ghana,sporozoite,PF3D7_1131900,0.0011728784,0.423364,0.189189,0.011377,0.060134,0.026872
11,ghana,sporozoite,PF3D7_0212600,0.0011559676,0.441524,0.200782,0.012082,0.060176,0.027365
12,ghana,sporozoite,PF3D7_1444700,0.0011625951,0.405866,0.174484,0.01079,0.061839,0.026585
13,ghana,sporozoite,PF3D7_1408300,0.0011629489,0.407711,0.175877,0.010803,0.061423,0.026497
14,ghana,sporozoite,PF3D7_0421800,0.0011636344,0.424082,0.18825,0.011285,0.059946,0.02661
15,ghana,sporozoite,PF3D7_1017500,0.0011623109,0.412751,0.179481,0.011016,0.061378,0.02669
16,ghana,sporozoite,PF3D7_0629300,0.0011369185,0.505418,0.255254,0.013788,0.054017,0.027281
17,ghana,sporozoite,PF3D7_0202100,0.0011593558,0.404694,0.173155,0.010494,0.060603,0.02593
18,ghana,sporozoite,PF3D7_1476100,0.0011624273,0.406201,0.174702,0.010653,0.060979,0.026226
19,ghana,sporozoite,PF3D7_1302200,0.0011608162,0.434367,0.195846,0.011625,0.059356,0.026762
20,ghana,sporozoite,PF3D7_0830300,0.0011601866,0.401538,0.17102,0.010283,0.060126,0.025608
21,ghana,sporozoite,PF3D7_1132100,0.0011721996,0.398865,0.170878,0.009291,0.054373,0.023294
22,ghana,sporozoite,PF3D7_0901500,0.001163089,0.417728,0.18332,0.010997,0.059989,0.026326
23,ghana,sporozoite,PF3D7_1352900,0.0011533104,0.42296,0.185724,0.011122,0.059884,0.026295
24,ghana,ring,PF3D7_0708400,8.06338e-05,0.910062,0.181296,0.012752,0.070336,0.014012
25,ghana,ring,PF3D7_0802000,8.10183e-05,0.91344,0.189971,0.011706,0.061619,0.012815
26,ghana,ring,PF3D7_1451200,8.04295e-05,0.904709,0.169675,0.012109,0.071364,0.013384
27,ghana,ring,PF3D7_0107500,8.08638e-05,0.904229,0.169645,0.012103,0.071345,0.013385
28,ghana,ring,PF3D7_1404900,8.03898e-05,0.905254,0.170669,0.012325,0.072213,0.013615
29,ghana,ring,PF3D7_0619200,8.01581e-05,0.907339,0.174406,0.012495,0.071641,0.013771
30,ghana,ring,PF3D7_1121700,8.04857e-05,0.904128,0.168657,0.012588,0.074637,0.013923
31,ghana,ring,PF3D7_0706500,7.98992e-05,0.903271,0.165786,0.01173,0.070755,0.012986
32,ghana,ring,PF3D7_1464600,8.05093e-05,0.904982,0.170383,0.012694,0.074505,0.014027
33,ghana,ring,PF3D7_1420700,8.05277e-05,0.901586,0.163923,0.01164,0.071009,0.012911
34,ghana,ring,PF3D7_0417300,8.02988e-05,0.904737,0.169453,0.012118,0.071511,0.013394
35,ghana,ring,PF3D7_0409100,8.05758e-05,0.908087,0.176889,0.012274,0.06939,0.013517
36,ghana,ring,PF3D7_1116700,8.08188e-05,0.906668,0.174452,0.012442,0.071321,0.013723
37,ghana,ring,PF3D7_0911900,8.07011e-05,0.904289,0.169421,0.012113,0.071496,0.013395
38,ghana,ring,PF3D7_1022500,8.06649e-05,0.902802,0.16648,0.012396,0.074458,0.01373
39,ghana,ring,PF3D7_1445600,8.03806e-05,0.906057,0.17226,0.012229,0.070992,0.013497
40,ghana,ring,PF3D7_1446900,8.06515e-05,0.904335,0.169408,0.012114,0.071508,0.013395
41,ghana,ring,PF3D7_1308500,8.03098e-05,0.901888,0.164037,0.011959,0.072906,0.01326
42,ghana,ring,PF3D7_0103900,8.03741e-05,0.905361,0.170849,0.011773,0.068911,0.013004
43,ghana,ring,PF3D7_1017800,7.99143e-05,0.905212,0.169576,0.01212,0.07147,0.013389
44,ghana,ring,PF3D7_1336400,8.03898e-05,0.904605,0.169386,0.012119,0.071546,0.013397
45,ghana,ring,PF3D7_1336600,8.05117e-05,0.903904,0.168275,0.012157,0.072246,0.01345
46,ghana,ring,PF3D7_0317100,8.05086e-05,0.901736,0.164161,0.011799,0.071872,0.013084
47,ghana,ring,PF3D7_1313100,7.93347e-05,0.88923,0.141514,0.010766,0.076075,0.012107
48,ghana,trophozoite,PF3D7_1359600,4.77977e-05,0.963232,0.274354,0.01618,0.058976,0.016798
49,ghana,trophozoite,PF3D7_0909600,4.78657e-05,0.965341,0.292096,0.016629,0.056931,0.017226
50,ghana,trophozoite,PF3D7_1235300,4.76424e-05,0.966267,0.299008,0.016386,0.0548,0.016958
51,ghana,trophozoite,PF3D7_1136000,4.7062e-05,0.966018,0.293119,0.016627,0.056723,0.017212
52,ghana,trophozoite,PF3D7_0305000,4.78931e-05,0.965315,0.292036,0.01663,0.056944,0.017227
53,ghana,trophozoite,PF3D7_0826100,4.86346e-05,0.968678,0.329542,0.018619,0.056501,0.019222
54,ghana,trophozoite,PF3D7_1456000,4.75657e-05,0.96558,0.292353,0.01663,0.056882,0.017222
55,ghana,trophozoite,PF3D7_1445000,4.77953e-05,0.965463,0.292738,0.016792,0.057361,0.017392
56,ghana,trophozoite,PF3D7_1417600,4.75743e-05,0.96397,0.278878,0.016604,0.059537,0.017224
57,ghana,trophozoite,PF3D7_0629700,4.69936e-05,0.9681,0.312473,0.015643,0.050061,0.016158
58,ghana,trophozoite,PF3D7_0104100,4.80638e-05,0.965101,0.291215,0.016232,0.05574,0.016819
59,ghana,trophozoite,PF3D7_1212800,4.78326e-05,0.965562,0.293836,0.016771,0.057075,0.017369
60,ghana,trophozoite,PF3D7_1021900,4.76641e-05,0.964294,0.282033,0.016526,0.058596,0.017138
61,ghana,trophozoite,PF3D7_1132000,4.78755e-05,0.964778,0.28732,0.016583,0.057716,0.017189
62,ghana,trophozoite,PF3D7_1238000,4.78379e-05,0.965473,0.293083,0.01669,0.056948,0.017287
63,ghana,trophozoite,PF3D7_0931600,4.76807e-05,0.965582,0.293085,0.01676,0.057186,0.017358
64,ghana,schizont,PF3D7_0303200,0.0001444774,0.843835,0.170673,0.012615,0.073915,0.01495
65,ghana,schizont,PF3D7_0217500,0.0001445779,0.846006,0.173645,0.012608,0.072605,0.014902
66,ghana,schizont,PF3D7_0508100,0.0001444038,0.842705,0.169133,0.012308,0.072769,0.014605
67,ghana,schizont,PF3D7_1327400,0.0001446326,0.842088,0.168616,0.012442,0.073788,0.014775
68,ghana,schizont,PF3D7_0404900,0.0001445409,0.839422,0.165187,0.012149,0.073545,0.014473
69,ghana,schizont,PF3D7_0317300,0.0001448716,0.841826,0.168563,0.012367,0.073368,0.014691
