,country,stage,excluded_gene,Q,alpha,omega,adaptive_divergence,neutral_divergence,selected_divergence
0,drc,sporozoite,PF3D7_1354700,0.0019324783,-0.392662,-0.129351,-0.010535,0.081447,0.02683
1,drc,sporozoite,PF3D7_1023800,0.0019373234,-0.453068,-0.143404,-0.011186,0.078005,0.02469
2,drc,sporozoite,PF3D7_1137800,0.0019245169,-0.379664,-0.125727,-0.010018,0.079679,0.026386
3,drc,sporozoite,PF3D7_0902900,0.001929178,-0.38823,-0.12808,-0.010082,0.078719,0.02597
4,drc,sporozoite,PF3D7_0304700,0.0019333035,-0.386406,-0.127919,-0.010189,0.079654,0.026369
5,drc,sporozoite,PF3D7_0407600,0.0019448675,-0.395734,-0.13091,-0.010417,0.079578,0.026324
6,drc,sporozoite,PF3D7_1468400,0.0019389009,-0.340729,-0.116978,-0.009447,0.080762,0.027727
7,drc,sporozoite,PF3D7_1201300,0.0019304352,-0.390505,-0.128703,-0.010374,0.080607,0.026567
8,drc,sporozoite,PF3D7_0829600,0.0019285667,-0.424809,-0.136506,-0.011096,0.081285,0.02612
9,drc,sporozoite,PF3D7_1475400,0.0019259109,-0.389534,-0.128172,-0.010092,0.078738,0.025908
10,drc,sporozoite,PF3D7_1131900,0.0019334042,-0.345226,-0.117791,-0.009302,0.07897,0.026945
11,drc,sporozoite,PF3D7_0212600,0.0019298083,-0.35159,-0.119175,-0.009645,0.080929,0.027432
12,drc,sporozoite,PF3D7_1444700,0.0019301587,-0.396475,-0.130094,-0.010567,0.081227,0.026653
13,drc,sporozoite,PF3D7_1408300,0.0019306848,-0.399154,-0.130758,-0.010603,0.081091,0.026564
14,drc,sporozoite,PF3D7_0421800,0.0019314315,-0.382416,-0.12684,-0.010202,0.080431,0.026678
15,drc,sporozoite,PF3D7_1017500,0.0019319895,-0.395999,-0.130105,-0.010596,0.081441,0.026757
16,drc,sporozoite,PF3D7_0629300,0.0019226875,-0.23909,-0.088074,-0.006538,0.074237,0.027347
17,drc,sporozoite,PF3D7_0202100,0.0019317852,-0.412855,-0.134011,-0.010733,0.080093,0.025998
18,drc,sporozoite,PF3D7_1476100,0.0019304262,-0.380213,-0.126245,-0.009997,0.07919,0.026294
19,drc,sporozoite,PF3D7_1302200,0.0019290864,-0.386455,-0.127651,-0.010369,0.081226,0.02683
20,drc,sporozoite,PF3D7_0830300,0.0019303264,-0.44499,-0.141123,-0.011426,0.080964,0.025677
21,drc,sporozoite,PF3D7_1132100,0.0019342169,-0.412275,-0.134046,-0.009634,0.071872,0.023368
22,drc,sporozoite,PF3D7_0901500,0.0019311164,-0.384362,-0.127286,-0.010145,0.0797,0.026394
23,drc,sporozoite,PF3D7_1352900,0.0019261328,-0.381256,-0.126214,-0.010051,0.079636,0.026363
24,drc,ring,PF3D7_0708400,0.000194257,0.752587,0.139853,0.010527,0.075272,0.013988
25,drc,ring,PF3D7_0802000,0.00019438,0.747458,0.136165,0.00956,0.070208,0.01279
26,drc,ring,PF3D7_1451200,0.0001942132,0.733277,0.126371,0.009795,0.077514,0.013358
27,drc,ring,PF3D7_0107500,0.0001943436,0.733116,0.126352,0.009794,0.077517,0.01336
28,drc,ring,PF3D7_1404900,0.0001942374,0.736396,0.128426,0.010008,0.077928,0.013591
29,drc,ring,PF3D7_0619200,0.0001941992,0.736168,0.12825,0.010119,0.0789,0.013745
30,drc,ring,PF3D7_1121700,0.0001943007,0.733794,0.126763,0.010198,0.080453,0.013898
31,drc,ring,PF3D7_0706500,0.0001940171,0.725324,0.121259,0.009401,0.077526,0.012961
32,drc,ring,PF3D7_1464600,0.0001942854,0.732786,0.126102,0.01026,0.081366,0.014002
33,drc,ring,PF3D7_1420700,0.0001942553,0.721317,0.119001,0.009295,0.078107,0.012886
34,drc,ring,PF3D7_0417300,0.000194208,0.733174,0.126301,0.009802,0.077608,0.013369
35,drc,ring,PF3D7_0409100,0.0001943007,0.741338,0.131802,0.010002,0.07589,0.013492
36,drc,ring,PF3D7_1116700,0.0001943232,0.743622,0.1334,0.010186,0.07636,0.013698
37,drc,ring,PF3D7_0911900,0.0001942762,0.733081,0.126285,0.009802,0.077617,0.013371
38,drc,ring,PF3D7_1022500,0.0001943044,0.732047,0.125639,0.010034,0.07986,0.013706
39,drc,ring,PF3D7_1445600,0.0001942419,0.733327,0.126422,0.00988,0.07815,0.013473
40,drc,ring,PF3D7_1446900,0.0001943089,0.733036,0.126278,0.009802,0.07762,0.013371
41,drc,ring,PF3D7_1308500,0.000194262,0.728504,0.123373,0.009642,0.078158,0.013236
42,drc,ring,PF3D7_0103900,0.000194264,0.735167,0.127634,0.009542,0.074762,0.01298
43,drc,ring,PF3D7_1017800,0.0001942185,0.733223,0.126339,0.009798,0.077555,0.013363
44,drc,ring,PF3D7_1336400,0.0001942375,0.733102,0.126274,0.009804,0.077637,0.013373
45,drc,ring,PF3D7_1336600,0.0001942474,0.733067,0.126258,0.009842,0.077951,0.013426
46,drc,ring,PF3D7_0317100,0.000194273,0.731016,0.124961,0.009547,0.076397,0.013059
47,drc,ring,PF3D7_1313100,0.0001941383,0.687646,0.101156,0.008305,0.082106,0.012078
48,drc,trophozoite,PF3D7_1359600,0.000126644,0.860735,0.180295,0.014456,0.080182,0.016795
49,drc,trophozoite,PF3D7_0909600,0.0001267266,0.866684,0.189765,0.014928,0.078664,0.017224
50,drc,trophozoite,PF3D7_1235300,0.0001265995,0.869051,0.193528,0.014735,0.076137,0.016955
51,drc,trophozoite,PF3D7_1136000,0.0001264531,0.867132,0.190092,0.014922,0.078499,0.017208
52,drc,trophozoite,PF3D7_0305000,0.0001267145,0.866685,0.189749,0.014928,0.078675,0.017225
53,drc,trophozoite,PF3D7_0826100,0.0001270783,0.881316,0.217361,0.016938,0.077924,0.019219
54,drc,trophozoite,PF3D7_1456000,0.0001266257,0.86683,0.189854,0.014927,0.078622,0.01722
55,drc,trophozoite,PF3D7_1445000,0.0001267104,0.867167,0.190536,0.01508,0.079144,0.01739
56,drc,trophozoite,PF3D7_1417600,0.0001265983,0.861484,0.181362,0.014836,0.081803,0.017221
57,drc,trophozoite,PF3D7_0629700,0.0001265494,0.866027,0.188427,0.01399,0.074248,0.016155
58,drc,trophozoite,PF3D7_0104100,0.0001268104,0.863841,0.185316,0.014527,0.078391,0.016817
59,drc,trophozoite,PF3D7_1212800,0.0001267024,0.86709,0.190398,0.015058,0.079088,0.017366
60,drc,trophozoite,PF3D7_1021900,0.0001265395,0.867116,0.190195,0.014858,0.078122,0.017135
61,drc,trophozoite,PF3D7_1132000,0.0001267112,0.866006,0.188634,0.014883,0.0789,0.017186
62,drc,trophozoite,PF3D7_1238000,0.0001267211,0.866821,0.189981,0.014983,0.078865,0.017285
63,drc,trophozoite,PF3D7_0931600,0.0001266907,0.866689,0.18972,0.015041,0.079283,0.017355
64,drc,schizont,PF3D7_0303200,0.0004555153,0.337129,0.055814,0.005023,0.089997,0.0149
65,drc,schizont,PF3D7_0217500,0.0004557019,0.346437,0.058196,0.005145,0.088415,0.014852
66,drc,schizont,PF3D7_0508100,0.00045504,0.33015,0.054033,0.004805,0.08893,0.014554
67,drc,schizont,PF3D7_1327400,0.0004558828,0.333115,0.054862,0.004905,0.089407,0.014725
68,drc,schizont,PF3D7_0404900,0.0004556515,0.322167,0.052175,0.004646,0.089056,0.014423
69,drc,schizont,PF3D7_0317300,0.0004567207,0.330528,0.054325,0.004838,0.08906,0.014638
70,drc,schizont,PF3D7_1209300,0.0004558736,0.320597,0.051826,0.004559,0.087975,0.014222
71,drc,schizont,PF3D7_0627100,0.0004556309,0.332244,0.054617,0.004897,0.089654,0.014738
72,drc,schizont,PF3D7_0932200,0.0004556327,0.333118,0.054832,0.004904,0.089442,0.014723
73,drc,schizont,PF3D7_0626400,0.0004558433,0.325312,0.052952,0.004751,0.089718,0.014604
74,drc,schizont,PF3D7_1107300,0.0004566329,0.355934,0.060797,0.005063,0.083278,0.014225
75,drc,schizont,PF3D7_0304200,0.0004558547,0.334679,0.055246,0.004979,0.090124,0.014877
76,drc,schizont,PF3D7_1435300,0.0004545866,0.345688,0.057861,0.005296,0.09153,0.01532
77,drc,schizont,PF3D7_1442400,0.0004562426,0.303251,0.04784,0.004347,0.090865,0.014335
78,drc,schizont,PF3D7_1107800,0.0004558994,0.339403,0.056431,0.005002,0.088635,0.014737
79,drc,schizont,PF3D7_1349500,0.0004558475,0.331852,0.054546,0.004857,0.089051,0.014637
80,drc,schizont,PF3D7_1248700,0.000456319,0.332078,0.054658,0.004644,0.084971,0.013986
81,drc,schizont,PF3D7_0318500,0.0004552545,0.301375,0.047314,0.004312,0.091141,0.014309
82,drc,schizont,PF3D7_0814400,0.0004557492,0.329234,0.053893,0.004803,0.089115,0.014587
83,drc,schizont,PF3D7_1361800,0.0004541151,0.33989,0.056333,0.005224,0.092733,0.015369
84,drc,schizont,PF3D7_1021800,0.0004561488,0.331407,0.054473,0.004853,0.089092,0.014644
85,drc,schizont,PF3D7_0611800,0.0004566539,0.330633,0.054343,0.00484,0.089063,0.014638
86,drc,schizont,PF3D7_1206300,0.000456589,0.330739,0.054361,0.004842,0.089078,0.014641
87,drc,schizont,PF3D7_0717500,0.0004556658,0.350576,0.059261,0.005207,0.087866,0.014853
88,drc,schizont,PF3D7_0410700,0.0004556778,0.327981,0.053579,0.004784,0.089282,0.014585
89,drc,schizont,PF3D7_1232500,0.0004555843,0.332277,0.054619,0.004867,0.089115,0.014649
90,drc,schizont,PF3D7_1247500,0.0004557853,0.337368,0.055907,0.004811,0.086061,0.014262
91,drc,schizont,PF3D7_0924000,0.0004556942,0.324082,0.052639,0.004727,0.089796,0.014585
92,drc,schizont,PF3D7_0417400,0.0004558381,0.331831,0.05454,0.004852,0.088961,0.014622
93,drc,schizont,PF3D7_1434400,0.0004557854,0.33198,0.05457,0.004864,0.089134,0.014652
94,drc,schizont,PF3D7_0511500,0.0004572053,0.329712,0.054182,0.004815,0.088866,0.014603
95,drc,schizont,PF3D7_1359900,0.0004555802,0.333086,0.054818,0.004952,0.090337,0.014867
96,drc,schizont,PF3D7_0404800,0.0004557575,0.332018,0.054576,0.004864,0.089126,0.01465
97,drc,schizont,PF3D7_1030300,0.0004560907,0.327308,0.053464,0.004835,0.090433,0.014772
98,drc,schizont,PF3D7_0525800,0.0004555362,0.331755,0.054485,0.004891,0.089759,0.014741
99,drc,schizont,PF3D7_1251200,0.0004555669,0.336148,0.055576,0.004923,0.088587,0.014646
100,drc,gametocyte,PF3D7_0906400,0.0004062385,0.562006,0.125582,0.010678,0.085026,0.018999
101,drc,gametocyte,PF3D7_1231400,0.0004062626,0.562518,0.125851,0.010588,0.084134,0.018823
102,drc,gametocyte,PF3D7_0920000,0.000406275,0.559029,0.124085,0.010409,0.083888,0.01862
103,drc,gametocyte,PF3D7_1234100,0.0004060808,0.554844,0.121939,0.009692,0.079485,0.017469
104,drc,gametocyte,PF3D7_0818800,0.0004062198,0.568476,0.128926,0.010817,0.083903,0.019029
105,drc,gametocyte,PF3D7_0107700,0.0004062158,0.564327,0.126765,0.010679,0.084239,0.018923
106,drc,gametocyte,PF3D7_1435200,0.0004062003,0.560677,0.124894,0.010617,0.08501,0.018937
107,drc,gametocyte,PF3D7_1006000,0.0004062252,0.562538,0.125849,0.010594,0.084178,0.018832
108,drc,gametocyte,PF3D7_0625100,0.0004062741,0.560864,0.125012,0.010642,0.085129,0.018975
109,drc,gametocyte,PF3D7_1351600,0.000406243,0.56593,0.127603,0.010821,0.084799,0.01912
110,drc,gametocyte,PF3D7_0709900,0.0004062177,0.562573,0.125865,0.010588,0.084118,0.01882
111,drc,gametocyte,PF3D7_1322100,0.0004061235,0.560206,0.124632,0.010294,0.082596,0.018376
112,drc,gametocyte,PF3D7_0903600,0.0004061728,0.570386,0.129919,0.010981,0.084519,0.019251
113,drc,gametocyte,PF3D7_1245800,0.000406261,0.564425,0.12683,0.010632,0.083832,0.018838
114,drc,gametocyte,PF3D7_1033500,0.0004062063,0.571127,0.130324,0.010698,0.08209,0.018732
115,drc,gametocyte,PF3D7_0418800,0.0004062605,0.562867,0.126029,0.010659,0.084577,0.018937
116,drc,gametocyte,PF3D7_1407400,0.0004061673,0.561256,0.125178,0.010599,0.084673,0.018885
117,drc,gametocyte,PF3D7_1362600,0.0004061893,0.564384,0.126786,0.010694,0.084349,0.018949
118,drc,gametocyte,PF3D7_0307900,0.0004060807,0.562696,0.125885,0.010583,0.08407,0.018808
119,drc,gametocyte,PF3D7_0916700,0.0004062063,0.565065,0.127143,0.010744,0.084505,0.019014
120,drc,gametocyte,PF3D7_0912100,0.0004061765,0.565895,0.127564,0.010685,0.083758,0.018881
121,drc,gametocyte,PF3D7_0107100,0.0004062216,0.56254,0.12585,0.010593,0.084175,0.018831
122,drc,gametocyte,PF3D7_0315700,0.0004062129,0.566634,0.12796,0.010844,0.084744,0.019137
123,drc,gametocyte,PF3D7_1442600,0.0004060599,0.562709,0.125886,0.010584,0.084077,0.018809
124,drc,gametocyte,PF3D7_0107300,0.0004062457,0.56252,0.125846,0.010593,0.084178,0.018832
125,drc,gametocyte,PF3D7_0421900,0.0004062302,0.562225,0.125691,0.010601,0.08434,0.018855
126,drc,gametocyte,PF3D7_1415100,0.000406223,0.564991,0.12711,0.010721,0.084347,0.018976
127,drc,gametocyte,PF3D7_1344400,0.0004061727,0.556359,0.122717,0.010385,0.084622,0.018665
128,drc,gametocyte,PF3D7_1026400,0.0004061924,0.564898,0.127052,0.010698,0.084198,0.018937
129,drc,gametocyte,PF3D7_0404000,0.0004062252,0.562534,0.125847,0.010595,0.084189,0.018834
130,drc,gametocyte,PF3D7_1342900,0.0004060355,0.534018,0.112105,0.009768,0.087133,0.018292
131,drc,gametocyte,PF3D7_0405700,0.0004062231,0.570548,0.130022,0.010703,0.082317,0.018759
132,drc,gametocyte,PF3D7_1322400,0.0004062009,0.56337,0.126268,0.01051,0.083234,0.018655
133,drc,gametocyte,PF3D7_1146300,0.0004062291,0.562529,0.125846,0.010594,0.084185,0.018833
134,drc,gametocyte,PF3D7_0728700,0.0004062082,0.562563,0.125857,0.010593,0.084168,0.01883
135,drc,gametocyte,PF3D7_1218000,0.0004062492,0.56702,0.128173,0.010698,0.083465,0.018867
136,drc,gametocyte,PF3D7_1427100,0.0004062012,0.556996,0.123043,0.01046,0.085013,0.01878
137,drc,gametocyte,PF3D7_0801900,0.0004060805,0.562698,0.125886,0.010579,0.084036,0.0188
138,drc,gametocyte,PF3D7_1131700,0.0004062036,0.562558,0.125853,0.010595,0.084187,0.018834
139,drc,gametocyte,PF3D7_1031900,0.0004062737,0.562496,0.125843,0.010592,0.084171,0.018831
140,drc,gametocyte,PF3D7_1201400,0.0004061707,0.562591,0.12586,0.010592,0.084157,0.018827
141,drc,gametocyte,PF3D7_1201700,0.0004062144,0.560494,0.124806,0.010552,0.084549,0.018827
142,drc,gametocyte,PF3D7_0934600,0.0004062144,0.564449,0.126828,0.010689,0.084278,0.018937
143,drc,gametocyte,PF3D7_1220700,0.0004061882,0.562576,0.125857,0.010593,0.084166,0.018829
144,drc,gametocyte,PF3D7_0812900,0.0004062866,0.562497,0.125848,0.010589,0.084141,0.018825
145,drc,gametocyte,PF3D7_1473700,0.0004063074,0.562481,0.125846,0.01059,0.084148,0.018827
146,drc,gametocyte,PF3D7_1139600,0.0004062212,0.555176,0.122145,0.010314,0.084438,0.018577
147,drc,gametocyte,PF3D7_1216700,0.0004062155,0.566992,0.128147,0.010686,0.08339,0.018847
148,drc,gametocyte,PF3D7_0408600,0.0004063099,0.561977,0.125589,0.010753,0.085621,0.019134
149,drc,gametocyte,PF3D7_0610700,0.0004061883,0.562454,0.125795,0.010628,0.084487,0.018896
150,drc,gametocyte,PF3D7_0925100,0.0004062331,0.562531,0.125848,0.010594,0.08418,0.018833
151,drc,gametocyte,PF3D7_0207200,0.0004062292,0.562798,0.125984,0.010646,0.084506,0.018917
152,drc,gametocyte,PF3D7_0919200,0.0004062457,0.562518,0.125845,0.010594,0.084183,0.018833
153,drc,gametocyte,PF3D7_1022300,0.0004062385,0.562006,0.125582,0.010678,0.085026,0.018999
154,drc,ookinete,PF3D7_1116800,0.0006212414,0.489396,0.132926,0.009436,0.070984,0.01928
155,drc,ookinete,PF3D7_1024000,0.0006197347,0.490268,0.133067,0.009296,0.069859,0.018961
156,drc,ookinete,PF3D7_0512400,0.000619981,0.484656,0.130163,0.009012,0.069238,0.018595
157,drc,ookinete,PF3D7_0814700,0.000620448,0.483345,0.129579,0.009,0.069457,0.018621
158,drc,ookinete,PF3D7_0507300,0.0006205193,0.467113,0.121427,0.008219,0.067688,0.017596
159,drc,ookinete,PF3D7_1024100,0.0006182391,0.480525,0.127668,0.008603,0.06739,0.017904
160,drc,ookinete,PF3D7_1342600,0.0006210856,0.497652,0.137355,0.00961,0.069961,0.01931
161,drc,ookinete,PF3D7_0417100,0.0006200182,0.482794,0.129204,0.008912,0.068973,0.018458
162,drc,ookinete,PF3D7_1139100,0.0006174491,0.471772,0.123107,0.008547,0.069426,0.018116
163,drc,ookinete,PF3D7_0518900,0.0006201666,0.482656,0.129163,0.008911,0.068988,0.018462
164,drc,ookinete,PF3D7_1362100,0.0006203253,0.482538,0.129135,0.008908,0.06898,0.01846
165,drc,ookinete,PF3D7_1422900,0.0006202655,0.482119,0.128906,0.009038,0.070111,0.018746
