,country,stage,excluded_gene,Q,alpha,omega,adaptive_divergence,neutral_divergence,selected_divergence
0,ghana,sporozoite,PF3D7_1354700,0.0001416751,0.921249,0.331471,0.024751,0.074671,0.026867
1,ghana,sporozoite,PF3D7_1023800,0.0001423572,0.918123,0.319262,0.022702,0.071109,0.024727
2,ghana,sporozoite,PF3D7_1137800,0.0001407124,0.92225,0.333818,0.024369,0.073,0.026423
3,ghana,sporozoite,PF3D7_0902900,0.0001412482,0.921695,0.332516,0.02397,0.072087,0.026006
4,ghana,sporozoite,PF3D7_0304700,0.0001417984,0.921744,0.334037,0.02434,0.072865,0.026406
5,ghana,sporozoite,PF3D7_0407600,0.0001433609,0.92119,0.335141,0.024284,0.07246,0.026362
6,ghana,sporozoite,PF3D7_1468400,0.0001425457,0.924229,0.347743,0.025661,0.073792,0.027764
7,ghana,sporozoite,PF3D7_1201300,0.0001414214,0.92135,0.331339,0.024511,0.073974,0.026603
8,ghana,sporozoite,PF3D7_0829600,0.0001411863,0.919467,0.322392,0.02405,0.074598,0.026156
9,ghana,sporozoite,PF3D7_1475400,0.0001418461,0.925685,0.353376,0.024031,0.068005,0.02596
10,ghana,sporozoite,PF3D7_1131900,0.0001418805,0.924235,0.346151,0.024938,0.072044,0.026982
11,ghana,sporozoite,PF3D7_0212600,0.000141347,0.923615,0.341822,0.025371,0.074222,0.027469
12,ghana,sporozoite,PF3D7_1444700,0.0001414126,0.921005,0.329745,0.024581,0.074545,0.026689
13,ghana,sporozoite,PF3D7_1408300,0.0001414257,0.92086,0.32912,0.024496,0.074428,0.026601
14,ghana,sporozoite,PF3D7_0421800,0.0001415476,0.921788,0.333651,0.024625,0.073803,0.026714
15,ghana,sporozoite,PF3D7_1017500,0.000141602,0.920951,0.329944,0.024676,0.074788,0.026794
16,ghana,sporozoite,PF3D7_0629300,0.0001405238,0.930909,0.378675,0.025493,0.067322,0.027385
17,ghana,sporozoite,PF3D7_0202100,0.0001416329,0.920172,0.326519,0.023956,0.073368,0.026034
18,ghana,sporozoite,PF3D7_1476100,0.0001414485,0.922074,0.334744,0.024279,0.07253,0.026331
19,ghana,sporozoite,PF3D7_1302200,0.0001413068,0.921606,0.332243,0.024761,0.074526,0.026867
20,ghana,sporozoite,PF3D7_0830300,0.0001414319,0.918394,0.318335,0.023615,0.074184,0.025714
21,ghana,sporozoite,PF3D7_1132100,0.0001420478,0.921317,0.332655,0.021565,0.064826,0.023406
22,ghana,sporozoite,PF3D7_0901500,0.0001415073,0.921711,0.333199,0.024361,0.073111,0.02643
23,ghana,sporozoite,PF3D7_1352900,0.0001409523,0.922297,0.334609,0.02435,0.072771,0.026401
24,ghana,ring,PF3D7_0708400,1.3848e-06,0.998679,0.20943,0.01398,0.06675,0.013998
25,ghana,ring,PF3D7_0802000,1.3776e-06,0.99868,0.208502,0.012784,0.061314,0.012801
26,ghana,ring,PF3D7_1451200,1.3904e-06,0.998575,0.194891,0.01335,0.0685,0.013369
27,ghana,ring,PF3D7_0107500,1.38e-06,0.998586,0.194871,0.013352,0.068517,0.013371
28,ghana,ring,PF3D7_1404900,1.3885e-06,0.998581,0.195431,0.013581,0.069494,0.013601
29,ghana,ring,PF3D7_0619200,1.3908e-06,0.998583,0.196009,0.013736,0.07008,0.013756
30,ghana,ring,PF3D7_1121700,1.3845e-06,0.99857,0.193402,0.013889,0.071813,0.013909
31,ghana,ring,PF3D7_0706500,1.4041e-06,0.998516,0.188938,0.012952,0.068549,0.012971
32,ghana,ring,PF3D7_1464600,1.3858e-06,0.998568,0.193275,0.013993,0.072397,0.014013
33,ghana,ring,PF3D7_1420700,1.3887e-06,0.998506,0.185657,0.012877,0.06936,0.012896
34,ghana,ring,PF3D7_0417300,1.3886e-06,0.998567,0.19356,0.01336,0.069024,0.013379
35,ghana,ring,PF3D7_0409100,1.3842e-06,0.998619,0.200234,0.013484,0.067342,0.013503
36,ghana,ring,PF3D7_1116700,1.3809e-06,0.998636,0.202177,0.01369,0.067714,0.013709
37,ghana,ring,PF3D7_0911900,1.3833e-06,0.998572,0.193446,0.013362,0.069074,0.013381
38,ghana,ring,PF3D7_1022500,1.3819e-06,0.998563,0.192007,0.013697,0.071335,0.013717
39,ghana,ring,PF3D7_1445600,1.3887e-06,0.998567,0.193565,0.013464,0.069555,0.013483
40,ghana,ring,PF3D7_1446900,1.3818e-06,0.998573,0.193417,0.013363,0.069087,0.013382
41,ghana,ring,PF3D7_1308500,1.387e-06,0.998541,0.1899,0.013227,0.069652,0.013246
42,ghana,ring,PF3D7_0103900,1.3866e-06,0.998586,0.195875,0.012971,0.066223,0.01299
43,ghana,ring,PF3D7_1017800,1.3889e-06,0.998572,0.19431,0.013355,0.068728,0.013374
44,ghana,ring,PF3D7_1336400,1.3873e-06,0.998566,0.193157,0.013364,0.069185,0.013383
45,ghana,ring,PF3D7_1336600,1.3846e-06,0.998566,0.192898,0.013417,0.069553,0.013436
46,ghana,ring,PF3D7_0317100,1.3843e-06,0.998567,0.192951,0.013051,0.06764,0.01307
47,ghana,ring,PF3D7_1313100,1.3962e-06,0.99833,0.166902,0.012069,0.072312,0.012089
48,ghana,trophozoite,PF3D7_1359600,6.472e-07,0.999446,0.23361,0.016763,0.071758,0.016773
49,ghana,trophozoite,PF3D7_0909600,6.446e-07,0.999471,0.243505,0.017193,0.070608,0.017202
50,ghana,trophozoite,PF3D7_1235300,6.477e-07,0.99948,0.249183,0.016924,0.067918,0.016933
51,ghana,trophozoite,PF3D7_1136000,6.514e-07,0.999471,0.246237,0.017175,0.069751,0.017184
52,ghana,trophozoite,PF3D7_0305000,6.449e-07,0.99947,0.243321,0.017194,0.070665,0.017203
53,ghana,trophozoite,PF3D7_0826100,6.379e-07,0.999553,0.285163,0.019182,0.067268,0.019191
54,ghana,trophozoite,PF3D7_1456000,6.472e-07,0.99947,0.244193,0.017188,0.070389,0.017198
55,ghana,trophozoite,PF3D7_1445000,6.45e-07,0.999472,0.244036,0.017359,0.071134,0.017369
56,ghana,trophozoite,PF3D7_1417600,6.482e-07,0.999453,0.236721,0.017187,0.072604,0.017196
57,ghana,trophozoite,PF3D7_0629700,6.497e-07,0.99948,0.249551,0.01612,0.064594,0.016128
58,ghana,trophozoite,PF3D7_0104100,6.43e-07,0.999462,0.238911,0.016786,0.070262,0.016795
59,ghana,trophozoite,PF3D7_1212800,6.454e-07,0.999471,0.243797,0.017336,0.071108,0.017345
60,ghana,trophozoite,PF3D7_1021900,6.492e-07,0.999471,0.245401,0.017103,0.069696,0.017112
61,ghana,trophozoite,PF3D7_1132000,6.456e-07,0.999467,0.242354,0.017155,0.070786,0.017164
62,ghana,trophozoite,PF3D7_1238000,6.452e-07,0.99947,0.243302,0.017255,0.070918,0.017264
63,ghana,trophozoite,PF3D7_0931600,6.458e-07,0.999469,0.242949,0.017325,0.07131,0.017334
64,ghana,schizont,PF3D7_0303200,5.8689e-06,0.993656,0.18384,0.014874,0.080905,0.014968
65,ghana,schizont,PF3D7_0217500,5.8743e-06,0.993747,0.186701,0.014827,0.079417,0.014921
66,ghana,schizont,PF3D7_0508100,5.8443e-06,0.993627,0.182225,0.014531,0.079741,0.014624
67,ghana,schizont,PF3D7_1327400,5.8822e-06,0.993604,0.182763,0.014698,0.080422,0.014793
68,ghana,schizont,PF3D7_0404900,5.8705e-06,0.993514,0.179835,0.014397,0.080055,0.014491
69,ghana,schizont,PF3D7_0317300,5.9293e-06,0.993576,0.1834,0.014614,0.079684,0.014709
70,ghana,schizont,PF3D7_1209300,5.8852e-06,0.993506,0.18007,0.014198,0.078847,0.014291
71,ghana,schizont,PF3D7_0627100,5.8712e-06,0.993617,0.182803,0.014713,0.080485,0.014807
72,ghana,schizont,PF3D7_0932200,5.8729e-06,0.99361,0.182628,0.014696,0.080469,0.01479
73,ghana,schizont,PF3D7_0626400,5.8834e-06,0.993535,0.18082,0.014578,0.08062,0.014673
74,ghana,schizont,PF3D7_1107300,5.9241e-06,0.99387,0.19209,0.014208,0.073965,0.014296
75,ghana,schizont,PF3D7_0304200,5.8806e-06,0.993612,0.182944,0.014849,0.081167,0.014944
