,pi_ns
Pf3D7_01_v3:98819-102282,0.00048541304489277404
Pf3D7_01_v3:104704-105209,0.00011968259644325032
Pf3D7_01_v3:110750-115799,0.0006508101687767027
Pf3D7_01_v3:119041-121249,0.00010949747760852766
Pf3D7_01_v3:124517-125484,0.000772448039498128
Pf3D7_01_v3:126318-128141,2.5794229857783805e-05
Pf3D7_01_v3:128960-130840,0.0005830775085483162
Pf3D7_01_v3:132086-133624,5.3678545215541785e-05
Pf3D7_01_v3:134353-139257,0.00035551713191526004
Pf3D7_01_v3:140662-142219,9.164820530126953e-05
Pf3D7_01_v3:143640-146396,0.0007537070164210336
Pf3D7_01_v3:147915-152777,0.00039295611678249705
Pf3D7_01_v3:154176-160426,0.00030608879342976665
Pf3D7_01_v3:161131-166229,0.0008694490178846014
Pf3D7_01_v3:166513-168687,0.000635399783475321
Pf3D7_01_v3:169079-171273,3.851020520582909e-05
Pf3D7_01_v3:178087-180790,0.004290672521008903
Pf3D7_01_v3:182822-184222,0.0003018488890907753
Pf3D7_01_v3:190269-201230,0.00031298825183836347
Pf3D7_01_v3:202536-204143,2.6427446415186992e-05
Pf3D7_01_v3:204622-205455,0.00013568498429098009
Pf3D7_01_v3:206170-210189,0.00042065639213014855
Pf3D7_01_v3:210870-213005,0.0002866502252752568
Pf3D7_01_v3:222254-223960,0.00023907180006684179
Pf3D7_01_v3:228485-229519,0.00044412049968995315
Pf3D7_01_v3:230289-234402,0.00015296634635718947
Pf3D7_01_v3:238666-247857,0.00030840472135331575
Pf3D7_01_v3:249231-252010,0.00016718821322255623
Pf3D7_01_v3:253584-254930,0.0002014478481843414
Pf3D7_01_v3:255775-258543,0.00015531874209008192
Pf3D7_01_v3:260658-261809,0.00013607741328216413
Pf3D7_01_v3:263340-264223,0.00018238564126000394
Pf3D7_01_v3:265208-269173,0.00024578941402279375
Pf3D7_01_v3:274315-278550,0.00015496868601643185
Pf3D7_01_v3:279115-280014,0.00012781580745172816
Pf3D7_01_v3:281155-285459,0.0004464094364884559
Pf3D7_01_v3:290386-292590,5.320247269921681e-05
Pf3D7_01_v3:295300-296931,0.0004790758501633609
Pf3D7_01_v3:297362-299397,0.0003746521253571257
Pf3D7_01_v3:299562-300868,0.0004087587038839977
Pf3D7_01_v3:304362-309257,0.000271022977779012
Pf3D7_01_v3:314618-319405,0.00012928324652942478
Pf3D7_01_v3:322371-326072,0.00013713251633300886
Pf3D7_01_v3:326397-327224,9.82167773939809e-05
Pf3D7_01_v3:330738-332708,4.18656333547563e-05
Pf3D7_01_v3:337168-343833,6.123158204961521e-05
Pf3D7_01_v3:344400-346540,0.0006774412980530234
Pf3D7_01_v3:349995-351626,0.00021391353820297195
Pf3D7_01_v3:352314-356211,6.72997789187726e-05
Pf3D7_01_v3:357834-360339,0.0002314786676243073
Pf3D7_01_v3:365610-368795,2.6285150087984257e-05
Pf3D7_01_v3:371815-373012,8.593517716853922e-05
Pf3D7_01_v3:377874-378599,0.0002653327403361645
Pf3D7_01_v3:379149-379806,0.00015872264429681087
Pf3D7_01_v3:380697-382424,0.00018575168437113756
Pf3D7_01_v3:383284-386632,0.00021948159851560515
Pf3D7_01_v3:386708-387940,0.0012053732169057991
Pf3D7_01_v3:388372-389076,0.00041408655769392807
Pf3D7_01_v3:389261-392065,0.00014368967170208082
Pf3D7_01_v3:396591-403606,0.00024610020816044626
Pf3D7_01_v3:405739-412169,0.00030759534353654646
Pf3D7_01_v3:413760-415100,7.73540468111233e-05
Pf3D7_01_v3:417921-419607,4.207531489392938e-05
Pf3D7_01_v3:420293-420853,7.388382286192081e-05
Pf3D7_01_v3:421776-427575,0.00021281967479249328
Pf3D7_01_v3:431539-435042,0.00011798676832812103
Pf3D7_01_v3:436408-438564,1.9772172273523632e-05
Pf3D7_01_v3:439652-441418,3.7442326454906915e-05
Pf3D7_01_v3:442543-443289,5.5481619308539564e-05
Pf3D7_01_v3:450831-453118,4.290011541958722e-05
Pf3D7_01_v3:464726-470194,0.001017562448555592
Pf3D7_01_v3:495244-500076,0.0017962327764123125
Pf3D7_01_v3:500959-502868,0.0011876790546694444
Pf3D7_01_v3:504938-506874,0.000868388925670552
Pf3D7_01_v3:508252-509748,0.000421384508327319
Pf3D7_01_v3:520807-522579,0.0004820998815233281
Pf3D7_01_v3:527107-536351,0.006247475653116566
Pf3D7_01_v3:537109-538025,0.0024843402829825014
Pf3D7_01_v3:542480-546983,8.974534623435576e-05
Pf3D7_02_v3:109564-110580,0.002684373747429459
Pf3D7_02_v3:120524-124102,0.00034344160035608266
Pf3D7_02_v3:127994-128314,0.0001387917346750573
