,pi_ns_div_pi_s
Pf3D7_01_v3:98819-102282,0.3040239449079621
Pf3D7_01_v3:110750-115799,0.9449389933332116
Pf3D7_01_v3:119041-121249,1.1456395213157975
Pf3D7_01_v3:132086-133624,0.24567474041811685
Pf3D7_01_v3:134353-139257,0.4130105215843966
Pf3D7_01_v3:140662-142219,0.8029197080291971
Pf3D7_01_v3:143640-146396,0.33687905459259426
Pf3D7_01_v3:147915-152777,0.5119043554108749
Pf3D7_01_v3:154176-160426,0.38222525886117475
Pf3D7_01_v3:161131-166229,0.6363112757152419
Pf3D7_01_v3:166513-168687,0.35144359654244756
Pf3D7_01_v3:169079-171273,0.29103915667511443
Pf3D7_01_v3:178087-180790,3.5721203074964567
Pf3D7_01_v3:182822-184222,0.276914717633652
Pf3D7_01_v3:190269-201230,1.4053362089336712
Pf3D7_01_v3:202536-204143,0.25903693061228317
Pf3D7_01_v3:204622-205455,0.36465080223176494
Pf3D7_01_v3:206170-210189,10.096881265153076
Pf3D7_01_v3:210870-213005,3.5256624079914807
Pf3D7_01_v3:228485-229519,0.2700652670007426
Pf3D7_01_v3:238666-247857,0.47209086821702595
Pf3D7_01_v3:249231-252010,2.2936820077981586
Pf3D7_01_v3:253584-254930,1.636953369292605
Pf3D7_01_v3:255775-258543,1.1915498583361794
Pf3D7_01_v3:263340-264223,0.21995607146407561
Pf3D7_01_v3:265208-269173,0.3899892188916981
Pf3D7_01_v3:274315-278550,0.5431290799768282
Pf3D7_01_v3:279115-280014,0.34485645960017425
Pf3D7_01_v3:281155-285459,0.6274171869340135
Pf3D7_01_v3:295300-296931,2.1980000007948126
Pf3D7_01_v3:297362-299397,0.5770339082398727
Pf3D7_01_v3:299562-300868,0.2480499219968799
Pf3D7_01_v3:304362-309257,0.266317359072919
Pf3D7_01_v3:314618-319405,3.5584765086628667
Pf3D7_01_v3:322371-326072,0.3154402949338234
Pf3D7_01_v3:349995-351626,0.23984743106304
Pf3D7_01_v3:371815-373012,0.5385800654751517
Pf3D7_01_v3:383284-386632,2.2533916141683306
Pf3D7_01_v3:388372-389076,1.6227864909220127
Pf3D7_01_v3:389261-392065,0.3948093131519156
Pf3D7_01_v3:396591-403606,0.6506347149192702
Pf3D7_01_v3:405739-412169,8.674720624095388
Pf3D7_01_v3:417921-419607,0.2578807443502514
Pf3D7_01_v3:421776-427575,0.3209917814262637
Pf3D7_01_v3:450831-453118,0.2381391064025795
Pf3D7_01_v3:464726-470194,11.41831316335425
Pf3D7_01_v3:495244-500076,0.8910123669381815
Pf3D7_01_v3:500959-502868,1.1424449561177161
Pf3D7_01_v3:504938-506874,0.5401522182178944
Pf3D7_01_v3:508252-509748,0.2637536558106291
Pf3D7_01_v3:520807-522579,1.2250293427230048
Pf3D7_01_v3:527107-536351,0.6112846780117421
Pf3D7_01_v3:537109-538025,0.3572175099225395
Pf3D7_02_v3:120524-124102,3.35284014539681
Pf3D7_02_v3:135523-137139,0.06604888460870169
Pf3D7_02_v3:141625-147564,3.9353488069574496
Pf3D7_02_v3:149524-156981,1.2548362807008664
Pf3D7_02_v3:158137-159660,0.10547401426122859
Pf3D7_02_v3:178955-181526,0.21945835804067262
Pf3D7_02_v3:182228-189115,0.09200480122661407
Pf3D7_02_v3:192818-194199,0.0
Pf3D7_02_v3:194826-196916,0.14256879094202385
Pf3D7_02_v3:198353-199570,0.842035289967223
Pf3D7_02_v3:200482-204048,0.16483188088807194
Pf3D7_02_v3:205889-207403,0.28281117696867064
Pf3D7_02_v3:209583-210833,2.53166977005506
Pf3D7_02_v3:211348-212627,0.13097339905134486
Pf3D7_02_v3:212982-214508,0.19400154322548938
Pf3D7_02_v3:214838-217348,0.9678580144556872
Pf3D7_02_v3:219690-222256,1.7154888874408094
Pf3D7_02_v3:228025-229932,0.0
Pf3D7_02_v3:235237-238816,1.5346385307735997
Pf3D7_02_v3:239246-243796,0.26498358098592023
Pf3D7_02_v3:263037-267347,0.26656932047721893
Pf3D7_02_v3:281907-287345,1.3412922981136428
Pf3D7_02_v3:290168-292703,1.2378830735837087
Pf3D7_02_v3:294273-297616,0.6525413903693024
Pf3D7_02_v3:298897-302564,2.5044427415513506
Pf3D7_02_v3:303593-307027,12.654888705962767
Pf3D7_02_v3:308847-312155,1.6693873583530874
Pf3D7_02_v3:313449-316741,0.7814568189972185
Pf3D7_02_v3:317596-321310,2.306895667941689
Pf3D7_02_v3:322338-325723,0.15276869843660867
Pf3D7_02_v3:327932-335203,2.800676106361074
Pf3D7_02_v3:337558-342966,0.35753215249893544
Pf3D7_02_v3:343308-349340,1.2229483278148696
Pf3D7_02_v3:359142-359849,0.0
Pf3D7_02_v3:360828-368354,2.599208072486895
Pf3D7_02_v3:370438-379845,2.867070818139946
Pf3D7_02_v3:387273-388151,0.0
Pf3D7_02_v3:391275-392789,0.29041537648260934
Pf3D7_02_v3:394237-398745,0.06418072950052643
Pf3D7_02_v3:400153-401859,0.08015690240899007
Pf3D7_02_v3:413278-421137,0.3400636256432075
Pf3D7_02_v3:423063-424654,0.0
Pf3D7_02_v3:432041-434086,0.051542174588889794
Pf3D7_02_v3:437755-439002,0.4639233719174682
Pf3D7_02_v3:451751-455116,0.8848054621335483
Pf3D7_02_v3:463163-466900,0.07605539373103395
Pf3D7_02_v3:475242-477074,0.026287991504265872
Pf3D7_02_v3:477432-479091,0.3206689470061241
Pf3D7_02_v3:483436-488970,1.9491297482053453
Pf3D7_02_v3:492616-494306,0.0
Pf3D7_02_v3:495166-507854,0.42132404372705407
Pf3D7_02_v3:509525-521746,0.7543880519812938
Pf3D7_02_v3:522931-523999,0.1267797766133639
Pf3D7_02_v3:524700-526043,1.237567175159314
Pf3D7_02_v3:528249-531923,10.017882601145216
Pf3D7_02_v3:546482-555294,0.6028661777990236
Pf3D7_02_v3:558585-560594,0.5196269560781378
Pf3D7_02_v3:561122-564622,0.09450283757496034
Pf3D7_02_v3:566121-567894,0.2618125484120837
Pf3D7_02_v3:578662-586164,5.688941420595754
Pf3D7_02_v3:586765-589051,0.039983584172934565
Pf3D7_02_v3:594196-599340,0.8327563724243577
Pf3D7_02_v3:616772-619429,0.21241888309466642
Pf3D7_02_v3:628642-631308,1.3527541957471994
Pf3D7_02_v3:640400-642694,0.09323383933119118
Pf3D7_02_v3:645929-650085,0.06364584266160711
Pf3D7_02_v3:650663-653362,0.0
Pf3D7_02_v3:658636-664629,3.001326290697734
Pf3D7_02_v3:664984-668532,2.132364179493388
Pf3D7_02_v3:670413-674558,0.3737147988587411
Pf3D7_02_v3:675431-677599,0.06287636451847659
Pf3D7_02_v3:690311-695783,0.40377158664765384
Pf3D7_02_v3:701245-702894,0.29966795969757737
