,pi_s
Pf3D7_01_v3:98819-102282,0.0015966276769407894
Pf3D7_01_v3:110750-115799,0.0006887324720096603
Pf3D7_01_v3:119041-121249,9.557760148040887e-05
Pf3D7_01_v3:132086-133624,0.00021849436016167396
Pf3D7_01_v3:134353-139257,0.0008607943704470781
Pf3D7_01_v3:140662-142219,0.0001141436738752175
Pf3D7_01_v3:143640-146396,0.0022373222856865694
Pf3D7_01_v3:147915-152777,0.000767635814442514
Pf3D7_01_v3:154176-160426,0.0008008073415706389
Pf3D7_01_v3:161131-166229,0.0013663894560210367
Pf3D7_01_v3:166513-168687,0.0018079708656708363
Pf3D7_01_v3:169079-171273,0.00013231967012884745
Pf3D7_01_v3:178087-180790,0.0012011556587286525
Pf3D7_01_v3:182822-184222,0.0010900427816556515
Pf3D7_01_v3:190269-201230,0.00022271414473540817
Pf3D7_01_v3:202536-204143,0.00010202192541704645
Pf3D7_01_v3:204622-205455,0.000372095669228067
Pf3D7_01_v3:206170-210189,4.166201236632756e-05
Pf3D7_01_v3:210870-213005,8.130393443953056e-05
Pf3D7_01_v3:228485-229519,0.001644493216851658
Pf3D7_01_v3:238666-247857,0.0006532740667450029
Pf3D7_01_v3:249231-252010,7.28907549756865e-05
Pf3D7_01_v3:253584-254930,0.0001230626674914969
Pf3D7_01_v3:255775-258543,0.00013035018300196118
Pf3D7_01_v3:263340-264223,0.0008291912109813805
Pf3D7_01_v3:265208-269173,0.000630246689181043
Pf3D7_01_v3:274315-278550,0.0002853257019915843
Pf3D7_01_v3:279115-280014,0.0003706348073048059
Pf3D7_01_v3:281155-285459,0.000711503359781895
Pf3D7_01_v3:295300-296931,0.0002179598953549243
Pf3D7_01_v3:297362-299397,0.0006492722871346116
Pf3D7_01_v3:299562-300868,0.0016478888628279403
Pf3D7_01_v3:304362-309257,0.001017669215114155
Pf3D7_01_v3:314618-319405,3.6331066459113496e-05
Pf3D7_01_v3:322371-326072,0.0004347336676241
Pf3D7_01_v3:349995-351626,0.0008918733765664067
Pf3D7_01_v3:371815-373012,0.000159558778122849
Pf3D7_01_v3:383284-386632,9.740055706944229e-05
Pf3D7_01_v3:388372-389076,0.0002551700793729544
Pf3D7_01_v3:389261-392065,0.00036394701673815783
Pf3D7_01_v3:396591-403606,0.00037824635316451266
Pf3D7_01_v3:405739-412169,3.545881842951259e-05
Pf3D7_01_v3:417921-419607,0.00016315803260123622
Pf3D7_01_v3:421776-427575,0.0006630066160786765
Pf3D7_01_v3:450831-453118,0.0001801472931836051
Pf3D7_01_v3:464726-470194,8.911670524341025e-05
Pf3D7_01_v3:495244-500076,0.0020159459543583813
Pf3D7_01_v3:500959-502868,0.0010395941163812775
Pf3D7_01_v3:504938-506874,0.0016076744598691045
Pf3D7_01_v3:508252-509748,0.001597644237507238
Pf3D7_01_v3:520807-522579,0.00039354149709729623
Pf3D7_01_v3:527107-536351,0.010220239240147548
Pf3D7_01_v3:537109-538025,0.006954699067022823
Pf3D7_02_v3:120524-124102,0.00010243303750332427
Pf3D7_02_v3:135523-137139,0.0017404385282706538
Pf3D7_02_v3:141625-147564,3.193770296075844e-05
Pf3D7_02_v3:149524-156981,0.00011826559352510774
Pf3D7_02_v3:158137-159660,0.00048892453244232
Pf3D7_02_v3:178955-181526,0.0002770708873002789
Pf3D7_02_v3:182228-189115,0.00044868717990182626
Pf3D7_02_v3:192818-194199,0.0020230469295040936
Pf3D7_02_v3:194826-196916,0.00025558622409704954
Pf3D7_02_v3:198353-199570,0.0010696530956649229
Pf3D7_02_v3:200482-204048,0.00020216482716160563
Pf3D7_02_v3:205889-207403,0.00026742843582797424
Pf3D7_02_v3:209583-210833,0.00013564975487785313
