,theta
Pf3D7_01_v3:98819-102282,0.0005448965057647585
Pf3D7_01_v3:104704-105209,0.17949951298721759
Pf3D7_01_v3:110750-115799,0.00039001712868378714
Pf3D7_01_v3:119041-121249,0.00045973456792540126
Pf3D7_01_v3:124517-125484,0.17949951298721759
Pf3D7_01_v3:126318-128141,0.1817903584453804
Pf3D7_01_v3:128960-130840,0.0036920951382875006
Pf3D7_01_v3:132086-133624,0.18038973378227768
Pf3D7_01_v3:134353-139257,0.0005795036058477145
Pf3D7_01_v3:140662-142219,0.0019254474645907934
Pf3D7_01_v3:143640-146396,0.0005047684685185167
Pf3D7_01_v3:147915-152777,0.0004259802673608092
Pf3D7_01_v3:154176-160426,0.0004573328897785887
Pf3D7_01_v3:161131-166229,0.0006731827601764804
Pf3D7_01_v3:166513-168687,0.0004670745312957585
Pf3D7_01_v3:169079-171273,0.17994046318169096
Pf3D7_01_v3:178087-180790,0.0018320872449998696
Pf3D7_01_v3:182822-184222,0.000577634239377238
Pf3D7_01_v3:190269-201230,0.0004458250840831031
Pf3D7_01_v3:202536-204143,0.17906661420694378
Pf3D7_01_v3:204622-205455,0.0014268256112107073
Pf3D7_01_v3:206170-210189,0.0005987181305331082
Pf3D7_01_v3:210870-213005,0.0003764539892227269
Pf3D7_01_v3:222254-223960,0.000644124511535769
Pf3D7_01_v3:228485-229519,0.000979844674183003
Pf3D7_01_v3:230289-234402,0.00033554018901988216
Pf3D7_01_v3:238666-247857,0.0005598330948854875
Pf3D7_01_v3:249231-252010,0.0005197869788300254
Pf3D7_01_v3:253584-254930,0.0005883897509538131
Pf3D7_01_v3:255775-258543,0.00048571414341847316
Pf3D7_01_v3:260658-261809,0.17906661420694378
Pf3D7_01_v3:263340-264223,0.17906661420694378
Pf3D7_01_v3:265208-269173,0.000543449512008934
Pf3D7_01_v3:274315-278550,0.00047910799787811043
Pf3D7_01_v3:279115-280014,0.006283039094980483
Pf3D7_01_v3:281155-285459,0.0006479384066698623
Pf3D7_01_v3:290386-292590,0.0003035027359439725
Pf3D7_01_v3:295300-296931,0.0004051907742375115
Pf3D7_01_v3:297362-299397,0.000553909110897475
Pf3D7_01_v3:299562-300868,0.0025889352834694845
Pf3D7_01_v3:304362-309257,0.00017776301873621156
Pf3D7_01_v3:314618-319405,0.0005263225107323625
Pf3D7_01_v3:322371-326072,0.0005976856281940713
Pf3D7_01_v3:326397-327224,0.17994046318169096
Pf3D7_01_v3:330738-332708,0.027615309690341167
Pf3D7_01_v3:337168-343833,0.00023538168150764874
Pf3D7_01_v3:344400-346540,0.0006105425611810122
Pf3D7_01_v3:349995-351626,0.17994046318169096
Pf3D7_01_v3:352314-356211,0.00029307138168075905
Pf3D7_01_v3:357834-360339,0.18713775920313164
Pf3D7_01_v3:365610-368795,0.002023351572959817
Pf3D7_01_v3:371815-373012,0.0011478629115829729
Pf3D7_01_v3:377874-378599,0.17949951298721759
Pf3D7_01_v3:379149-379806,0.1817903584453804
Pf3D7_01_v3:380697-382424,0.0026333325618668204
Pf3D7_01_v3:383284-386632,0.0004926501387589075
Pf3D7_01_v3:386708-387940,0.18227587406580154
Pf3D7_01_v3:388372-389076,0.0022016386992657023
Pf3D7_01_v3:389261-392065,0.000282997414787742
Pf3D7_01_v3:396591-403606,0.00032439604022997063
Pf3D7_01_v3:405739-412169,0.000506451030080245
Pf3D7_01_v3:413760-415100,0.001613212740603097
Pf3D7_01_v3:417921-419607,0.17906661420694378
Pf3D7_01_v3:420293-420853,0.17906661420694378
Pf3D7_01_v3:421776-427575,0.0003682814277565114
Pf3D7_01_v3:431539-435042,0.0002714501478629769
Pf3D7_01_v3:436408-438564,0.17994046318169096
Pf3D7_01_v3:439652-441418,0.17949951298721759
Pf3D7_01_v3:442543-443289,0.17994046318169096
