,theta_s
Pf3D7_01_v3:98819-102282,0.0004624654292534705
Pf3D7_01_v3:110750-115799,0.0005827906265818753
Pf3D7_01_v3:119041-121249,0.17906661420694378
Pf3D7_01_v3:132086-133624,0.18038973378227768
Pf3D7_01_v3:134353-139257,0.00035030964631289945
Pf3D7_01_v3:140662-142219,0.17906661420694378
Pf3D7_01_v3:143640-146396,0.007804326651618156
Pf3D7_01_v3:147915-152777,0.0003518008137660978
Pf3D7_01_v3:154176-160426,0.00017276180268259634
Pf3D7_01_v3:161131-166229,0.0003075689010768529
Pf3D7_01_v3:166513-168687,0.0002957115253602152
Pf3D7_01_v3:169079-171273,0.17994046318169096
Pf3D7_01_v3:178087-180790,0.17994046318169096
Pf3D7_01_v3:182822-184222,0.0009324650025310004
Pf3D7_01_v3:190269-201230,0.00011245077506087904
Pf3D7_01_v3:202536-204143,0.17906661420694378
Pf3D7_01_v3:204622-205455,0.17906661420694378
Pf3D7_01_v3:206170-210189,0.17906661420694378
Pf3D7_01_v3:210870-213005,0.17949951298721759
Pf3D7_01_v3:228485-229519,0.0011602588393538472
Pf3D7_01_v3:238666-247857,0.00019093165261974205
Pf3D7_01_v3:249231-252010,0.17949951298721759
Pf3D7_01_v3:253584-254930,0.17906661420694378
Pf3D7_01_v3:255775-258543,0.0003238094289456488
Pf3D7_01_v3:263340-264223,0.17906661420694378
Pf3D7_01_v3:265208-269173,0.00028022944320335493
Pf3D7_01_v3:274315-278550,0.000268331589720695
Pf3D7_01_v3:279115-280014,0.17906661420694378
Pf3D7_01_v3:281155-285459,0.00039154507479652426
Pf3D7_01_v3:295300-296931,0.17949951298721759
Pf3D7_01_v3:297362-299397,0.18131437815107734
Pf3D7_01_v3:299562-300868,0.0025889352834694845
Pf3D7_01_v3:304362-309257,0.00011850867915747437
Pf3D7_01_v3:314618-319405,0.17994046318169096
Pf3D7_01_v3:322371-326072,0.0006838954075376592
Pf3D7_01_v3:349995-351626,0.17994046318169096
Pf3D7_01_v3:371815-373012,0.17906661420694378
Pf3D7_01_v3:383284-386632,0.18131437815107734
Pf3D7_01_v3:388372-389076,0.17906661420694378
Pf3D7_01_v3:389261-392065,0.17994046318169096
Pf3D7_01_v3:396591-403606,0.00013718075654260247
