,pi_ns
Pf3D7_01_v3:98819-102282,0.00044543233476347275
Pf3D7_01_v3:104704-105209,0.0007002045197019589
Pf3D7_01_v3:110750-115799,0.0004479543385249986
Pf3D7_01_v3:119041-121249,0.0003751733200701922
Pf3D7_01_v3:124517-125484,0.000875736297411218
Pf3D7_01_v3:126318-128141,0.000153098313061203
Pf3D7_01_v3:128960-130840,0.0004975269568695409
Pf3D7_01_v3:132086-133624,0.00043342280414838567
Pf3D7_01_v3:134353-139257,0.00044345192342501563
Pf3D7_01_v3:140662-142219,0.00041548367651857046
Pf3D7_01_v3:143640-146396,0.0006302410664487479
Pf3D7_01_v3:147915-152777,0.0002485355220073429
Pf3D7_01_v3:154176-160426,0.0005432932183467338
Pf3D7_01_v3:161131-166229,0.0009695524642488747
Pf3D7_01_v3:166513-168687,0.0002831370324666596
Pf3D7_01_v3:169079-171273,7.828449087449082e-05
Pf3D7_01_v3:172864-174591,0.00027758858109881636
Pf3D7_01_v3:175609-176376,5.016936960227354e-05
Pf3D7_01_v3:178087-180790,0.0049627514676752384
Pf3D7_01_v3:182822-184222,0.00033124430236088564
Pf3D7_01_v3:190269-201230,0.00028191837304044465
Pf3D7_01_v3:202536-204143,9.18550289252708e-05
Pf3D7_01_v3:204622-205455,0.0010406510088496156
Pf3D7_01_v3:206170-210189,0.0003336229310726952
Pf3D7_01_v3:210870-213005,0.00018843584065179398
Pf3D7_01_v3:215776-217509,5.2887850824128176e-05
Pf3D7_01_v3:221202-221633,8.701861447211647e-05
Pf3D7_01_v3:222254-223960,8.620570476854747e-05
Pf3D7_01_v3:228485-229519,5.894360536020039e-05
Pf3D7_01_v3:230289-234402,0.0002649272371862796
Pf3D7_01_v3:238666-247857,0.00024279171933239848
Pf3D7_01_v3:249231-252010,0.00010434491756693552
Pf3D7_01_v3:253584-254930,0.00015512415458370722
Pf3D7_01_v3:255775-258543,0.00014027060565414935
Pf3D7_01_v3:260658-261809,4.6622764419871215e-05
Pf3D7_01_v3:263340-264223,9.301454424177278e-05
Pf3D7_01_v3:265208-269173,0.0004048290731180896
Pf3D7_01_v3:272454-273404,0.0001789512111462767
Pf3D7_01_v3:274315-278550,0.00010430359620340558
Pf3D7_01_v3:279115-280014,8.476256635256097e-05
Pf3D7_01_v3:281155-285459,0.0002816060797806235
Pf3D7_01_v3:286951-288918,0.00019225577087984624
Pf3D7_01_v3:290386-292590,0.00027760895180703736
Pf3D7_01_v3:295300-296931,0.00019136247366271668
Pf3D7_01_v3:297362-299397,0.00015460506566715597
Pf3D7_01_v3:299562-300868,8.110577703883492e-05
Pf3D7_01_v3:302937-303398,9.699929179023627e-05
Pf3D7_01_v3:304362-309257,0.00027389656988843585
Pf3D7_01_v3:314618-319405,0.00017714742583096625
Pf3D7_01_v3:320168-321508,1.643265498417877e-05
Pf3D7_01_v3:322371-326072,0.00024751749347204686
Pf3D7_01_v3:326397-327224,4.865401771122227e-05
Pf3D7_01_v3:330738-332708,0.0003392986829792228
Pf3D7_01_v3:337168-343833,0.00022347469883611531
Pf3D7_01_v3:344400-346540,0.0003605589763431492
Pf3D7_01_v3:349170-349709,0.00012120614311161104
Pf3D7_01_v3:349995-351626,0.00019634808740016002
Pf3D7_01_v3:352314-356211,9.351837443382785e-05
Pf3D7_01_v3:363318-363992,3.248925590211364e-05
Pf3D7_01_v3:365610-368795,0.00012828601660852342
Pf3D7_01_v3:369480-370178,0.00030462232860566915
Pf3D7_01_v3:371815-373012,0.00010665008210678688
Pf3D7_01_v3:374439-375087,0.0001818496736458174
Pf3D7_01_v3:376294-377004,4.536959459429224e-05
Pf3D7_01_v3:377874-378599,4.688694560780242e-05
Pf3D7_01_v3:379149-379806,0.0003443045628450654
Pf3D7_01_v3:380697-382424,9.825452887209739e-05
Pf3D7_01_v3:383284-386632,0.00017274002911031353
Pf3D7_01_v3:386708-387940,0.0006200600439705237
Pf3D7_01_v3:388372-389076,0.0012941737492666344
Pf3D7_01_v3:389261-392065,0.0001386520975737531
Pf3D7_01_v3:392604-393035,0.0001958371768289797
Pf3D7_01_v3:393875-394835,0.00014243845653022784
Pf3D7_01_v3:396591-403606,0.0001958671712963493
Pf3D7_01_v3:405739-412169,0.00013566650833550257
Pf3D7_01_v3:413760-415100,7.63389202870773e-05
Pf3D7_01_v3:417921-419607,0.00016581474762525025
Pf3D7_01_v3:420293-420853,7.316205523755845e-05
Pf3D7_01_v3:421776-427575,0.00017986542187092413
Pf3D7_01_v3:431539-435042,0.00011976460154893374
Pf3D7_01_v3:436408-438564,7.721282420346023e-05
Pf3D7_01_v3:439652-441418,0.00011300424532248709
Pf3D7_01_v3:442543-443289,8.075632829597963e-05
Pf3D7_01_v3:446026-448849,9.748535769831055e-05
Pf3D7_01_v3:450831-453118,2.260483511993785e-05
Pf3D7_01_v3:454847-455338,0.0001438089911280866
Pf3D7_01_v3:464726-470194,0.00038058699772416027
Pf3D7_01_v3:481809-482618,3.3501541020034196e-05
Pf3D7_01_v3:487892-490127,0.0001110854583321804
Pf3D7_01_v3:495244-500076,0.0020542289540961788
Pf3D7_01_v3:500959-502868,0.0014958915126350382
Pf3D7_01_v3:504938-506874,0.001031643609165745
Pf3D7_01_v3:508252-509748,0.0001141182477020132
Pf3D7_01_v3:520807-522579,0.00047795051729457105
Pf3D7_01_v3:527107-536351,0.006274925921761301
Pf3D7_01_v3:537109-538025,0.002520137619873358
Pf3D7_01_v3:542480-546983,0.00017814400760082595
Pf3D7_02_v3:109564-110580,0.0039263760768536654
Pf3D7_02_v3:120524-124102,0.00018334713217624558
Pf3D7_02_v3:127994-128314,0.0001378894484688552
Pf3D7_02_v3:129342-133563,0.0001622757845387551
