,pi_ns_div_pi_s
Pf3D7_01_v3:98819-102282,0.40387607202814857
Pf3D7_01_v3:110750-115799,1.459945944971123
Pf3D7_01_v3:119041-121249,1.5664630929189194
Pf3D7_01_v3:126318-128141,0.5496512847734544
Pf3D7_01_v3:128960-130840,1.552454585261118
Pf3D7_01_v3:132086-133624,3.9260325342445577
Pf3D7_01_v3:134353-139257,0.40224421670964605
Pf3D7_01_v3:140662-142219,0.925874615605228
Pf3D7_01_v3:143640-146396,0.26247167182370756
Pf3D7_01_v3:147915-152777,0.30686123091143236
Pf3D7_01_v3:154176-160426,0.5539588281235875
Pf3D7_01_v3:161131-166229,0.5277951317078696
Pf3D7_01_v3:166513-168687,0.41416605988854144
Pf3D7_01_v3:169079-171273,0.29103915667511443
Pf3D7_01_v3:172864-174591,2.579118312524733
Pf3D7_01_v3:175609-176376,0.2713178294573643
Pf3D7_01_v3:178087-180790,5.192298246267833
Pf3D7_01_v3:182822-184222,1.0960850561204583
Pf3D7_01_v3:190269-201230,0.5347633358964621
Pf3D7_01_v3:202536-204143,0.6061521153417261
Pf3D7_01_v3:204622-205455,0.2419955323901713
Pf3D7_01_v3:206170-210189,0.853020943777915
Pf3D7_01_v3:210870-213005,0.3425773384883123
Pf3D7_01_v3:215776-217509,0.5533397843967002
Pf3D7_01_v3:221202-221633,0.43494598408970847
Pf3D7_01_v3:222254-223960,0.4806581393129659
Pf3D7_01_v3:228485-229519,0.7395850826260726
Pf3D7_01_v3:230289-234402,1.136154096433068
Pf3D7_01_v3:238666-247857,1.884049686975496
Pf3D7_01_v3:249231-252010,0.488367375571725
Pf3D7_01_v3:253584-254930,0.29458512553190486
Pf3D7_01_v3:255775-258543,0.8671265738846937
Pf3D7_01_v3:260658-261809,0.25467416949520155
Pf3D7_01_v3:265208-269173,0.6336205776510533
Pf3D7_01_v3:274315-278550,0.567383803246056
Pf3D7_01_v3:279115-280014,0.9113233287858117
Pf3D7_01_v3:281155-285459,1.2212332705912794
Pf3D7_01_v3:286951-288918,0.27218934911242604
Pf3D7_01_v3:290386-292590,0.5025540428149351
Pf3D7_01_v3:295300-296931,0.583037134717729
Pf3D7_01_v3:297362-299397,0.8517248475281171
Pf3D7_01_v3:299562-300868,0.6189175739965413
Pf3D7_01_v3:304362-309257,0.35698925888366806
Pf3D7_01_v3:314618-319405,0.7242546384348465
Pf3D7_01_v3:322371-326072,0.5832700283667026
Pf3D7_01_v3:330738-332708,0.5323939530398004
Pf3D7_01_v3:337168-343833,1.510279478270034
Pf3D7_01_v3:344400-346540,1.500619369328569
Pf3D7_01_v3:352314-356211,0.8864375333552076
Pf3D7_01_v3:363318-363992,0.25815470643056854
Pf3D7_01_v3:365610-368795,0.5849007837771787
Pf3D7_01_v3:371815-373012,0.4480157100101276
Pf3D7_01_v3:379149-379806,0.2198895027624309
Pf3D7_01_v3:380697-382424,0.8310033122631602
Pf3D7_01_v3:383284-386632,0.7605445521054989
Pf3D7_01_v3:386708-387940,3.5992005842656773
Pf3D7_01_v3:388372-389076,1.7180236098894677
Pf3D7_01_v3:389261-392065,0.7354979892725616
Pf3D7_01_v3:393875-394835,0.5399441370154648
Pf3D7_01_v3:396591-403606,0.6836856516719271
Pf3D7_01_v3:405739-412169,0.6436321780761892
Pf3D7_01_v3:417921-419607,0.34366046943697326
Pf3D7_01_v3:420293-420853,0.4569343063900048
Pf3D7_01_v3:421776-427575,0.7733626891347178
Pf3D7_01_v3:431539-435042,0.6124908674271621
Pf3D7_01_v3:436408-438564,0.27691616391850066
Pf3D7_01_v3:442543-443289,0.31212938015159725
Pf3D7_01_v3:464726-470194,17.482675468688516
Pf3D7_01_v3:487892-490127,0.4840806451661677
Pf3D7_01_v3:495244-500076,0.6643917217114057
Pf3D7_01_v3:500959-502868,0.9299227928658776
Pf3D7_01_v3:504938-506874,0.5998313107346268
Pf3D7_01_v3:508252-509748,1.7867244655253507
Pf3D7_01_v3:520807-522579,3.614692290953519
Pf3D7_01_v3:527107-536351,0.6324947421900433
Pf3D7_01_v3:537109-538025,0.5592841467425164
Pf3D7_01_v3:542480-546983,0.6468912756797626
Pf3D7_02_v3:120524-124102,1.443490233292096
Pf3D7_02_v3:129342-133563,1.4450325657656684
Pf3D7_02_v3:135523-137139,0.04642115206993789
Pf3D7_02_v3:138927-141192,1.0519413411002483
Pf3D7_02_v3:141625-147564,0.9260199629852839
Pf3D7_02_v3:149524-156981,0.918303290447057
Pf3D7_02_v3:158137-159660,0.12311435095140033
Pf3D7_02_v3:160514-161242,0.04819604463022741
Pf3D7_02_v3:166144-168051,0.6605724191118605
Pf3D7_02_v3:168682-170136,0.29923347260078936
Pf3D7_02_v3:171563-174912,0.04217957913958376
Pf3D7_02_v3:176567-178300,0.6220900058024427
Pf3D7_02_v3:178955-181526,0.5085745421188661
Pf3D7_02_v3:182228-189115,0.44634947702846756
Pf3D7_02_v3:194826-196916,0.4111400671000929
Pf3D7_02_v3:198353-199570,0.27745629480141665
Pf3D7_02_v3:200482-204048,1.042739559908366
Pf3D7_02_v3:205889-207403,0.35398884413233866
Pf3D7_02_v3:209583-210833,0.5730771524173336
Pf3D7_02_v3:211348-212627,0.256143109937336
Pf3D7_02_v3:214838-217348,0.7147174214290916
Pf3D7_02_v3:219690-222256,1.3571586151685806
