,pi_s
Pf3D7_01_v3:98819-102282,0.001102893599332688
Pf3D7_01_v3:110750-115799,0.0003068294001349885
Pf3D7_01_v3:119041-121249,0.00023950345320367615
Pf3D7_01_v3:126318-128141,0.00027853716947883486
Pf3D7_01_v3:128960-130840,0.00032047762401104856
Pf3D7_01_v3:132086-133624,0.00011039715039747737
Pf3D7_01_v3:134353-139257,0.0011024444976548034
Pf3D7_01_v3:140662-142219,0.0004487472380339276
Pf3D7_01_v3:143640-146396,0.0024011774759146475
Pf3D7_01_v3:147915-152777,0.0008099280618445941
Pf3D7_01_v3:154176-160426,0.000980746565926242
Pf3D7_01_v3:161131-166229,0.0018369863721772906
Pf3D7_01_v3:166513-168687,0.0006836316634512645
Pf3D7_01_v3:169079-171273,0.0002689826749390956
Pf3D7_01_v3:172864-174591,0.00010762925444357814
Pf3D7_01_v3:175609-176376,0.0001849099622483796
Pf3D7_01_v3:178087-180790,0.0009557909103627493
Pf3D7_01_v3:182822-184222,0.0003022067498423063
Pf3D7_01_v3:190269-201230,0.0005271834363286045
Pf3D7_01_v3:202536-204143,0.00015153791696905378
Pf3D7_01_v3:204622-205455,0.004300290168877026
Pf3D7_01_v3:206170-210189,0.0003911075495932422
Pf3D7_01_v3:210870-213005,0.0005500534316814504
Pf3D7_01_v3:215776-217509,9.557933898028166e-05
Pf3D7_01_v3:221202-221633,0.0002000676351897727
Pf3D7_01_v3:222254-223960,0.00017934930820430204
Pf3D7_01_v3:228485-229519,7.969820747453034e-05
Pf3D7_01_v3:230289-234402,0.00023317896579171178
Pf3D7_01_v3:238666-247857,0.00012886694072392383
Pf3D7_01_v3:249231-252010,0.0002136607045971905
Pf3D7_01_v3:253584-254930,0.0005265851570190926
Pf3D7_01_v3:255775-258543,0.00016176485634126334
Pf3D7_01_v3:260658-261809,0.00018306828883464627
Pf3D7_01_v3:265208-269173,0.0006389140242554378
Pf3D7_01_v3:274315-278550,0.0001838325232526465
Pf3D7_01_v3:279115-280014,9.301042086291496e-05
Pf3D7_01_v3:281155-285459,0.00023059155573470371
Pf3D7_01_v3:286951-288918,0.0007063309843194351
Pf3D7_01_v3:290386-292590,0.0005523962164388885
Pf3D7_01_v3:295300-296931,0.000328216613089941
Pf3D7_01_v3:297362-299397,0.0001815199663551581
Pf3D7_01_v3:299562-300868,0.00013104455334029367
Pf3D7_01_v3:304362-309257,0.000767240366684787
Pf3D7_01_v3:314618-319405,0.0002445927391142312
Pf3D7_01_v3:322371-326072,0.0004243617560208876
Pf3D7_01_v3:330738-332708,0.0006373075446141623
Pf3D7_01_v3:337168-343833,0.00014796910244195124
Pf3D7_01_v3:344400-346540,0.00024027343889641798
Pf3D7_01_v3:352314-356211,0.00010549911405472241
Pf3D7_01_v3:363318-363992,0.00012585188297100337
Pf3D7_01_v3:365610-368795,0.00021932953445553036
Pf3D7_01_v3:371815-373012,0.0002380498712966472
Pf3D7_01_v3:379149-379806,0.0015658071827878604
Pf3D7_01_v3:380697-382424,0.00011823602556349664
Pf3D7_01_v3:383284-386632,0.00022712677203734925
Pf3D7_01_v3:386708-387940,0.0001722771569556829
Pf3D7_01_v3:388372-389076,0.0007532921793489774
Pf3D7_01_v3:389261-392065,0.00018851458412671643
Pf3D7_01_v3:393875-394835,0.0002638022098314741
Pf3D7_01_v3:396591-403606,0.0002864871755277643
Pf3D7_01_v3:405739-412169,0.00021078266897874581
Pf3D7_01_v3:417921-419607,0.0004824958421808255
Pf3D7_01_v3:420293-420853,0.00016011504107794615
Pf3D7_01_v3:421776-427575,0.00023257576865024065
Pf3D7_01_v3:431539-435042,0.0001955369588644132
Pf3D7_01_v3:436408-438564,0.0002788310480358408
Pf3D7_01_v3:442543-443289,0.0002587270966185795
Pf3D7_01_v3:464726-470194,2.1769379544097348e-05
Pf3D7_01_v3:487892-490127,0.00022947717377555697
Pf3D7_01_v3:495244-500076,0.0030918942650349306
Pf3D7_01_v3:500959-502868,0.001608619042474411
Pf3D7_01_v3:504938-506874,0.0017198895601202747
Pf3D7_01_v3:508252-509748,6.387008736036925e-05
Pf3D7_01_v3:520807-522579,0.00013222439942972092
Pf3D7_01_v3:527107-536351,0.009920913966864087
Pf3D7_01_v3:537109-538025,0.004506005819316707
Pf3D7_01_v3:542480-546983,0.00027538477376067515
Pf3D7_02_v3:120524-124102,0.0001270165380738981
Pf3D7_02_v3:129342-133563,0.00011229905012747672
Pf3D7_02_v3:135523-137139,0.0019075642539789818
Pf3D7_02_v3:138927-141192,0.0003672605268112653
Pf3D7_02_v3:141625-147564,0.00014284171444997078
Pf3D7_02_v3:149524-156981,0.00022228277895386696
Pf3D7_02_v3:158137-159660,0.0004232529833575055
Pf3D7_02_v3:160514-161242,0.0006736090233182707
Pf3D7_02_v3:166144-168051,0.00010000879575222993
Pf3D7_02_v3:168682-170136,0.00032818964586012493
Pf3D7_02_v3:171563-174912,0.0003239913030038657
Pf3D7_02_v3:176567-178300,0.0004725134535706264
Pf3D7_02_v3:178955-181526,0.0003228907858321153
Pf3D7_02_v3:182228-189115,0.00020483735329510422
Pf3D7_02_v3:194826-196916,0.0003417703672603762
Pf3D7_02_v3:198353-199570,0.0035320198198205747
Pf3D7_02_v3:200482-204048,0.0003236446138582424
Pf3D7_02_v3:205889-207403,0.0005368485831059528
Pf3D7_02_v3:209583-210833,0.0001979408965904938
Pf3D7_02_v3:211348-212627,6.718951954731361e-05
Pf3D7_02_v3:214838-217348,0.0008572037120951446
Pf3D7_02_v3:219690-222256,0.0002736380524111607
Pf3D7_02_v3:223478-224851,0.000499830665894725
Pf3D7_02_v3:228025-229932,0.00010143411556583337
Pf3D7_02_v3:232729-233476,0.0005033565965606869
Pf3D7_02_v3:235237-238816,0.00015851279130361015
Pf3D7_02_v3:239246-243796,0.0008544056339109985
Pf3D7_02_v3:249030-250727,0.00018292639173780897
Pf3D7_02_v3:263037-267347,0.00027509331554209014
Pf3D7_02_v3:270078-270619,0.00035785130935922765
Pf3D7_02_v3:275540-276577,0.0010752051428585046
Pf3D7_02_v3:277494-278456,0.000101476073041443
Pf3D7_02_v3:281907-287345,0.00025664645394810184
Pf3D7_02_v3:290168-292703,0.0002452547832213667
Pf3D7_02_v3:294273-297616,0.0002454320566067765
Pf3D7_02_v3:298897-302564,0.0002162679334409303
Pf3D7_02_v3:303593-307027,0.00016288573118165088
Pf3D7_02_v3:308847-312155,0.00021442294002192434
Pf3D7_02_v3:313449-316741,0.00026375951659653705
Pf3D7_02_v3:317596-321310,0.0018108687404430582
Pf3D7_02_v3:322338-325723,0.0024889332407075867
Pf3D7_02_v3:327932-335203,0.00011490139624794189
Pf3D7_02_v3:337558-342966,0.0001239917413682225
Pf3D7_02_v3:343308-349340,7.31600576086678e-05
Pf3D7_02_v3:354621-356117,0.0004156704509152024
Pf3D7_02_v3:360828-368354,0.00017843730455306464
Pf3D7_02_v3:370438-379845,0.0009618728891974583
Pf3D7_02_v3:381130-383445,0.00025325184107081653
Pf3D7_02_v3:387273-388151,0.0007917483649518836
Pf3D7_02_v3:388424-390611,0.00018554591717948374
Pf3D7_02_v3:391275-392789,5.503079841974342e-05
Pf3D7_02_v3:394237-398745,0.00039037381932143406
Pf3D7_02_v3:400153-401859,0.00015641662753393875
Pf3D7_02_v3:404281-406355,0.0002974806657621692
Pf3D7_02_v3:413278-421137,0.0009599038331806291
Pf3D7_02_v3:423063-424654,0.00028512473242545166
Pf3D7_02_v3:427490-431530,0.0004211720343673373
Pf3D7_02_v3:432041-434086,0.0005444972916479979
Pf3D7_02_v3:437755-439002,0.0002503894160118653
Pf3D7_02_v3:442080-442934,9.710115344384849e-05
Pf3D7_02_v3:451751-455116,0.00013015898960361253
Pf3D7_02_v3:457130-458585,0.00023085505859475806
Pf3D7_02_v3:459072-461518,0.00023678452762625207
Pf3D7_02_v3:463163-466900,0.0013910450621107697
Pf3D7_02_v3:467847-468476,0.00013556523427422562
Pf3D7_02_v3:469790-473491,0.0003980318897743553
Pf3D7_02_v3:475242-477074,5.1081796322883896e-05
Pf3D7_02_v3:480100-481432,0.00035551450895643377
Pf3D7_02_v3:483436-488970,0.0002222978954054603
Pf3D7_02_v3:489904-490818,0.00037928236192513634
Pf3D7_02_v3:492616-494306,0.00012795324276428314
Pf3D7_02_v3:495166-507854,0.00045091286292118805
Pf3D7_02_v3:509525-521746,0.0010140746704925994
Pf3D7_02_v3:522931-523999,0.0033268193525795085
Pf3D7_02_v3:524700-526043,0.00012587334815389355
Pf3D7_02_v3:528249-531923,0.00018628549852903276
Pf3D7_02_v3:533253-534350,0.00010107456105927973
Pf3D7_02_v3:537789-539420,8.956284210172927e-05
Pf3D7_02_v3:541811-543807,0.0003150723100695649
Pf3D7_02_v3:543802-545895,0.00018793732452006517
Pf3D7_02_v3:546482-555294,0.0008889587575057222
Pf3D7_02_v3:558585-560594,0.000964317505725647
Pf3D7_02_v3:561122-564622,0.00010071136469739702
Pf3D7_02_v3:566121-567894,0.0005516070727767801
Pf3D7_02_v3:568529-573315,0.0002521853575860848
Pf3D7_02_v3:578662-586164,0.00031405862376474746
Pf3D7_02_v3:586765-589051,0.0004727685468851268
Pf3D7_02_v3:590501-591421,0.00019312525134590163
Pf3D7_02_v3:594196-599340,6.679469540460065e-05
Pf3D7_02_v3:599829-601712,0.00038195233780146103
Pf3D7_02_v3:605045-609325,0.00010501232778842087
Pf3D7_02_v3:610625-615372,0.00032068934098324964
Pf3D7_02_v3:616772-619429,0.00021305571727529908
Pf3D7_02_v3:622524-624306,0.00017437975918187305
Pf3D7_02_v3:626976-627710,0.0015371176838333334
Pf3D7_02_v3:628642-631308,0.00012295668874448613
Pf3D7_02_v3:634589-637507,0.00021225767602297836
Pf3D7_02_v3:640400-642694,3.898469433025722e-05
Pf3D7_02_v3:645929-650085,0.0008776698900503696
Pf3D7_02_v3:650663-653362,0.000569539700395402
Pf3D7_02_v3:658636-664629,0.00017599205566572458
Pf3D7_02_v3:664984-668532,0.00036334802220481616
Pf3D7_02_v3:670413-674558,0.0002726436238251437
Pf3D7_02_v3:675431-677599,0.000235953885513533
Pf3D7_02_v3:678487-683703,0.0001336266618609734
Pf3D7_02_v3:686485-688545,8.741805700216954e-05
Pf3D7_02_v3:690311-695783,0.002216147201420423
Pf3D7_02_v3:696193-699561,0.00024180278621526734
Pf3D7_02_v3:701245-702894,0.0013951685746522251
Pf3D7_02_v3:703090-706587,0.000507415372125382
Pf3D7_02_v3:707738-709393,0.0002984640691000945
Pf3D7_02_v3:709799-715252,9.762916006914777e-05
Pf3D7_02_v3:720437-722661,0.0012239000811402618
Pf3D7_02_v3:723747-729932,0.0009890520490517
Pf3D7_02_v3:735438-736997,4.847987818717458e-05
Pf3D7_02_v3:738860-739852,0.00031894727029514914
Pf3D7_02_v3:743289-745712,0.00011155548841344602
Pf3D7_02_v3:747566-749365,0.0005210656891203518
Pf3D7_02_v3:750049-751737,0.00021643349302244988
Pf3D7_02_v3:752966-753439,0.000675909765958038
Pf3D7_02_v3:755418-762560,0.00026095679345154764
Pf3D7_02_v3:763491-765191,0.000639179145442957
Pf3D7_02_v3:769761-771041,0.0005710181889897716
Pf3D7_02_v3:776828-778065,0.0007666121254492419
Pf3D7_02_v3:779418-782132,0.0001504113545609011
Pf3D7_02_v3:783723-784828,0.00020994573791789997
Pf3D7_02_v3:786870-787940,0.0018754377304751246
Pf3D7_02_v3:796752-801586,0.0007891820396409833
Pf3D7_02_v3:804520-807741,0.000885375116090286
Pf3D7_02_v3:833805-834688,0.001219512534660835
Pf3D7_02_v3:838843-844116,0.011858077791017715
Pf3D7_03_v3:78195-80393,0.0002016682078035386
Pf3D7_03_v3:85305-86131,0.0004007524054443943
Pf3D7_03_v3:91115-93463,0.00010845272799803174
Pf3D7_03_v3:105913-107109,0.002881169837202194
Pf3D7_03_v3:107961-109880,0.0024577354349035957
Pf3D7_03_v3:114070-118086,0.0007110401078217106
Pf3D7_03_v3:119458-124735,0.025720609177010623
Pf3D7_03_v3:135418-140660,0.012327904972348617
Pf3D7_03_v3:141556-145653,0.004289323466398026
Pf3D7_03_v3:146372-147056,0.0003397818854213811
Pf3D7_03_v3:148046-149305,0.00027749812572104267
Pf3D7_03_v3:152168-156146,0.00020088460965693303
Pf3D7_03_v3:159353-161704,0.0003972024142809305
Pf3D7_03_v3:162778-167103,0.0003057300289953408
Pf3D7_03_v3:169571-174300,0.0003128540926556295
Pf3D7_03_v3:178420-181127,0.00016510406859620777
Pf3D7_03_v3:182731-189411,0.0010193413099118995
Pf3D7_03_v3:191245-192591,6.244708761871234e-05
Pf3D7_03_v3:194430-196211,0.00025065253472926794
Pf3D7_03_v3:196570-197438,0.00014127133033453135
Pf3D7_03_v3:198542-201584,6.79195881557418e-05
Pf3D7_03_v3:204542-206119,0.0008121377493548135
Pf3D7_03_v3:212283-216572,0.00040051769760050235
Pf3D7_03_v3:221323-222516,6.037417321325625e-05
Pf3D7_03_v3:227057-231397,9.733799784595744e-05
Pf3D7_03_v3:231793-232305,0.00017746774957860066
Pf3D7_03_v3:234058-235334,0.00035171074028072586
Pf3D7_03_v3:236334-248270,0.0003123999959337573
Pf3D7_03_v3:251242-254661,0.00038342864677785675
Pf3D7_03_v3:255276-258416,0.00015211091961345535
Pf3D7_03_v3:260332-261085,0.00021200603782209966
Pf3D7_03_v3:261485-273286,0.00027610813408913433
Pf3D7_03_v3:275864-277717,0.0002239579215506798
Pf3D7_03_v3:281916-285260,0.0003947417130292227
Pf3D7_03_v3:285579-286112,0.00017758730571842903
Pf3D7_03_v3:286906-287319,0.00048548592757114713
Pf3D7_03_v3:288637-290747,0.00023620252056308442
Pf3D7_03_v3:298517-300478,0.00019005337779368629
Pf3D7_03_v3:306108-307984,0.00034032839472377806
Pf3D7_03_v3:314976-316236,0.00011924553727688082
Pf3D7_03_v3:318804-320336,0.0004190573533079496
Pf3D7_03_v3:321050-322162,7.440130111755887e-05
Pf3D7_03_v3:322933-324836,0.00026703906745606824
Pf3D7_03_v3:325922-328383,0.0012555114067626723
Pf3D7_03_v3:328787-335269,0.00014099851113726593
Pf3D7_03_v3:337179-339278,0.00036645559746494754
Pf3D7_03_v3:340028-351652,0.00046633909680021267
Pf3D7_03_v3:353549-355045,0.0010076410662054386
Pf3D7_03_v3:356319-361454,0.0013283427591480761
Pf3D7_03_v3:362342-364233,0.00794110451372741
Pf3D7_03_v3:365659-366672,0.0002753458022521072
Pf3D7_03_v3:369925-370789,0.0006058593020952353
Pf3D7_03_v3:372632-374230,0.00011160577816017818
Pf3D7_03_v3:375806-377437,0.0001063594437701407
Pf3D7_03_v3:378045-378517,0.00023940676289184885
Pf3D7_03_v3:379130-383290,0.00013118665636720878
Pf3D7_03_v3:384375-386879,0.00012448700410396717
Pf3D7_03_v3:387219-388473,0.0009989177858500562
Pf3D7_03_v3:389137-394604,0.0003230299774371903
Pf3D7_03_v3:397649-400516,0.0001334326222204062
Pf3D7_03_v3:402933-405440,0.00028983571280684453
Pf3D7_03_v3:409102-410928,0.00014742731415014247
Pf3D7_03_v3:414234-419673,0.0002447361296211985
Pf3D7_03_v3:420697-421515,0.0001331540464330433
Pf3D7_03_v3:422379-424680,0.0009135527230734718
Pf3D7_03_v3:427290-440942,0.00023336235392470135
Pf3D7_03_v3:442720-446457,0.00023258733274371333
Pf3D7_03_v3:447500-451384,0.0003281022060687595
Pf3D7_03_v3:452297-459106,0.00021535289959353338
Pf3D7_03_v3:466085-468445,3.939380686644028e-05
Pf3D7_03_v3:469287-470118,0.0009648962774147794
Pf3D7_03_v3:470860-473161,0.002039676673647082
Pf3D7_03_v3:474788-479086,0.0003396455213854366
Pf3D7_03_v3:480122-483453,0.00019548829467135671
Pf3D7_03_v3:488804-496510,0.00021988265303866296
Pf3D7_03_v3:499602-502353,0.0004273253067385777
Pf3D7_03_v3:502698-505848,6.206798412000986e-05
Pf3D7_03_v3:506655-508846,0.003928575761386944
Pf3D7_03_v3:509291-511597,0.0008283559155406622
Pf3D7_03_v3:513752-516262,0.001408880689245521
Pf3D7_03_v3:516793-520503,0.0002221686784698601
Pf3D7_03_v3:521969-522883,0.0003513887125674787
Pf3D7_03_v3:529037-530776,0.0001371730893879804
Pf3D7_03_v3:536043-537274,0.0005026457614531191
Pf3D7_03_v3:539743-542810,0.00018048032327194413
Pf3D7_03_v3:544055-545194,0.00048224729252873224
Pf3D7_03_v3:545828-548182,7.33305634421281e-05
Pf3D7_03_v3:548718-551453,6.677498593976518e-05
Pf3D7_03_v3:552001-554621,0.0038312867955009465
Pf3D7_03_v3:555035-558684,0.0004727384959629188
Pf3D7_03_v3:559334-562253,9.74977673057742e-05
Pf3D7_03_v3:562366-565656,0.00026660226294669535
Pf3D7_03_v3:572666-576823,0.00010926597993138971
Pf3D7_03_v3:577008-578366,0.0003949774181073948
Pf3D7_03_v3:579539-580465,0.00015215091121925244
Pf3D7_03_v3:584226-585168,0.0001382315024808663
Pf3D7_03_v3:586555-587331,0.00026217539759851007
Pf3D7_03_v3:589002-592547,0.0004893515196964041
Pf3D7_03_v3:604595-607931,5.7330064503774373e-05
Pf3D7_03_v3:608883-610718,0.00029375961705778144
Pf3D7_03_v3:616472-622816,0.00011165616326851416
Pf3D7_03_v3:623446-630360,0.00020831593811695897
Pf3D7_03_v3:630611-631381,0.0002515140135843286
Pf3D7_03_v3:635586-637462,0.00025580505173280067
Pf3D7_03_v3:638283-641306,0.00026083149086406874
Pf3D7_03_v3:641482-642579,8.006362443535914e-05
Pf3D7_03_v3:644186-645268,0.0007578130132334965
Pf3D7_03_v3:645921-646844,0.00020560018114724373
Pf3D7_03_v3:648635-649531,0.0005472511512056552
Pf3D7_03_v3:649849-657247,0.0003201596620073044
Pf3D7_03_v3:658272-661643,0.00013698940072035207
Pf3D7_03_v3:662126-665152,0.00023668247296061785
Pf3D7_03_v3:667006-668391,0.00016060840798430022
Pf3D7_03_v3:669302-670873,0.002582768240892072
Pf3D7_03_v3:674458-675636,0.0010649674501429097
Pf3D7_03_v3:679234-681277,0.003017577228538703
Pf3D7_03_v3:686282-689482,0.0009279338766110825
Pf3D7_03_v3:690154-694815,0.0002376586162270556
Pf3D7_03_v3:699544-709728,0.0005452457106287225
Pf3D7_03_v3:712253-714082,0.00042499970581505475
Pf3D7_03_v3:716523-721831,0.0005145593844678824
Pf3D7_03_v3:725015-726130,0.0007091821360756796
Pf3D7_03_v3:728259-738076,0.0005346407242501741
Pf3D7_03_v3:738205-738882,0.0007527895079268555
Pf3D7_03_v3:739428-741733,0.0001953701593637879
Pf3D7_03_v3:742191-742799,0.0003035312364623915
Pf3D7_03_v3:743929-745053,0.00021178298385262506
Pf3D7_03_v3:748465-755838,0.0017373893178996324
Pf3D7_03_v3:756491-760292,0.0001016195486204537
Pf3D7_03_v3:761693-765439,0.0002120250435695744
Pf3D7_03_v3:767815-782760,0.00018551466619115867
Pf3D7_03_v3:783112-786165,0.0002650587777453985
Pf3D7_03_v3:795577-801171,0.0005520175179503346
Pf3D7_03_v3:803592-806312,0.00025502481544942767
Pf3D7_03_v3:810081-814172,0.00047850530163925
Pf3D7_03_v3:815569-816855,0.0003893779152566009
Pf3D7_03_v3:820708-830802,0.0003773938644627522
Pf3D7_03_v3:831076-832509,0.0012317919329817818
Pf3D7_03_v3:833833-834777,9.404961424864279e-05
Pf3D7_03_v3:840362-841758,0.00015496191941835938
Pf3D7_03_v3:842539-844290,0.00022976422355317047
Pf3D7_03_v3:848247-857504,0.00010737756075909026
Pf3D7_03_v3:860813-862102,0.0006014925302228089
Pf3D7_03_v3:865014-866420,0.00015867554123031907
Pf3D7_03_v3:877735-879511,0.00035977647238192185
Pf3D7_03_v3:879959-885493,0.0005088971920572095
Pf3D7_03_v3:886962-888976,7.350871842761396e-05
Pf3D7_03_v3:890014-892764,0.002574559522385631
Pf3D7_03_v3:894761-896112,0.0001784643762329571
Pf3D7_03_v3:896546-899770,0.0006076967355225772
Pf3D7_03_v3:900857-903369,0.00019803611027055968
Pf3D7_03_v3:903764-910118,0.00013198617745690616
Pf3D7_03_v3:912916-921036,0.0008285895430119217
Pf3D7_03_v3:922974-927942,0.000971858268733119
Pf3D7_03_v3:928644-929159,0.00035354314473946477
Pf3D7_03_v3:930640-932415,0.00014513981788525978
Pf3D7_03_v3:933188-937006,0.0004134225536631384
Pf3D7_03_v3:938212-940173,0.00018063178953959237
Pf3D7_03_v3:942545-945301,0.00027612245840081233
Pf3D7_03_v3:945537-946751,0.0010398044814008336
Pf3D7_03_v3:948374-952693,0.0005299220388017114
Pf3D7_03_v3:952964-962367,0.00034140723787602173
Pf3D7_03_v3:964101-965203,0.0009951179829661744
Pf3D7_03_v3:965553-966502,0.0015489269337991037
Pf3D7_03_v3:968675-969202,0.0006800561059859253
Pf3D7_03_v3:971166-975794,0.00024146809794622917
Pf3D7_03_v3:976870-978195,0.00018796968893076624
Pf3D7_03_v3:978970-980271,0.00019589645992306435
Pf3D7_03_v3:980706-983966,0.00019580467380390736
Pf3D7_03_v3:986265-987610,0.0005788617269996234
Pf3D7_03_v3:988631-990882,0.0002677798852459882
Pf3D7_03_v3:991544-993625,0.0001907004480584155
Pf3D7_03_v3:998649-1001582,0.0001404735082077507
Pf3D7_04_v3:92576-93809,0.0072844842929411764
Pf3D7_04_v3:108380-111295,0.0001679207019186457
Pf3D7_04_v3:114601-116058,6.78018987175915e-05
Pf3D7_04_v3:123588-125464,0.00014538623078717968
Pf3D7_04_v3:137640-146653,0.0005020102559044061
Pf3D7_04_v3:175372-177252,0.000336119279264498
Pf3D7_04_v3:178518-180200,0.00017457405155077134
Pf3D7_04_v3:182870-194712,0.00017019955818093022
Pf3D7_04_v3:195543-196745,0.00028541602588956787
Pf3D7_04_v3:197846-201208,0.00024045336569876853
Pf3D7_04_v3:206228-209394,0.0003036717895007319
Pf3D7_04_v3:219087-222838,0.0008042159459838615
Pf3D7_04_v3:224779-231733,0.000608975916392253
Pf3D7_04_v3:232595-233249,0.0001664111326656686
Pf3D7_04_v3:234014-237013,0.0013248592187703198
Pf3D7_04_v3:238360-239499,0.0003476238107429614
Pf3D7_04_v3:240911-242347,0.0002357723998609976
Pf3D7_04_v3:247731-260147,0.0002895591872813387
Pf3D7_04_v3:260454-263418,0.00016003227142305648
Pf3D7_04_v3:264305-266170,0.0002460868862263763
Pf3D7_04_v3:267244-268380,0.0001375821208577207
Pf3D7_04_v3:268960-271134,0.0003524453988308377
Pf3D7_04_v3:272255-276824,0.0003093347048941578
Pf3D7_04_v3:279072-281983,0.0007254857380971025
Pf3D7_04_v3:282403-288297,0.00029878541205195265
Pf3D7_04_v3:291251-300976,0.0006133336474949447
Pf3D7_04_v3:301259-302267,0.00013304672734052873
Pf3D7_04_v3:303329-305343,9.3175561674941e-05
Pf3D7_04_v3:305746-312993,0.00031399488228758387
Pf3D7_04_v3:316540-319178,0.00017571705711157213
Pf3D7_04_v3:321019-322545,0.00023501048183058527
Pf3D7_04_v3:323267-325225,0.002934053799544285
Pf3D7_04_v3:332043-333856,0.00033698762788118944
Pf3D7_04_v3:334282-344054,0.0001468375384999539
Pf3D7_04_v3:346308-346727,0.00018670838168546714
Pf3D7_04_v3:347458-351499,0.00025148150820203814
Pf3D7_04_v3:351527-352983,0.0001007511951853322
Pf3D7_04_v3:353655-359878,0.00014495948715301333
Pf3D7_04_v3:360547-361764,0.0001457136241297362
Pf3D7_04_v3:366379-367341,0.0002540474351336318
Pf3D7_04_v3:369885-371270,6.965938105003733e-05
Pf3D7_04_v3:373039-376677,9.710830801057372e-05
Pf3D7_04_v3:377481-383087,0.0003569511495170123
Pf3D7_04_v3:384924-390806,0.0006994735203293335
Pf3D7_04_v3:391347-393350,0.0004977554720344602
Pf3D7_04_v3:394065-394580,0.0001550974378426393
Pf3D7_04_v3:397328-400693,0.0001929603216779877
Pf3D7_04_v3:401466-403334,0.00014845806861595986
Pf3D7_04_v3:403626-405366,0.0006496595460547128
Pf3D7_04_v3:406233-407909,0.0001311589568726994
Pf3D7_04_v3:408679-410697,0.00019110213000040385
Pf3D7_04_v3:413403-416357,0.0002841096782445676
Pf3D7_04_v3:417372-420824,0.0010005167550464606
Pf3D7_04_v3:422011-422958,8.324566669503245e-05
Pf3D7_04_v3:424300-427194,0.00023511508971927906
Pf3D7_04_v3:427664-435367,0.0004125977296501928
Pf3D7_04_v3:436217-437981,0.00016000995819062935
Pf3D7_04_v3:438887-440335,0.0002763642208337518
Pf3D7_04_v3:440968-444242,0.0008763086330120535
Pf3D7_04_v3:446000-448018,0.00022998026647526827
Pf3D7_04_v3:449189-450633,0.00014516157504274518
Pf3D7_04_v3:452134-455571,0.00028182632468821755
Pf3D7_04_v3:456922-458020,0.00017545195066349923
Pf3D7_04_v3:459710-461437,0.001393099399033338
Pf3D7_04_v3:461991-463957,0.0026083606387276295
Pf3D7_04_v3:464732-467339,0.00015342017681397425
Pf3D7_04_v3:470528-473596,0.000674065277648414
Pf3D7_04_v3:474542-475558,0.00045358409529039215
Pf3D7_04_v3:475944-476585,0.00028837456209888603
Pf3D7_04_v3:479028-480468,0.0002040566787830988
Pf3D7_04_v3:481177-483891,0.00013587078983849288
Pf3D7_04_v3:485832-489728,0.0013005189661412324
Pf3D7_04_v3:490442-493375,0.00013180772482847774
Pf3D7_04_v3:499168-503880,0.00015522593211517795
Pf3D7_04_v3:505933-509670,0.00025199314774903626
Pf3D7_04_v3:510380-512548,0.0003631813221512043
Pf3D7_04_v3:513154-517068,0.002713089022520698
Pf3D7_04_v3:519832-525618,0.0005845741389019349
Pf3D7_04_v3:528192-534485,0.0034798726796616258
Pf3D7_04_v3:536774-539110,0.00020361511725309908
