,theta
Pf3D7_01_v3:98819-102282,0.000836090313594509
Pf3D7_01_v3:104704-105209,0.0024042926265983285
Pf3D7_01_v3:110750-115799,0.0013504727454399154
Pf3D7_01_v3:119041-121249,0.0017956709640637519
Pf3D7_01_v3:124517-125484,0.15891688031964205
Pf3D7_01_v3:126318-128141,0.0007624524758310448
Pf3D7_01_v3:128960-130840,0.0012208723199972499
Pf3D7_01_v3:132086-133624,0.0008450678820358889
Pf3D7_01_v3:134353-139257,0.001332851254293772
Pf3D7_01_v3:140662-142219,0.0011685064729385444
Pf3D7_01_v3:143640-146396,0.001012968490976346
Pf3D7_01_v3:147915-152777,0.0005814866477472911
Pf3D7_01_v3:154176-160426,0.0007759613296857521
Pf3D7_01_v3:161131-166229,0.0010300825948300445
Pf3D7_01_v3:166513-168687,0.0012159362509066825
Pf3D7_01_v3:169079-171273,0.0003194844747427935
Pf3D7_01_v3:172864-174591,0.0012047454745114144
Pf3D7_01_v3:175609-176376,0.15994226311938295
Pf3D7_01_v3:178087-180790,0.003018937696041832
Pf3D7_01_v3:182822-184222,0.0013354359690726221
Pf3D7_01_v3:190269-201230,0.0011674481496763479
Pf3D7_01_v3:202536-204143,0.0008465891645643031
Pf3D7_01_v3:204622-205455,0.0014886827196219396
Pf3D7_01_v3:206170-210189,0.001621600819588184
Pf3D7_01_v3:210870-213005,0.0009200450965874012
Pf3D7_01_v3:215776-217509,0.00039853763089565405
Pf3D7_01_v3:221202-221633,0.009932305019977628
Pf3D7_01_v3:222254-223960,0.0006825349190535807
Pf3D7_01_v3:228485-229519,0.0010689476254684442
Pf3D7_01_v3:230289-234402,0.0013514925305776007
Pf3D7_01_v3:238666-247857,0.0009230591673378923
Pf3D7_01_v3:249231-252010,0.0007592779757269089
Pf3D7_01_v3:253584-254930,0.0006395045485699881
Pf3D7_01_v3:255775-258543,0.0005842532364692722
Pf3D7_01_v3:260658-261809,0.0012777833638012537
Pf3D7_01_v3:263340-264223,0.0007484311475022388
Pf3D7_01_v3:265208-269173,0.0008621168914266296
Pf3D7_01_v3:272454-273404,0.000988668235018009
Pf3D7_01_v3:274315-278550,0.0007397217082372787
Pf3D7_01_v3:279115-280014,0.0008419437367928055
Pf3D7_01_v3:281155-285459,0.0008862284834048478
Pf3D7_01_v3:286951-288918,0.0006060506376347237
Pf3D7_01_v3:290386-292590,0.0015379052934158905
Pf3D7_01_v3:295300-296931,0.0013161036508232149
Pf3D7_01_v3:297362-299397,0.0008100433986328534
Pf3D7_01_v3:299562-300868,0.002485687949894626
Pf3D7_01_v3:302937-303398,0.0009603780294979153
Pf3D7_01_v3:304362-309257,0.0008562331913773817
Pf3D7_01_v3:314618-319405,0.000814958360613549
Pf3D7_01_v3:320168-321508,0.1592526452494439
Pf3D7_01_v3:322371-326072,0.0009118596894337126
Pf3D7_01_v3:326397-327224,0.0028126881472503016
Pf3D7_01_v3:330738-332708,0.0013391871937048487
Pf3D7_01_v3:337168-343833,0.0009807792035156308
Pf3D7_01_v3:344400-346540,0.00048294964442591024
Pf3D7_01_v3:349170-349709,0.0028044155350525064
Pf3D7_01_v3:349995-351626,0.0008018006070617661
Pf3D7_01_v3:352314-356211,0.0012084933864611562
Pf3D7_01_v3:363318-363992,0.1590840287932561
Pf3D7_01_v3:365610-368795,0.0006159569004637288
Pf3D7_01_v3:369480-370178,0.0018147115207789465
Pf3D7_01_v3:371815-373012,0.0009175339510371942
Pf3D7_01_v3:374439-375087,0.0010419691408428858
Pf3D7_01_v3:376294-377004,0.15976753726534945
Pf3D7_01_v3:377874-378599,0.1602965093213139
Pf3D7_01_v3:379149-379806,0.002521552416741638
Pf3D7_01_v3:380697-382424,0.0007379643482788552
Pf3D7_01_v3:383284-386632,0.0006286288628267522
Pf3D7_01_v3:386708-387940,0.0007588000441245628
Pf3D7_01_v3:388372-389076,0.0017180203277799141
Pf3D7_01_v3:389261-392065,0.0008786873319411487
Pf3D7_01_v3:392604-393035,0.008828715573313446
Pf3D7_01_v3:393875-394835,0.0011132531020640424
Pf3D7_01_v3:396591-403606,0.0010806347861735657
Pf3D7_01_v3:405739-412169,0.0008538621385225651
Pf3D7_01_v3:413760-415100,0.0005853292092804495
Pf3D7_01_v3:417921-419607,0.0008056622576407709
Pf3D7_01_v3:420293-420853,0.0008498228894098505
Pf3D7_01_v3:421776-427575,0.0006954125280349633
Pf3D7_01_v3:431539-435042,0.000754053999144209
Pf3D7_01_v3:436408-438564,0.0018866597975935378
Pf3D7_01_v3:439652-441418,0.0007153058848617629
Pf3D7_01_v3:442543-443289,0.0017044717370706009
Pf3D7_01_v3:446026-448849,0.0070778953444197296
Pf3D7_01_v3:450831-453118,0.16121135140165563
Pf3D7_01_v3:454847-455338,0.0063566752127856814
Pf3D7_01_v3:464726-470194,0.0003933586146525793
Pf3D7_01_v3:481809-482618,0.15891688031964205
Pf3D7_01_v3:487892-490127,0.0007695732703130365
Pf3D7_01_v3:495244-500076,0.0017349732892339672
Pf3D7_01_v3:500959-502868,0.001379486808330226
Pf3D7_01_v3:504938-506874,0.0016504720507974691
Pf3D7_01_v3:508252-509748,0.00040505576971871377
Pf3D7_01_v3:520807-522579,0.000732757949600655
Pf3D7_01_v3:527107-536351,0.002831942667871487
Pf3D7_01_v3:537109-538025,0.0021392656966105657
Pf3D7_01_v3:542480-546983,0.0003054136072766983
Pf3D7_02_v3:109564-110580,0.0018857450739116098
Pf3D7_02_v3:120524-124102,0.0009684429735091361
Pf3D7_02_v3:127994-128314,0.0018371893678571336
Pf3D7_02_v3:129342-133563,0.000993975983985752
Pf3D7_02_v3:135523-137139,0.001119849893347894
Pf3D7_02_v3:137557-138389,0.15994226311938295
Pf3D7_02_v3:138927-141192,0.0009769745882902113
Pf3D7_02_v3:141625-147564,0.0011117160258001467
Pf3D7_02_v3:149524-156981,0.0014404022575353478
Pf3D7_02_v3:158137-159660,0.000963862807094114
Pf3D7_02_v3:160514-161242,0.0013596925537885135
Pf3D7_02_v3:166144-168051,0.0005926048986437864
Pf3D7_02_v3:168682-170136,0.0009016560585511606
Pf3D7_02_v3:171563-174912,0.0003582667189170674
Pf3D7_02_v3:176567-178300,0.0010723136323862485
Pf3D7_02_v3:178955-181526,0.0011798933109578992
Pf3D7_02_v3:182228-189115,0.0008713581167496674
Pf3D7_02_v3:192818-194199,0.15942275289665395
Pf3D7_02_v3:194826-196916,0.0015783694333890218
Pf3D7_02_v3:198353-199570,0.0017964516905698664
Pf3D7_02_v3:200482-204048,0.0013205127591030426
Pf3D7_02_v3:205889-207403,0.0025477656163469665
Pf3D7_02_v3:209583-210833,0.0010665562437559867
Pf3D7_02_v3:211348-212627,0.0016640511028234769
Pf3D7_02_v3:212982-214508,0.001419957232937978
Pf3D7_02_v3:214838-217348,0.0009316735027114692
Pf3D7_02_v3:217882-218907,0.0004506629710857113
Pf3D7_02_v3:219690-222256,0.0009880054730537285
Pf3D7_02_v3:223478-224851,0.001694209811510043
Pf3D7_02_v3:228025-229932,0.00041223574661385744
Pf3D7_02_v3:231141-232529,0.18432042907841426
Pf3D7_02_v3:232729-233476,0.00723875660224745
Pf3D7_02_v3:235237-238816,0.0006225930668742098
Pf3D7_02_v3:239246-243796,0.0017728681165495315
Pf3D7_02_v3:245358-246699,0.0009247033767560218
Pf3D7_02_v3:249030-250727,0.000831155231797291
Pf3D7_02_v3:263037-267347,0.0008603388725734681
Pf3D7_02_v3:270078-270619,0.16276967425216368
Pf3D7_02_v3:271594-273009,0.0012367072398415723
Pf3D7_02_v3:273689-274507,0.0011047501999531674
Pf3D7_02_v3:275540-276577,0.0004840108030039859
Pf3D7_02_v3:277494-278456,0.009980287169832592
Pf3D7_02_v3:281907-287345,0.0012173540843045461
Pf3D7_02_v3:288183-288665,0.1592526452494439
Pf3D7_02_v3:290168-292703,0.0014166685712815492
Pf3D7_02_v3:294273-297616,0.0013482435438405631
Pf3D7_02_v3:298897-302564,0.00131423156069833
Pf3D7_02_v3:303593-307027,0.0008384413328552542
Pf3D7_02_v3:308847-312155,0.0013864068075868444
Pf3D7_02_v3:313449-316741,0.001483663820411596
Pf3D7_02_v3:317596-321310,0.0017919410837229665
Pf3D7_02_v3:322338-325723,0.001260828141378978
Pf3D7_02_v3:327932-335203,0.0006791319671779574
Pf3D7_02_v3:337558-342966,0.0010388664197212311
Pf3D7_02_v3:343308-349340,0.0009209013733029286
Pf3D7_02_v3:352836-353628,0.0012073113647255624
Pf3D7_02_v3:354621-356117,0.0011320881946189994
Pf3D7_02_v3:356501-358014,0.001191640665118023
Pf3D7_02_v3:360828-368354,0.001200826155822787
Pf3D7_02_v3:370438-379845,0.0013246016919285567
Pf3D7_02_v3:381130-383445,0.0008989641250011177
Pf3D7_02_v3:384865-386580,0.15994226311938295
Pf3D7_02_v3:387273-388151,0.0021132563872292825
Pf3D7_02_v3:388424-390611,0.0008071968524172294
Pf3D7_02_v3:391275-392789,0.000995563854782409
Pf3D7_02_v3:394237-398745,0.0006432435002818881
Pf3D7_02_v3:400153-401859,0.0008198635270144903
Pf3D7_02_v3:404281-406355,0.000505460815266037
Pf3D7_02_v3:413278-421137,0.0010213702958633867
Pf3D7_02_v3:423063-424654,0.0007667883248233633
Pf3D7_02_v3:425689-426497,0.1592526452494439
Pf3D7_02_v3:427490-431530,0.0010049733976771425
Pf3D7_02_v3:432041-434086,0.0004142783401373713
Pf3D7_02_v3:437755-439002,0.0014929679448793583
Pf3D7_02_v3:442080-442934,0.0007999171828169901
Pf3D7_02_v3:451751-455116,0.0009655421606268457
Pf3D7_02_v3:457130-458585,0.0006049824695740759
Pf3D7_02_v3:459072-461518,0.0002024585609106113
Pf3D7_02_v3:463163-466900,0.0008441209745801506
Pf3D7_02_v3:467847-468476,0.0008599136691527356
Pf3D7_02_v3:469790-473491,0.0012684357608181234
Pf3D7_02_v3:475242-477074,0.0007945844015982102
Pf3D7_02_v3:477432-479091,0.0004747330256001256
Pf3D7_02_v3:480100-481432,0.0008516184237938176
Pf3D7_02_v3:483436-488970,0.0010737627048624462
Pf3D7_02_v3:489904-490818,0.002005260319490751
Pf3D7_02_v3:492616-494306,0.1590840287932561
Pf3D7_02_v3:495166-507854,0.00110174932384833
Pf3D7_02_v3:509525-521746,0.001021636583279657
Pf3D7_02_v3:522931-523999,0.0007705060863982644
Pf3D7_02_v3:524700-526043,0.001471452595552241
Pf3D7_02_v3:528249-531923,0.0008726901719914445
Pf3D7_02_v3:533253-534350,0.0023485253249208183
Pf3D7_02_v3:537789-539420,0.15891688031964205
Pf3D7_02_v3:540409-540969,0.0009544557376555077
Pf3D7_02_v3:541811-543807,0.0006604337883413695
Pf3D7_02_v3:543802-545895,0.0008293118346752357
Pf3D7_02_v3:546482-555294,0.0006995607350827969
Pf3D7_02_v3:558585-560594,0.0006854789949085926
Pf3D7_02_v3:561122-564622,0.0009515980857463596
Pf3D7_02_v3:566121-567894,0.0011870541947312198
Pf3D7_02_v3:568529-573315,0.0008142624098359114
Pf3D7_02_v3:578662-586164,0.0009870613684449816
Pf3D7_02_v3:586765-589051,0.0007411180294720148
Pf3D7_02_v3:590501-591421,0.15994226311938295
Pf3D7_02_v3:594196-599340,0.0008342093455099319
Pf3D7_02_v3:599829-601712,0.0011655091636589784
Pf3D7_02_v3:605045-609325,0.0007764002895534066
Pf3D7_02_v3:610625-615372,0.0008160997588777135
Pf3D7_02_v3:616772-619429,0.0008293534500824353
Pf3D7_02_v3:622524-624306,0.0007543522799983008
Pf3D7_02_v3:626976-627710,0.0011877195838538269
Pf3D7_02_v3:628642-631308,0.0012648302015207439
Pf3D7_02_v3:634589-637507,0.0005322574938935379
Pf3D7_02_v3:640400-642694,0.0009678250932986726
Pf3D7_02_v3:643106-644317,0.0006813156712524846
Pf3D7_02_v3:645929-650085,0.0004083167531337154
Pf3D7_02_v3:650663-653362,0.0005142941110668028
