,theta_s
Pf3D7_01_v3:98819-102282,0.0004643298183188957
Pf3D7_01_v3:110750-115799,0.000625657009132449
Pf3D7_01_v3:119041-121249,0.0006395045485699881
Pf3D7_01_v3:126318-128141,0.00041348711271372603
Pf3D7_01_v3:128960-130840,0.0008139148799981667
Pf3D7_01_v3:132086-133624,0.16047608233475583
Pf3D7_01_v3:134353-139257,0.0005752647251389757
Pf3D7_01_v3:140662-142219,0.0005311393058811566
Pf3D7_01_v3:143640-146396,0.0005466428315663363
Pf3D7_01_v3:147915-152777,0.0004036350370963332
Pf3D7_01_v3:154176-160426,0.0003464505784164858
Pf3D7_01_v3:161131-166229,0.000426241073722777
Pf3D7_01_v3:166513-168687,0.0006004623461267569
Pf3D7_01_v3:169079-171273,0.0003194844747427935
Pf3D7_01_v3:172864-174591,0.000405140413968625
Pf3D7_01_v3:175609-176376,0.15994226311938295
Pf3D7_01_v3:178087-180790,0.0007496079260360473
Pf3D7_01_v3:182822-184222,0.00048561307966277174
Pf3D7_01_v3:190269-201230,0.00032172665314230596
Pf3D7_01_v3:202536-204143,0.0007212566429030652
Pf3D7_01_v3:204622-205455,0.0014886827196219396
Pf3D7_01_v3:206170-210189,0.0005936062765408187
Pf3D7_01_v3:210870-213005,0.0006691237066090191
Pf3D7_01_v3:215776-217509,0.0004852423826553956
Pf3D7_01_v3:221202-221633,0.15891688031964205
Pf3D7_01_v3:222254-223960,0.0021378952509368884
Pf3D7_01_v3:228485-229519,0.15891688031964205
Pf3D7_01_v3:230289-234402,0.0005527543663291897
Pf3D7_01_v3:238666-247857,0.0002574500270274024
Pf3D7_01_v3:249231-252010,0.00042788605363393116
Pf3D7_01_v3:253584-254930,0.00040540020489704604
Pf3D7_01_v3:255775-258543,0.00027685867651505583
Pf3D7_01_v3:260658-261809,0.0012777833638012537
Pf3D7_01_v3:265208-269173,0.00036947866775426975
Pf3D7_01_v3:274315-278550,0.0001807414049697379
Pf3D7_01_v3:279115-280014,0.15891688031964205
Pf3D7_01_v3:281155-285459,0.0003643025784199639
Pf3D7_01_v3:286951-288918,0.0006060506376347237
Pf3D7_01_v3:290386-292590,0.0005882179407266208
Pf3D7_01_v3:295300-296931,0.0008225647817645092
Pf3D7_01_v3:297362-299397,0.000502727090935931
Pf3D7_01_v3:299562-300868,0.0027457352629214468
Pf3D7_01_v3:304362-309257,0.0003778594301078445
Pf3D7_01_v3:314618-319405,0.0003589989766256974
Pf3D7_01_v3:322371-326072,0.00042921507176135596
Pf3D7_01_v3:330738-332708,0.0006849865531019054
Pf3D7_01_v3:337168-343833,0.0002758441509887711
Pf3D7_01_v3:344400-346540,0.1592526452494439
Pf3D7_01_v3:352314-356211,0.0003454714789557436
Pf3D7_01_v3:363318-363992,0.1590840287932561
Pf3D7_01_v3:365610-368795,0.0002868535745841914
Pf3D7_01_v3:371815-373012,0.0010570967648756676
Pf3D7_01_v3:379149-379806,0.002521552416741638
Pf3D7_01_v3:380697-382424,0.0007451242566428857
Pf3D7_01_v3:383284-386632,0.00017877027740576182
Pf3D7_01_v3:386708-387940,0.1602965093213139
Pf3D7_01_v3:388372-389076,0.0012713350425571364
Pf3D7_01_v3:389261-392065,0.0005828247444485649
Pf3D7_01_v3:393875-394835,0.0008002645489921805
Pf3D7_01_v3:396591-403606,0.0004553492272769113
Pf3D7_01_v3:405739-412169,0.0003315603595235594
Pf3D7_01_v3:417921-419607,0.0006042466932305781
Pf3D7_01_v3:420293-420853,0.15891688031964205
Pf3D7_01_v3:421776-427575,0.00022292949143035956
Pf3D7_01_v3:431539-435042,0.00029834207819707517
Pf3D7_01_v3:436408-438564,0.0011636697291726565
Pf3D7_01_v3:442543-443289,0.0011363144913804006
Pf3D7_01_v3:464726-470194,0.15891688031964205
Pf3D7_01_v3:487892-490127,0.0013859030260433898
Pf3D7_01_v3:495244-500076,0.0005490086218855558
Pf3D7_01_v3:500959-502868,0.0022226137107642244
Pf3D7_01_v3:504938-506874,0.0005907690718202306
Pf3D7_01_v3:508252-509748,0.1590840287932561
Pf3D7_01_v3:520807-522579,0.0003447220831228678
Pf3D7_01_v3:527107-536351,0.000832532389588768
Pf3D7_01_v3:537109-538025,0.0015750893939926345
Pf3D7_01_v3:542480-546983,0.0002329305684421283
Pf3D7_02_v3:120524-124102,0.00031745281725857377
Pf3D7_02_v3:129342-133563,0.0001985220241344685
Pf3D7_02_v3:135523-137139,0.0014992158520720947
Pf3D7_02_v3:138927-141192,0.0003915914554910919
Pf3D7_02_v3:141625-147564,0.0003111272401298191
Pf3D7_02_v3:149524-156981,0.00034170774151299176
Pf3D7_02_v3:158137-159660,0.0005240457718702128
Pf3D7_02_v3:160514-161242,0.002774721432440513
Pf3D7_02_v3:166144-168051,0.000230147545719974
Pf3D7_02_v3:168682-170136,0.0005880365599246699
Pf3D7_02_v3:171563-174912,0.00030708575907177204
Pf3D7_02_v3:176567-178300,0.0006502327345320869
Pf3D7_02_v3:178955-181526,0.0008856049058060546
