,pi_ns
Pf3D7_01_v3:98819-102282,0.0005736681245778306
Pf3D7_01_v3:104704-105209,0.0004060930673391444
Pf3D7_01_v3:110750-115799,0.0004368028328265059
Pf3D7_01_v3:119041-121249,0.00030656771052807913
Pf3D7_01_v3:124517-125484,0.0010619087265881964
Pf3D7_01_v3:126318-128141,0.00022039730659514743
Pf3D7_01_v3:128960-130840,0.0005576683089906657
Pf3D7_01_v3:132086-133624,0.0004001368942398986
Pf3D7_01_v3:134353-139257,0.0004317121396481891
Pf3D7_01_v3:140662-142219,0.0003587168252855908
Pf3D7_01_v3:143640-146396,0.0006083067164476336
Pf3D7_01_v3:147915-152777,0.0003116659965231917
Pf3D7_01_v3:154176-160426,0.0006220619445366492
Pf3D7_01_v3:161131-166229,0.0009614677553818537
Pf3D7_01_v3:166513-168687,0.00034668827804214795
Pf3D7_01_v3:169079-171273,7.115670261025223e-05
Pf3D7_01_v3:172864-174591,0.00015400234160023338
Pf3D7_01_v3:175609-176376,0.00014461508512518854
Pf3D7_01_v3:178087-180790,0.004898736674815916
Pf3D7_01_v3:182822-184222,0.00020269505805030357
Pf3D7_01_v3:190269-201230,0.00028379617941580665
Pf3D7_01_v3:202536-204143,7.18116288328634e-05
Pf3D7_01_v3:204622-205455,0.000896704468644958
Pf3D7_01_v3:206170-210189,0.0003487960919545788
Pf3D7_01_v3:210870-213005,0.0001260058390720848
Pf3D7_01_v3:215776-217509,7.189493071515832e-05
Pf3D7_01_v3:221202-221633,7.341950684556925e-05
Pf3D7_01_v3:222254-223960,0.00010867779990975874
Pf3D7_01_v3:225110-225779,7.047139936547833e-05
Pf3D7_01_v3:226681-227285,6.164254193925033e-05
Pf3D7_01_v3:228485-229519,6.616402879160212e-05
Pf3D7_01_v3:230289-234402,0.000251929143820122
Pf3D7_01_v3:238666-247857,0.00023609960728017938
Pf3D7_01_v3:249231-252010,9.477726030214109e-05
Pf3D7_01_v3:253584-254930,0.0002975980594743064
Pf3D7_01_v3:255775-258543,9.592594618523461e-05
Pf3D7_01_v3:260658-261809,0.00011660289382752165
Pf3D7_01_v3:263340-264223,1.3160232828314557e-05
Pf3D7_01_v3:265208-269173,0.00032815435591852056
Pf3D7_01_v3:272454-273404,7.390138462914125e-05
Pf3D7_01_v3:274315-278550,0.0001542784992216201
Pf3D7_01_v3:279115-280014,6.250199266218661e-05
Pf3D7_01_v3:281155-285459,0.000280626480929617
Pf3D7_01_v3:286951-288918,3.064303009962908e-05
Pf3D7_01_v3:290386-292590,0.00017846276851672408
Pf3D7_01_v3:293642-294968,0.00013969072050488236
Pf3D7_01_v3:295300-296931,0.0002011600926315852
Pf3D7_01_v3:297362-299397,8.63664477285756e-05
Pf3D7_01_v3:299562-300868,0.00010106580150747551
Pf3D7_01_v3:302937-303398,4.01473123293271e-05
Pf3D7_01_v3:304362-309257,0.0003237853450717223
Pf3D7_01_v3:314618-319405,0.00024078549013345247
Pf3D7_01_v3:320168-321508,0.0001436112170963383
Pf3D7_01_v3:322371-326072,0.0001911248257936045
Pf3D7_01_v3:326397-327224,9.11083037068402e-05
Pf3D7_01_v3:328431-329558,0.00010462713590508153
Pf3D7_01_v3:330738-332708,0.00043961625182281763
Pf3D7_01_v3:337168-343833,0.0002315960014759543
Pf3D7_01_v3:344400-346540,0.0003467923894327041
Pf3D7_01_v3:349170-349709,0.00011951931504462974
Pf3D7_01_v3:349995-351626,0.0002216343907595138
Pf3D7_01_v3:352314-356211,0.00013877705818302792
Pf3D7_01_v3:357834-360339,7.611933833308642e-05
Pf3D7_01_v3:363318-363992,0.00010851272086570077
Pf3D7_01_v3:365610-368795,0.0001596179804897088
Pf3D7_01_v3:369480-370178,0.00010014174273601576
Pf3D7_01_v3:371815-373012,3.56100781068101e-05
Pf3D7_01_v3:374439-375087,8.819683455945097e-05
Pf3D7_01_v3:376294-377004,0.000111903982128179
Pf3D7_01_v3:377874-378599,0.00016728158831402738
Pf3D7_01_v3:379149-379806,0.00013834579933478893
Pf3D7_01_v3:380697-382424,0.0001173142352480939
Pf3D7_01_v3:383284-386632,0.00020046140535555132
Pf3D7_01_v3:386708-387940,0.0006346414347513353
Pf3D7_01_v3:388372-389076,0.0014037087517893914
Pf3D7_01_v3:389261-392065,0.00011690223809889132
Pf3D7_01_v3:392604-393035,0.00022558095086770615
Pf3D7_01_v3:393875-394835,9.527216382249766e-05
Pf3D7_01_v3:396591-403606,0.00019720246198209865
Pf3D7_01_v3:405739-412169,0.00010676872447763227
Pf3D7_01_v3:413760-415100,0.000111894946822874
Pf3D7_01_v3:417921-419607,0.0001545033887315921
Pf3D7_01_v3:420293-420853,0.00012354282103239507
Pf3D7_01_v3:421776-427575,0.0002074769607464764
Pf3D7_01_v3:430152-430858,6.676541165228954e-05
Pf3D7_01_v3:431539-435042,8.872298315213182e-05
Pf3D7_01_v3:436408-438564,7.221019086009636e-05
Pf3D7_01_v3:439652-441418,0.00010959986069988779
Pf3D7_01_v3:442543-443289,8.971935935746861e-05
Pf3D7_01_v3:446026-448849,5.53944476818049e-05
Pf3D7_01_v3:450043-450646,7.455344223183283e-05
Pf3D7_01_v3:450831-453118,1.7470638785830347e-05
Pf3D7_01_v3:454847-455338,6.021242414830343e-05
Pf3D7_01_v3:464726-470194,0.00010883145757201561
Pf3D7_01_v3:481809-482618,6.987978968347473e-05
Pf3D7_01_v3:487892-490127,0.00013710835036313292
Pf3D7_01_v3:495244-500076,0.0019216412231886513
Pf3D7_01_v3:500959-502868,0.0013684530560690454
