,pi_ns_div_pi_s
Pf3D7_01_v3:98819-102282,0.9607731999403408
Pf3D7_01_v3:110750-115799,3.0305362451895106
Pf3D7_01_v3:119041-121249,1.691871439352434
Pf3D7_01_v3:124517-125484,2.960555471144807
Pf3D7_01_v3:126318-128141,0.7258474939428435
Pf3D7_01_v3:128960-130840,1.538131403793111
Pf3D7_01_v3:132086-133624,2.2265928104099224
Pf3D7_01_v3:134353-139257,0.4582061870044603
Pf3D7_01_v3:140662-142219,1.6743855305444557
Pf3D7_01_v3:143640-146396,0.2591449924007529
Pf3D7_01_v3:147915-152777,0.32667849225339446
Pf3D7_01_v3:154176-160426,0.5137948979698842
Pf3D7_01_v3:161131-166229,0.5514674077809679
Pf3D7_01_v3:166513-168687,0.4695455881169577
Pf3D7_01_v3:169079-171273,0.3751123184839631
Pf3D7_01_v3:172864-174591,2.312187593861089
Pf3D7_01_v3:175609-176376,0.6426853081203597
Pf3D7_01_v3:178087-180790,5.7462140268409545
Pf3D7_01_v3:182822-184222,0.9042363918422005
Pf3D7_01_v3:190269-201230,0.7599813713506102
Pf3D7_01_v3:202536-204143,0.48057767298675164
Pf3D7_01_v3:204622-205455,0.2585155470105055
Pf3D7_01_v3:206170-210189,0.8814368002781994
Pf3D7_01_v3:210870-213005,0.3606500761311058
Pf3D7_01_v3:215776-217509,0.8902794051204185
Pf3D7_01_v3:221202-221633,0.289963989393139
Pf3D7_01_v3:222254-223960,0.8627809913108779
Pf3D7_01_v3:225110-225779,0.9898074382251619
Pf3D7_01_v3:226681-227285,0.24074074074074073
Pf3D7_01_v3:228485-229519,0.4916352628122512
Pf3D7_01_v3:230289-234402,0.9421906202499164
Pf3D7_01_v3:238666-247857,1.226688717638441
Pf3D7_01_v3:249231-252010,0.48539417232855697
Pf3D7_01_v3:253584-254930,0.33537094897781783
Pf3D7_01_v3:255775-258543,0.5889784644011636
Pf3D7_01_v3:260658-261809,0.3059081274236415
Pf3D7_01_v3:265208-269173,0.644932053040652
Pf3D7_01_v3:272454-273404,0.9181801875739094
Pf3D7_01_v3:274315-278550,0.4535115644070987
Pf3D7_01_v3:279115-280014,0.319116360960848
Pf3D7_01_v3:281155-285459,1.2684448367785077
Pf3D7_01_v3:290386-292590,0.7641048579111204
Pf3D7_01_v3:293642-294968,0.22414486918920365
