,pi_s
Pf3D7_01_v3:98819-102282,0.0005970900568557205
Pf3D7_01_v3:110750-115799,0.00014413384216072658
Pf3D7_01_v3:119041-121249,0.0001812003580162204
Pf3D7_01_v3:124517-125484,0.00035868563752246486
Pf3D7_01_v3:126318-128141,0.00030364134123813964
Pf3D7_01_v3:128960-130840,0.00036256220217299186
Pf3D7_01_v3:132086-133624,0.0001797081587478189
Pf3D7_01_v3:134353-139257,0.000942178765569542
Pf3D7_01_v3:140662-142219,0.00021423789129911304
Pf3D7_01_v3:143640-146396,0.0023473604904042373
Pf3D7_01_v3:147915-152777,0.0009540450440228002
Pf3D7_01_v3:154176-160426,0.0012107203613631662
Pf3D7_01_v3:161131-166229,0.0017434715847499912
Pf3D7_01_v3:166513-168687,0.0007383484944081562
Pf3D7_01_v3:169079-171273,0.00018969439046373076
Pf3D7_01_v3:172864-174591,6.660460509740349e-05
Pf3D7_01_v3:175609-176376,0.00022501694577107956
Pf3D7_01_v3:178087-180790,0.0008525155262114472
Pf3D7_01_v3:182822-184222,0.00022416157973619377
Pf3D7_01_v3:190269-201230,0.00037342517871386086
Pf3D7_01_v3:202536-204143,0.0001494277259835229
Pf3D7_01_v3:204622-205455,0.0034686674709297773
Pf3D7_01_v3:206170-210189,0.00039571310370124286
Pf3D7_01_v3:210870-213005,0.00034938531116870855
Pf3D7_01_v3:215776-217509,8.075546879064765e-05
Pf3D7_01_v3:221202-221633,0.0002532021545131441
Pf3D7_01_v3:222254-223960,0.00012596220941845005
Pf3D7_01_v3:225110-225779,7.119708000158255e-05
Pf3D7_01_v3:226681-227285,0.0002560536357476552
Pf3D7_01_v3:228485-229519,0.00013457950191190672
Pf3D7_01_v3:230289-234402,0.0002673865971551465
Pf3D7_01_v3:238666-247857,0.00019246904604674803
Pf3D7_01_v3:249231-252010,0.00019525833993323596
Pf3D7_01_v3:253584-254930,0.0008873698225244614
Pf3D7_01_v3:255775-258543,0.0001628683423642087
Pf3D7_01_v3:260658-261809,0.00038116964988655684
Pf3D7_01_v3:265208-269173,0.0005088200444858894
Pf3D7_01_v3:272454-273404,8.048679946406763e-05
Pf3D7_01_v3:274315-278550,0.00034018647225306616
Pf3D7_01_v3:279115-280014,0.00019585956819636365
Pf3D7_01_v3:281155-285459,0.00022123664568837628
Pf3D7_01_v3:290386-292590,0.0002335579556510065
Pf3D7_01_v3:293642-294968,0.0006232162306912659
Pf3D7_01_v3:295300-296931,0.00035965531974386204
Pf3D7_01_v3:297362-299397,6.896816619482684e-05
Pf3D7_01_v3:299562-300868,0.00010860148081523024
Pf3D7_01_v3:304362-309257,0.0008978425903246986
Pf3D7_01_v3:314618-319405,0.00040128145520100663
Pf3D7_01_v3:320168-321508,0.00011655911076529951
Pf3D7_01_v3:322371-326072,0.00048513129492394326
Pf3D7_01_v3:326397-327224,0.00013029775075248354
Pf3D7_01_v3:328431-329558,0.0002477527338188294
Pf3D7_01_v3:330738-332708,0.0007845886452692769
Pf3D7_01_v3:337168-343833,0.00018018294854736354
Pf3D7_01_v3:344400-346540,0.00023735298801544433
Pf3D7_01_v3:349995-351626,0.00011563955761504918
Pf3D7_01_v3:352314-356211,0.00013515543666443424
Pf3D7_01_v3:357834-360339,0.00012509620372706928
Pf3D7_01_v3:363318-363992,0.00020921732374376738
Pf3D7_01_v3:365610-368795,0.0003158219922711776
Pf3D7_01_v3:371815-373012,6.656211421187366e-05
Pf3D7_01_v3:377874-378599,0.00025969703089565016
Pf3D7_01_v3:379149-379806,0.0006291605447134873
Pf3D7_01_v3:380697-382424,0.0001719409290548339
Pf3D7_01_v3:383284-386632,0.0002142974919203902
Pf3D7_01_v3:386708-387940,0.0001406474658794117
Pf3D7_01_v3:388372-389076,0.0014138458474603768
Pf3D7_01_v3:389261-392065,0.00018479074166064053
Pf3D7_01_v3:393875-394835,0.00016228517264264686
Pf3D7_01_v3:396591-403606,0.0003850978512441697
Pf3D7_01_v3:405739-412169,0.00013310872305853652
Pf3D7_01_v3:417921-419607,0.0005991272792424818
Pf3D7_01_v3:420293-420853,0.00027018563802788166
Pf3D7_01_v3:421776-427575,0.0003202610383439832
Pf3D7_01_v3:430152-430858,0.0003553642878267024
Pf3D7_01_v3:431539-435042,0.00015350034026931873
Pf3D7_01_v3:436408-438564,7.790577380620553e-05
Pf3D7_01_v3:439652-441418,0.000214925392817822
Pf3D7_01_v3:442543-443289,0.00016174315782139912
Pf3D7_01_v3:446026-448849,4.749942547708068e-05
Pf3D7_01_v3:450043-450646,0.0001752213430096338
Pf3D7_01_v3:450831-453118,3.673238810693313e-05
Pf3D7_01_v3:454847-455338,9.03456483340184e-05
Pf3D7_01_v3:464726-470194,9.158316634107567e-06
Pf3D7_01_v3:487892-490127,0.00016455437734295405
Pf3D7_01_v3:495244-500076,0.002809097615389407
Pf3D7_01_v3:500959-502868,0.001722751178975276
Pf3D7_01_v3:504938-506874,0.001752018351844984
Pf3D7_01_v3:508252-509748,5.368373787056072e-05
Pf3D7_01_v3:520807-522579,2.7798414002879475e-05
Pf3D7_01_v3:527107-536351,0.009861429929764848
Pf3D7_01_v3:537109-538025,0.005277753397436851
Pf3D7_01_v3:542480-546983,0.00011687336205670777
Pf3D7_02_v3:120524-124102,0.00013874831832669948
Pf3D7_02_v3:129342-133563,0.00016102914119886473
Pf3D7_02_v3:135523-137139,0.0016814910033958286
Pf3D7_02_v3:138927-141192,0.00036841364737964853
Pf3D7_02_v3:141625-147564,0.00019953494925957938
Pf3D7_02_v3:149524-156981,0.00034292953165963305
Pf3D7_02_v3:158137-159660,0.0003522827306206712
Pf3D7_02_v3:160514-161242,0.00016857881303430433
Pf3D7_02_v3:162065-162900,0.00011772589723467587
Pf3D7_02_v3:166144-168051,0.00012656891699824185
Pf3D7_02_v3:168682-170136,0.00010017810990272
Pf3D7_02_v3:171563-174912,0.00017704035097018773
Pf3D7_02_v3:176567-178300,0.00024499021537016126
Pf3D7_02_v3:178955-181526,0.00026980269014630916
Pf3D7_02_v3:182228-189115,0.00020849204491362106
Pf3D7_02_v3:192818-194199,0.00011300766117524073
Pf3D7_02_v3:194826-196916,0.0002699035298621719
Pf3D7_02_v3:198353-199570,0.0034504559903231987
Pf3D7_02_v3:200482-204048,0.000251900305996385
Pf3D7_02_v3:205889-207403,0.00033974997141468125
Pf3D7_02_v3:209583-210833,0.0001395538216844522
Pf3D7_02_v3:211348-212627,8.558646680734854e-05
Pf3D7_02_v3:212982-214508,0.0002991723302102396
Pf3D7_02_v3:214838-217348,0.0009658156898011527
Pf3D7_02_v3:219690-222256,0.00014106726659297262
Pf3D7_02_v3:223478-224851,0.0001824655714557289
Pf3D7_02_v3:228025-229932,0.00017146275164623998
Pf3D7_02_v3:231141-232529,0.00025852564438030493
Pf3D7_02_v3:235237-238816,0.00021545718883038542
Pf3D7_02_v3:239246-243796,0.0008312794689165689
Pf3D7_02_v3:249030-250727,0.0003095465376011073
Pf3D7_02_v3:263037-267347,0.0001520072809486401
Pf3D7_02_v3:270078-270619,0.00026474090224851973
Pf3D7_02_v3:273689-274507,4.1600707444514565e-05
Pf3D7_02_v3:275540-276577,0.0010806716518540647
Pf3D7_02_v3:277494-278456,0.0002538971446680465
Pf3D7_02_v3:281907-287345,0.00021047349604146404
Pf3D7_02_v3:288183-288665,9.410700304717713e-05
Pf3D7_02_v3:290168-292703,0.0012349035110991089
Pf3D7_02_v3:294273-297616,0.00019348229431094665
Pf3D7_02_v3:298897-302564,0.00019410142247451034
Pf3D7_02_v3:303593-307027,0.00010323669125523832
Pf3D7_02_v3:308847-312155,0.00025566853177385565
Pf3D7_02_v3:313449-316741,0.0001837586759527486
Pf3D7_02_v3:317596-321310,0.0016762526693756264
Pf3D7_02_v3:322338-325723,0.001996335053650376
Pf3D7_02_v3:327932-335203,0.0002860338452848352
Pf3D7_02_v3:335679-336581,9.591821335358445e-05
Pf3D7_02_v3:337558-342966,0.00017498037085856788
Pf3D7_02_v3:343308-349340,0.00010904695908730111
Pf3D7_02_v3:354621-356117,0.00015053732800393238
Pf3D7_02_v3:359142-359849,0.00027202118205435694
Pf3D7_02_v3:360828-368354,0.00024096781248353385
Pf3D7_02_v3:370438-379845,0.0006852093193344288
Pf3D7_02_v3:381130-383445,0.00016037559545578294
Pf3D7_02_v3:384865-386580,0.00021608506642195998
Pf3D7_02_v3:387273-388151,0.0011765204106984474
Pf3D7_02_v3:388424-390611,0.0002106049997549601
Pf3D7_02_v3:391275-392789,6.919041754934308e-05
Pf3D7_02_v3:394237-398745,0.000374932841850395
Pf3D7_02_v3:400153-401859,0.000260688091954535
Pf3D7_02_v3:404281-406355,8.371218972652605e-05
Pf3D7_02_v3:409983-410228,0.00016561520242405745
Pf3D7_02_v3:412275-412859,0.00024370088257717068
Pf3D7_02_v3:413278-421137,0.0008683584688761267
Pf3D7_02_v3:423063-424654,0.0002714715174918462
Pf3D7_02_v3:427490-431530,0.0006581887107004721
Pf3D7_02_v3:432041-434086,0.0003505777776493926
Pf3D7_02_v3:436050-436994,0.00040960479272601216
Pf3D7_02_v3:437755-439002,0.0001298676234574953
Pf3D7_02_v3:442080-442934,0.00011563588584175038
Pf3D7_02_v3:451751-455116,0.00020777919460078143
Pf3D7_02_v3:455579-456286,0.00012535138742454674
Pf3D7_02_v3:457130-458585,0.00031205922991511126
Pf3D7_02_v3:459072-461518,0.00015818011582398588
Pf3D7_02_v3:463163-466900,0.001310605029285822
Pf3D7_02_v3:467847-468476,0.00022575824596068292
Pf3D7_02_v3:469790-473491,0.0005081784510305008
Pf3D7_02_v3:475242-477074,0.00015102655608737075
Pf3D7_02_v3:477432-479091,5.4544302940274664e-05
Pf3D7_02_v3:480100-481432,0.0001464563014879357
Pf3D7_02_v3:483436-488970,0.00021557496462049994
Pf3D7_02_v3:489904-490818,0.0002109826832862759
Pf3D7_02_v3:492616-494306,0.0002156956046287058
Pf3D7_02_v3:495166-507854,0.0005378529196046024
Pf3D7_02_v3:509525-521746,0.0012682839078950656
Pf3D7_02_v3:522931-523999,0.0032796435914329855
Pf3D7_02_v3:524700-526043,0.00010570614845678767
Pf3D7_02_v3:528249-531923,0.00016843600515167626
Pf3D7_02_v3:533253-534350,0.0003411162394473837
Pf3D7_02_v3:537789-539420,0.000150923797919189
Pf3D7_02_v3:541086-541548,0.000309946742251834
Pf3D7_02_v3:541811-543807,0.00029643875100795206
Pf3D7_02_v3:543802-545895,0.00018391213664449717
Pf3D7_02_v3:546482-555294,0.0009977806875107543
Pf3D7_02_v3:558585-560594,0.00131984648899075
Pf3D7_02_v3:561122-564622,0.00018917027515590143
Pf3D7_02_v3:566121-567894,0.00036747671277891883
Pf3D7_02_v3:568529-573315,0.00018897157094067271
Pf3D7_02_v3:578662-586164,0.0003983294664320324
Pf3D7_02_v3:586765-589051,0.00014810711844438554
Pf3D7_02_v3:590501-591421,0.0001966994000112263
Pf3D7_02_v3:594196-599340,0.000153993288505758
Pf3D7_02_v3:599829-601712,0.000623643349142621
Pf3D7_02_v3:605045-609325,0.0001496230656825476
Pf3D7_02_v3:610625-615372,0.00027574076469610295
Pf3D7_02_v3:616772-619429,0.00013036774208530281
Pf3D7_02_v3:622524-624306,0.0003617770657787888
Pf3D7_02_v3:626976-627710,0.0002825491546786721
Pf3D7_02_v3:628642-631308,0.0001297119259350537
Pf3D7_02_v3:634589-637507,0.00010336757562799235
Pf3D7_02_v3:640400-642694,0.00019546956084637838
Pf3D7_02_v3:643106-644317,7.287014891351407e-05
Pf3D7_02_v3:645929-650085,0.0008590981501833856
Pf3D7_02_v3:650663-653362,0.0007489780406495309
Pf3D7_02_v3:654918-656840,4.8337916447936014e-05
Pf3D7_02_v3:658636-664629,0.00014833811256362718
Pf3D7_02_v3:664984-668532,0.000349454218776087
Pf3D7_02_v3:670413-674558,0.00027734848704592807
Pf3D7_02_v3:675431-677599,0.00011475227728850428
Pf3D7_02_v3:678487-683703,0.00011205910863696252
Pf3D7_02_v3:686485-688545,0.00016554553336865414
Pf3D7_02_v3:690311-695783,0.0020894976022971102
Pf3D7_02_v3:696193-699561,0.0002919933229655103
Pf3D7_02_v3:701245-702894,0.001195140225165558
Pf3D7_02_v3:703090-706587,0.0004071876701596463
Pf3D7_02_v3:707738-709393,0.00012618921359972045
Pf3D7_02_v3:709799-715252,0.0001369645726678214
Pf3D7_02_v3:720437-722661,0.0007626036562970424
Pf3D7_02_v3:723747-729932,0.0008473447634685841
Pf3D7_02_v3:734272-734595,0.000596987155168366
Pf3D7_02_v3:735438-736997,0.00014316252182884818
Pf3D7_02_v3:738860-739852,0.00030896412083197974
Pf3D7_02_v3:741014-742459,0.00024254516236764547
Pf3D7_02_v3:743289-745712,0.00020282413794016872
Pf3D7_02_v3:747566-749365,0.0004433630370411423
Pf3D7_02_v3:750049-751737,0.00031262524510718186
Pf3D7_02_v3:752966-753439,0.00041751877753692696
Pf3D7_02_v3:755418-762560,0.00022195795625131406
Pf3D7_02_v3:763491-765191,0.00017955085448827522
Pf3D7_02_v3:769761-771041,0.000911738769315458
Pf3D7_02_v3:776828-778065,0.000500244971121079
Pf3D7_02_v3:779418-782132,0.0002704726025061061
Pf3D7_02_v3:783723-784828,0.00026445763596754285
Pf3D7_02_v3:786870-787940,0.002770184180793626
Pf3D7_02_v3:796752-801586,0.0008777646336697746
Pf3D7_02_v3:804520-807741,0.0009606141544277969
Pf3D7_02_v3:833805-834688,0.002168800065627804
Pf3D7_02_v3:838843-844116,0.012939374245394814
Pf3D7_03_v3:78195-80393,6.272681141505573e-05
Pf3D7_03_v3:85305-86131,0.00016836950501904617
Pf3D7_03_v3:91115-93463,0.00013677613239421557
Pf3D7_03_v3:105913-107109,0.0031063803800724463
Pf3D7_03_v3:107961-109880,0.0028561975883049486
Pf3D7_03_v3:114070-118086,0.000737350063635472
Pf3D7_03_v3:119458-124735,0.027171334469217653
Pf3D7_03_v3:135418-140660,0.014808491812586838
Pf3D7_03_v3:141556-145653,0.004299291578680739
Pf3D7_03_v3:148046-149305,0.00017607935117766563
Pf3D7_03_v3:152168-156146,0.00037803561144795095
Pf3D7_03_v3:159353-161704,0.00026362625328771837
Pf3D7_03_v3:162778-167103,0.00028085976946354307
Pf3D7_03_v3:169571-174300,0.00028479557573901995
Pf3D7_03_v3:178420-181127,0.00033372176905223383
Pf3D7_03_v3:182731-189411,0.0009856813748810773
Pf3D7_03_v3:190180-190719,0.00019743513261852072
Pf3D7_03_v3:191245-192591,0.00036347525961270697
Pf3D7_03_v3:194430-196211,0.00014762590762699382
Pf3D7_03_v3:196570-197438,0.00011325449276565368
Pf3D7_03_v3:198542-201584,0.00014101789747059964
Pf3D7_03_v3:204542-206119,0.0013378013828392362
Pf3D7_03_v3:212283-216572,0.0004382398881961423
Pf3D7_03_v3:219117-219872,0.00027176536644418325
Pf3D7_03_v3:221323-222516,0.00010187801886794256
Pf3D7_03_v3:224160-225793,0.00022900982928704145
Pf3D7_03_v3:227057-231397,0.00014643745475783343
Pf3D7_03_v3:231793-232305,0.00036106263195134905
Pf3D7_03_v3:234058-235334,0.00034731782461414333
Pf3D7_03_v3:236334-248270,0.00029307521306202783
Pf3D7_03_v3:251242-254661,0.0005195683148457122
Pf3D7_03_v3:255276-258416,0.0003245972786408804
Pf3D7_03_v3:260332-261085,0.0001735442592162373
Pf3D7_03_v3:261485-273286,0.0002674166592738785
Pf3D7_03_v3:275864-277717,0.00020820958700808824
Pf3D7_03_v3:281916-285260,0.0005537994089694588
Pf3D7_03_v3:285579-286112,0.0002862900254043127
Pf3D7_03_v3:286906-287319,0.00030983129491345406
Pf3D7_03_v3:288637-290747,0.00027923290443028904
Pf3D7_03_v3:292943-294548,0.00018821233267645097
Pf3D7_03_v3:298517-300478,0.00020010862904618464
Pf3D7_03_v3:301007-301906,0.00031669966222599446
Pf3D7_03_v3:306108-307984,0.0006582122289599619
Pf3D7_03_v3:314976-316236,0.00014935139751171627
Pf3D7_03_v3:318804-320336,0.0002630652375907718
Pf3D7_03_v3:321050-322162,3.138700190676004e-05
Pf3D7_03_v3:322933-324836,0.00018278968628727575
Pf3D7_03_v3:325922-328383,0.001269204676055814
Pf3D7_03_v3:328787-335269,0.00016150011805903113
Pf3D7_03_v3:337179-339278,0.00038500192684731406
Pf3D7_03_v3:340028-351652,0.00058316941329159
Pf3D7_03_v3:353549-355045,0.0012392123663545742
Pf3D7_03_v3:356319-361454,0.0013271868257159053
Pf3D7_03_v3:362342-364233,0.007785688971238099
Pf3D7_03_v3:365659-366672,0.00011629114884326232
Pf3D7_03_v3:369925-370789,0.0001628140833879836
Pf3D7_03_v3:372632-374230,0.0002813203513740054
Pf3D7_03_v3:375806-377437,6.663479395557793e-05
Pf3D7_03_v3:378045-378517,0.001097571706914388
Pf3D7_03_v3:379130-383290,0.00024818106616104164
Pf3D7_03_v3:384375-386879,6.871528680545827e-05
Pf3D7_03_v3:387219-388473,0.0013326489568316082
Pf3D7_03_v3:389137-394604,0.0005627682746715685
Pf3D7_03_v3:397649-400516,0.00015456525602838988
Pf3D7_03_v3:402933-405440,0.00038997897233138124
Pf3D7_03_v3:409102-410928,0.00016493183428806086
Pf3D7_03_v3:412089-413762,0.000207091940470177
Pf3D7_03_v3:414234-419673,0.00021441842645939383
Pf3D7_03_v3:420697-421515,5.6484990539154474e-05
Pf3D7_03_v3:422379-424680,0.0004663753245870684
Pf3D7_03_v3:427290-440942,0.00016988663897908149
Pf3D7_03_v3:442720-446457,0.0001932568304661835
Pf3D7_03_v3:447500-451384,0.00015051151188017508
Pf3D7_03_v3:452297-459106,0.0003313559646165218
Pf3D7_03_v3:461175-462027,0.00017570392129124374
Pf3D7_03_v3:463326-464274,0.0001337269651484547
Pf3D7_03_v3:466085-468445,0.000282515840098548
Pf3D7_03_v3:469287-470118,0.00029539021423631817
Pf3D7_03_v3:470860-473161,0.002055449600353931
Pf3D7_03_v3:474788-479086,0.0006392162181588335
Pf3D7_03_v3:480122-483453,0.00030312941546650193
Pf3D7_03_v3:488804-496510,0.0002504355974598489
Pf3D7_03_v3:497118-497363,0.0007972161072422565
Pf3D7_03_v3:499602-502353,0.0006357559834013612
Pf3D7_03_v3:502698-505848,0.00020418375986410586
Pf3D7_03_v3:506655-508846,0.0038919620505016286
Pf3D7_03_v3:509291-511597,0.0006573265886562605
Pf3D7_03_v3:512130-512951,0.0003204628387853718
Pf3D7_03_v3:513752-516262,0.0011050410556121405
Pf3D7_03_v3:516793-520503,0.0002908849968514306
Pf3D7_03_v3:521969-522883,0.0002563584131306276
Pf3D7_03_v3:529037-530776,0.00015368895024373016
Pf3D7_03_v3:534239-535238,9.374612379398358e-05
Pf3D7_03_v3:536043-537274,0.0001286317882658311
Pf3D7_03_v3:537621-538804,0.00011556399276916808
Pf3D7_03_v3:539743-542810,7.714437480026223e-05
Pf3D7_03_v3:543241-543942,5.2209297981649156e-05
Pf3D7_03_v3:544055-545194,6.5977941767863e-05
Pf3D7_03_v3:545828-548182,0.0002722541738833729
Pf3D7_03_v3:548718-551453,9.630442257994766e-05
Pf3D7_03_v3:552001-554621,0.004347638513743891
Pf3D7_03_v3:555035-558684,0.0003394315051049639
Pf3D7_03_v3:559334-562253,0.00016103534830204882
Pf3D7_03_v3:562366-565656,0.00029644620159604825
Pf3D7_03_v3:567247-568850,4.6931117664095015e-05
Pf3D7_03_v3:572666-576823,0.00011891546465075981
Pf3D7_03_v3:577008-578366,2.7921514126043753e-05
Pf3D7_03_v3:579539-580465,0.00032164530898195825
Pf3D7_03_v3:586555-587331,0.00011044900373303522
Pf3D7_03_v3:589002-592547,0.00035099726398276
Pf3D7_03_v3:604595-607931,0.00013234930868928925
Pf3D7_03_v3:608883-610718,0.00016452205187019218
Pf3D7_03_v3:611334-612014,0.00013369816156571536
Pf3D7_03_v3:612739-613422,9.56886130016782e-05
Pf3D7_03_v3:616472-622816,0.0001302796548298232
Pf3D7_03_v3:623446-630360,0.00018654744235019674
Pf3D7_03_v3:630611-631381,0.00021171680025634757
Pf3D7_03_v3:632846-633544,5.6252278933823714e-05
Pf3D7_03_v3:635586-637462,0.00013167381547523845
Pf3D7_03_v3:638283-641306,0.00020564773567529655
Pf3D7_03_v3:641482-642579,6.745825607697345e-05
Pf3D7_03_v3:644186-645268,0.001432581354315311
Pf3D7_03_v3:645921-646844,8.552838666810733e-05
Pf3D7_03_v3:648635-649531,0.0007245043249422062
Pf3D7_03_v3:649849-657247,0.000432388652808938
Pf3D7_03_v3:658272-661643,0.00017075773805009568
Pf3D7_03_v3:662126-665152,0.0001495299714300615
Pf3D7_03_v3:667006-668391,0.0002355244270723349
Pf3D7_03_v3:669302-670873,0.0024157213024756556
Pf3D7_03_v3:674458-675636,0.0010951496474823198
Pf3D7_03_v3:677842-678474,0.00017053336669402508
Pf3D7_03_v3:679234-681277,0.0026994525961178324
Pf3D7_03_v3:686282-689482,0.0006858538397961354
Pf3D7_03_v3:690154-694815,0.00021688167188041904
Pf3D7_03_v3:699544-709728,0.0006833209659309678
Pf3D7_03_v3:712253-714082,0.00014940352070140836
Pf3D7_03_v3:716523-721831,0.00045588460574713056
Pf3D7_03_v3:728259-738076,0.0005207090966291368
Pf3D7_03_v3:738205-738882,0.001551775828339148
Pf3D7_03_v3:739428-741733,0.00011566773723137174
Pf3D7_03_v3:742191-742799,0.0004426559428568006
Pf3D7_03_v3:743929-745053,0.000130855828443858
Pf3D7_03_v3:748465-755838,0.002005637926162515
Pf3D7_03_v3:756491-760292,0.00011703524482105361
Pf3D7_03_v3:761693-765439,0.00030511310846066214
Pf3D7_03_v3:767815-782760,0.000188487271359895
Pf3D7_03_v3:783112-786165,0.0001986976308062194
Pf3D7_03_v3:791840-793481,8.709541432506843e-05
Pf3D7_03_v3:795577-801171,0.0004800225167011643
Pf3D7_03_v3:802260-802583,0.0006839853276636318
Pf3D7_03_v3:803592-806312,0.0002803174179717449
Pf3D7_03_v3:807277-807859,0.0006978709417912735
Pf3D7_03_v3:810081-814172,0.0006691268199320989
Pf3D7_03_v3:815569-816855,7.940554442081696e-05
Pf3D7_03_v3:817913-818695,7.119152457504557e-05
Pf3D7_03_v3:820708-830802,0.0004001621875158618
Pf3D7_03_v3:831076-832509,0.0014965178990735447
Pf3D7_03_v3:833833-834777,7.841969621331573e-05
Pf3D7_03_v3:840362-841758,0.00023321339965823307
Pf3D7_03_v3:842539-844290,9.656866099664754e-05
Pf3D7_03_v3:845713-847320,0.00030526542900983947
Pf3D7_03_v3:848247-857504,0.00014237384420214116
Pf3D7_03_v3:860813-862102,0.00026802650334863576
Pf3D7_03_v3:862741-863832,0.00010160834862163303
Pf3D7_03_v3:865014-866420,0.00018062163521091363
Pf3D7_03_v3:870817-872342,0.00024757042735512434
Pf3D7_03_v3:875213-876295,0.00017861898880779797
Pf3D7_03_v3:877735-879511,2.5441113765318603e-05
Pf3D7_03_v3:879959-885493,0.0005979809685496251
Pf3D7_03_v3:886962-888976,0.00027660883223601845
Pf3D7_03_v3:890014-892764,0.00256131634481245
