,theta
Pf3D7_01_v3:98819-102282,0.0010567285762157397
Pf3D7_01_v3:104704-105209,0.0009883947940818978
Pf3D7_01_v3:110750-115799,0.002295519483987009
Pf3D7_01_v3:119041-121249,0.0017593357903465169
Pf3D7_01_v3:124517-125484,0.0022731951930222306
Pf3D7_01_v3:126318-128141,0.001842627691090063
Pf3D7_01_v3:128960-130840,0.0021346109546851156
Pf3D7_01_v3:132086-133624,0.0008724005052109802
Pf3D7_01_v3:134353-139257,0.0020678526189963175
Pf3D7_01_v3:140662-142219,0.0016519591272484845
Pf3D7_01_v3:143640-146396,0.0024093773935258667
Pf3D7_01_v3:147915-152777,0.0016230118806339153
Pf3D7_01_v3:154176-160426,0.00179139362778257
Pf3D7_01_v3:161131-166229,0.0015461376250615483
Pf3D7_01_v3:166513-168687,0.0017865805179842797
Pf3D7_01_v3:169079-171273,0.0006295634341873679
Pf3D7_01_v3:172864-174591,0.000838673473187095
Pf3D7_01_v3:175609-176376,0.0019099861551115903
Pf3D7_01_v3:178087-180790,0.003062717049759638
Pf3D7_01_v3:182822-184222,0.0016037308170624434
Pf3D7_01_v3:190269-201230,0.0019801425748128556
Pf3D7_01_v3:202536-204143,0.0009144671465988953
Pf3D7_01_v3:204622-205455,0.0018939956425920647
Pf3D7_01_v3:206170-210189,0.002760698868057226
Pf3D7_01_v3:210870-213005,0.0016247051637644672
Pf3D7_01_v3:215776-217509,0.0008760296943892805
Pf3D7_01_v3:221202-221633,0.0017966962173235784
Pf3D7_01_v3:222254-223960,0.0013532562886556154
Pf3D7_01_v3:225110-225779,0.002495487863374965
Pf3D7_01_v3:226681-227285,0.00687281903355728
Pf3D7_01_v3:228485-229519,0.0012929549378301046
Pf3D7_01_v3:230289-234402,0.0020713733326260296
Pf3D7_01_v3:238666-247857,0.00166874964676417
Pf3D7_01_v3:249231-252010,0.0013163568371573463
Pf3D7_01_v3:253584-254930,0.0023403206695919213
Pf3D7_01_v3:255775-258543,0.0018846999584566436
Pf3D7_01_v3:260658-261809,0.000983374178067967
Pf3D7_01_v3:263340-264223,0.13985627972339007
Pf3D7_01_v3:265208-269173,0.0017146785361246515
Pf3D7_01_v3:272454-273404,0.0006135996502700243
Pf3D7_01_v3:274315-278550,0.0018709262681390552
Pf3D7_01_v3:279115-280014,0.0008771302342063525
Pf3D7_01_v3:281155-285459,0.001391995557412054
Pf3D7_01_v3:286951-288918,0.0002871792191445381
Pf3D7_01_v3:290386-292590,0.0019404689820560846
Pf3D7_01_v3:293642-294968,0.002264879023860568
Pf3D7_01_v3:295300-296931,0.0016394097139890002
Pf3D7_01_v3:297362-299397,0.0005901108849088189
Pf3D7_01_v3:299562-300868,0.0019189310070966883
Pf3D7_01_v3:302937-303398,0.003992780581399943
Pf3D7_01_v3:304362-309257,0.0016074878505950303
Pf3D7_01_v3:314618-319405,0.002165935461547511
Pf3D7_01_v3:320168-321508,0.0019021356296923654
Pf3D7_01_v3:322371-326072,0.0019618721205422085
Pf3D7_01_v3:326397-327224,0.0021117449268151425
Pf3D7_01_v3:328431-329558,0.00155847246970593
Pf3D7_01_v3:330738-332708,0.001449290433686054
Pf3D7_01_v3:337168-343833,0.0013359452839436527
Pf3D7_01_v3:344400-346540,0.001155315498778141
Pf3D7_01_v3:349170-349709,0.004844848470413002
Pf3D7_01_v3:349995-351626,0.0017640805795978937
Pf3D7_01_v3:352314-356211,0.0016982094705828242
Pf3D7_01_v3:357834-360339,0.0005066590239784235
Pf3D7_01_v3:363318-363992,0.0019448347254268986
Pf3D7_01_v3:365610-368795,0.0016655860514407151
Pf3D7_01_v3:369480-370178,0.0012656114799303743
Pf3D7_01_v3:371815-373012,0.0011082470895686612
Pf3D7_01_v3:374439-375087,0.001149685056545888
Pf3D7_01_v3:376294-377004,0.0011361570760081141
Pf3D7_01_v3:377874-378599,0.0009356055831534426
Pf3D7_01_v3:379149-379806,0.0012742916749148756
Pf3D7_01_v3:380697-382424,0.001737045196366084
Pf3D7_01_v3:383284-386632,0.0011194919897661634
Pf3D7_01_v3:386708-387940,0.0011594302982249954
Pf3D7_01_v3:388372-389076,0.0027335556271253112
Pf3D7_01_v3:389261-392065,0.0012179370745430337
Pf3D7_01_v3:392604-393035,0.0023910810494118377
Pf3D7_01_v3:393875-394835,0.001619943541596883
Pf3D7_01_v3:396591-403606,0.0018148655678654998
Pf3D7_01_v3:405739-412169,0.0012798886482116101
Pf3D7_01_v3:413760-415100,0.001105750376492677
Pf3D7_01_v3:417921-419607,0.0008361624747643791
Pf3D7_01_v3:420293-420853,0.0023562696777791746
Pf3D7_01_v3:421776-427575,0.0019856800839132215
Pf3D7_01_v3:430152-430858,0.0010386106386387228
Pf3D7_01_v3:431539-435042,0.0013681169165805159
Pf3D7_01_v3:436408-438564,0.0008973350136991929
Pf3D7_01_v3:439652-441418,0.0009035473330248026
Pf3D7_01_v3:442543-443289,0.0016696390147040822
Pf3D7_01_v3:446026-448849,0.00038137882676533716
Pf3D7_01_v3:450043-450646,0.0011126624166187355
Pf3D7_01_v3:450831-453118,0.0037754900242407624
Pf3D7_01_v3:454847-455338,0.0010267583329827302
Pf3D7_01_v3:464726-470194,0.0005101490560466255
Pf3D7_01_v3:481809-482618,0.1396931308969082
Pf3D7_01_v3:487892-490127,0.0004475613246334978
Pf3D7_01_v3:495244-500076,0.0022867630477179934
Pf3D7_01_v3:500959-502868,0.0018105560231526912
Pf3D7_01_v3:504938-506874,0.002238358486699713
Pf3D7_01_v3:508252-509748,0.0016243387313593979
Pf3D7_01_v3:520807-522579,0.000759890104606935
Pf3D7_01_v3:527107-536351,0.003476618386631284
Pf3D7_01_v3:537109-538025,0.0019157915094433126
Pf3D7_01_v3:542480-546983,0.0006447983066581301
Pf3D7_02_v3:109564-110580,0.003250708568390668
Pf3D7_02_v3:120524-124102,0.0014661316491399257
Pf3D7_02_v3:127994-128314,0.002739080997978592
Pf3D7_02_v3:129342-133563,0.002467375210425081
Pf3D7_02_v3:135523-137139,0.0013223402773262435
Pf3D7_02_v3:137557-138389,0.0022199409479903183
Pf3D7_02_v3:138927-141192,0.0019516740901060375
Pf3D7_02_v3:141625-147564,0.0021449194849253476
Pf3D7_02_v3:149524-156981,0.002792007108182975
Pf3D7_02_v3:158137-159660,0.0020709193495753375
Pf3D7_02_v3:160514-161242,0.0016389569634466118
Pf3D7_02_v3:162065-162900,0.000933843704250694
Pf3D7_02_v3:166144-168051,0.000983374178067967
Pf3D7_02_v3:168682-170136,0.001898007636892348
Pf3D7_02_v3:171563-174912,0.0005096598473850714
Pf3D7_02_v3:176567-178300,0.0010916414328519973
Pf3D7_02_v3:178955-181526,0.0022408306861717697
Pf3D7_02_v3:182228-189115,0.0013900543205129978
Pf3D7_02_v3:192818-194199,0.00032946493136063257
Pf3D7_02_v3:194826-196916,0.0027031518414950334
Pf3D7_02_v3:198353-199570,0.002402289439327742
Pf3D7_02_v3:200482-204048,0.0019989241983631068
Pf3D7_02_v3:205889-207403,0.0010870703935896423
Pf3D7_02_v3:209583-210833,0.0021463519582785463
Pf3D7_02_v3:211348-212627,0.001736188158080922
Pf3D7_02_v3:212982-214508,0.003212402778677816
Pf3D7_02_v3:214838-217348,0.0016749995995879805
Pf3D7_02_v3:217882-218907,0.0010097871208673132
Pf3D7_02_v3:219690-222256,0.001691228905357101
Pf3D7_02_v3:223478-224851,0.001315798664646891
Pf3D7_02_v3:228025-229932,0.0012467779757647439
Pf3D7_02_v3:231141-232529,0.0006529238082324466
Pf3D7_02_v3:235237-238816,0.0013219230036508485
Pf3D7_02_v3:239246-243796,0.002569461562048559
Pf3D7_02_v3:245358-246699,0.00073846589020392
Pf3D7_02_v3:249030-250727,0.0012570664661874086
Pf3D7_02_v3:263037-267347,0.001881737621189809
Pf3D7_02_v3:270078-270619,0.1400765556376041
Pf3D7_02_v3:271594-273009,0.00033567099347512334
Pf3D7_02_v3:273689-274507,0.001221333527279749
Pf3D7_02_v3:275540-276577,0.0007740528452641425
Pf3D7_02_v3:277494-278456,0.0030391105755181846
Pf3D7_02_v3:281907-287345,0.0018024793210752257
Pf3D7_02_v3:288183-288665,0.0014010615379831234
Pf3D7_02_v3:290168-292703,0.0016263192230055773
Pf3D7_02_v3:294273-297616,0.0021001874992828576
Pf3D7_02_v3:298897-302564,0.0019004677893704974
Pf3D7_02_v3:303593-307027,0.0007602856621723302
Pf3D7_02_v3:308847-312155,0.0017623005861357524
Pf3D7_02_v3:313449-316741,0.0028922349554077486
Pf3D7_02_v3:317596-321310,0.0025682664680244383
Pf3D7_02_v3:322338-325723,0.002457648745827463
Pf3D7_02_v3:327932-335203,0.0017297872284316046
Pf3D7_02_v3:335679-336581,0.0022401999992350476
Pf3D7_02_v3:337558-342966,0.0019686218066561627
Pf3D7_02_v3:343308-349340,0.0014776627860915482
Pf3D7_02_v3:352836-353628,0.0014369904406066635
