,theta_s
Pf3D7_01_v3:98819-102282,0.00024147472929456908
Pf3D7_01_v3:110750-115799,0.000624865824126368
Pf3D7_01_v3:119041-121249,0.0007589083330741919
Pf3D7_01_v3:124517-125484,0.0006999455302538912
Pf3D7_01_v3:126318-128141,0.0008381587853814493
Pf3D7_01_v3:128960-130840,0.0012451897235663174
Pf3D7_01_v3:132086-133624,0.0005946694482936087
Pf3D7_01_v3:134353-139257,0.0007905457880299354
Pf3D7_01_v3:140662-142219,0.000849238864465299
Pf3D7_01_v3:143640-146396,0.0013723747743061554
Pf3D7_01_v3:147915-152777,0.0007465432278509872
Pf3D7_01_v3:154176-160426,0.0005306590298586098
Pf3D7_01_v3:161131-166229,0.000504326591428951
Pf3D7_01_v3:166513-168687,0.0007337787571735165
Pf3D7_01_v3:169079-171273,0.0005106276325213355
Pf3D7_01_v3:172864-174591,0.000667323873711345
Pf3D7_01_v3:175609-176376,0.00998195145349986
Pf3D7_01_v3:178087-180790,0.0005088065585307132
Pf3D7_01_v3:182822-184222,0.0006318512818355263
Pf3D7_01_v3:190269-201230,0.0005177370538447409
Pf3D7_01_v3:202536-204143,0.0006390807015361616
Pf3D7_01_v3:204622-205455,0.0010330885323229443
Pf3D7_01_v3:206170-210189,0.0008596627584502089
Pf3D7_01_v3:210870-213005,0.0009406187790215336
Pf3D7_01_v3:215776-217509,0.000543871989428048
Pf3D7_01_v3:221202-221633,0.0021381601667894113
Pf3D7_01_v3:222254-223960,0.00033831407216390385
Pf3D7_01_v3:225110-225779,0.13980170287597998
Pf3D7_01_v3:226681-227285,0.00687281903355728
Pf3D7_01_v3:228485-229519,0.0007361956832511631
Pf3D7_01_v3:230289-234402,0.000793855220498302
Pf3D7_01_v3:238666-247857,0.0005511466723257808
Pf3D7_01_v3:249231-252010,0.0007725539877491082
Pf3D7_01_v3:253584-254930,0.0012565951251802142
Pf3D7_01_v3:255775-258543,0.0007710136193686268
Pf3D7_01_v3:260658-261809,0.000702410127191405
Pf3D7_01_v3:265208-269173,0.0007203463156340022
Pf3D7_01_v3:272454-273404,0.1400765556376041
Pf3D7_01_v3:274315-278550,0.000635044062441062
Pf3D7_01_v3:279115-280014,0.0005600499998087619
Pf3D7_01_v3:281155-285459,0.000738009327518046
Pf3D7_01_v3:290386-292590,0.0007866993424543735
Pf3D7_01_v3:293642-294968,0.002264879023860568
Pf3D7_01_v3:295300-296931,0.0006027588487150416
Pf3D7_01_v3:297362-299397,0.001484656543940494
Pf3D7_01_v3:299562-300868,0.0006165083147269373
Pf3D7_01_v3:304362-309257,0.0007885789455749206
Pf3D7_01_v3:314618-319405,0.0008955478856799491
Pf3D7_01_v3:320168-321508,0.0022077333325794674
Pf3D7_01_v3:322371-326072,0.0009064673258110286
Pf3D7_01_v3:326397-327224,0.0008480109308845221
Pf3D7_01_v3:328431-329558,0.0010556155987171906
Pf3D7_01_v3:330738-332708,0.0008283677398301349
Pf3D7_01_v3:337168-343833,0.000471037724019738
Pf3D7_01_v3:344400-346540,0.00046754174091177895
Pf3D7_01_v3:349995-351626,0.0004941973970409489
Pf3D7_01_v3:352314-356211,0.0005356999998170766
Pf3D7_01_v3:357834-360339,0.0003418022446621682
Pf3D7_01_v3:363318-363992,0.1396931308969082
Pf3D7_01_v3:365610-368795,0.0006349294790513538
Pf3D7_01_v3:371815-373012,0.0006999455302538912
Pf3D7_01_v3:377874-378599,0.0010623051779232564
Pf3D7_01_v3:379149-379806,0.0012742916749148756
Pf3D7_01_v3:380697-382424,0.0009630285054182849
Pf3D7_01_v3:383284-386632,0.00045410201022968945
Pf3D7_01_v3:386708-387940,0.010005468259828865
Pf3D7_01_v3:388372-389076,0.001138981511302213
Pf3D7_01_v3:389261-392065,0.0005286857862211124
Pf3D7_01_v3:393875-394835,0.1396391332856513
Pf3D7_01_v3:396591-403606,0.0006690783671184713
Pf3D7_01_v3:405739-412169,0.0005449332030659564
Pf3D7_01_v3:417921-419607,0.0008361624747643791
Pf3D7_01_v3:420293-420853,0.0014206081108160157
Pf3D7_01_v3:421776-427575,0.000809893474832197
Pf3D7_01_v3:430152-430858,0.0010386106386387228
Pf3D7_01_v3:431539-435042,0.0005858984613383971
Pf3D7_01_v3:436408-438564,0.00027610308113821316
Pf3D7_01_v3:439652-441418,0.0006238719658437413
Pf3D7_01_v3:442543-443289,0.1396931308969082
Pf3D7_01_v3:446026-448849,0.0002649238300454939
Pf3D7_01_v3:450043-450646,0.14002118881865047
Pf3D7_01_v3:450831-453118,0.13974732034899803
Pf3D7_01_v3:454847-455338,0.1396931308969082
Pf3D7_01_v3:464726-470194,0.1396391332856513
Pf3D7_01_v3:487892-490127,0.1396931308969082
Pf3D7_01_v3:495244-500076,0.0006340828453939766
Pf3D7_01_v3:500959-502868,0.000826267060861842
Pf3D7_01_v3:504938-506874,0.0005407130040102665
Pf3D7_01_v3:508252-509748,0.006987366017449902
Pf3D7_01_v3:520807-522579,0.1396931308969082
