,theta
Pf3D7_02_v3:522931-523999,0.00111935176982486
Pf3D7_03_v3:224160-225793,0.0025424492054810463
Pf3D7_04_v3:373039-376677,0.001822054210001558
Pf3D7_04_v3:995998-996252,0.0030725648983731865
Pf3D7_06_v3:684742-688857,0.002872378702034463
Pf3D7_06_v3:1205190-1207781,0.0008609071102691203
Pf3D7_08_v3:1269135-1269647,0.004561077217873033
Pf3D7_08_v3:1290240-1291406,0.004197245624771023
Pf3D7_09_v3:127416-127724,0.005818297220235471
Pf3D7_09_v3:504412-508130,0.0014224699485804887
Pf3D7_09_v3:1017435-1018918,0.001262145000938508
Pf3D7_10_v3:701746-702422,0.13991105214838084
Pf3D7_10_v3:994322-996788,0.0011500405428813937
Pf3D7_10_v3:1113495-1118573,0.0023235407730161136
Pf3D7_10_v3:1324132-1328436,0.0025400929040857905
Pf3D7_11_v3:644100-645537,0.001009734973619928
Pf3D7_11_v3:1234061-1236391,0.0014050895059888248
Pf3D7_11_v3:1243226-1246618,0.0020359429892678163
Pf3D7_11_v3:1480900-1481526,0.002172238140139866
Pf3D7_12_v3:92242-92562,0.0698465654484541
Pf3D7_13_v3:123726-124415,0.002467122496212921
Pf3D7_13_v3:1145719-1151106,0.002170420985526041
Pf3D7_13_v3:2114157-2116211,0.0018972708326854798
Pf3D7_13_v3:2178639-2179862,0.0022109529436894794
Pf3D7_14_v3:312569-313296,0.0010791298868648496
Pf3D7_14_v3:1841960-1842906,0.0015499931306175668
Pf3D7_14_v3:2809478-2812066,0.0016036820921788964
Pf3D7_14_v3:3087061-3105071,0.0016903560416876883
Pf3D7_14_v3:3131104-3131637,0.0026864063634020807
