,pi_ns
Pf3D7_01_v3:98819-102282,0.00043596204531426934
Pf3D7_01_v3:104704-105209,0.0006529873885929488
Pf3D7_01_v3:110750-115799,0.00040809700459109064
Pf3D7_01_v3:119041-121249,0.0005539223927235179
Pf3D7_01_v3:124517-125484,0.0008870595143536446
Pf3D7_01_v3:126318-128141,0.00015929488742302765
Pf3D7_01_v3:128960-130840,0.0004925888749428386
Pf3D7_01_v3:132086-133624,0.00037808899667712966
Pf3D7_01_v3:134353-139257,0.0004876481816670482
Pf3D7_01_v3:140662-142219,0.0007792110867918435
Pf3D7_01_v3:143640-146396,0.0005972476258531517
Pf3D7_01_v3:147915-152777,0.0003581247669678402
Pf3D7_01_v3:154176-160426,0.0005642827266424294
Pf3D7_01_v3:161131-166229,0.0009534030729008596
Pf3D7_01_v3:166513-168687,0.00021253048048558792
Pf3D7_01_v3:169079-171273,8.387569196676552e-05
Pf3D7_01_v3:172864-174591,0.00017502835156552388
Pf3D7_01_v3:175609-176376,0.00016599449395219684
Pf3D7_01_v3:178087-180790,0.005018649048944913
Pf3D7_01_v3:182822-184222,0.0002436430378680011
Pf3D7_01_v3:190269-201230,0.00024186109900313035
Pf3D7_01_v3:202536-204143,2.9236580605975247e-05
Pf3D7_01_v3:204622-205455,0.0008740517536600993
Pf3D7_01_v3:206170-210189,0.00033646866300597594
Pf3D7_01_v3:210870-213005,0.00014196146468829592
Pf3D7_01_v3:215776-217509,8.782381779511154e-05
Pf3D7_01_v3:222254-223960,4.816742192511713e-05
Pf3D7_01_v3:225110-225779,9.419764158668658e-05
Pf3D7_01_v3:228485-229519,0.00015169702796899074
Pf3D7_01_v3:230289-234402,0.00022346988412084024
Pf3D7_01_v3:238666-247857,0.00024131600590971992
Pf3D7_01_v3:249231-252010,0.00012573577519277193
Pf3D7_01_v3:253584-254930,0.00012525836957048267
Pf3D7_01_v3:255775-258543,0.00011135790168053908
Pf3D7_01_v3:260658-261809,2.578727163535422e-05
Pf3D7_01_v3:263340-264223,3.481794821352172e-05
Pf3D7_01_v3:265208-269173,0.0003970151393216274
Pf3D7_01_v3:272454-273404,4.967892608891487e-05
Pf3D7_01_v3:274315-278550,0.00015375283970405618
Pf3D7_01_v3:279115-280014,0.0001422210971608251
Pf3D7_01_v3:281155-285459,0.0003181469734860349
Pf3D7_01_v3:286951-288918,4.171066731389624e-05
Pf3D7_01_v3:290386-292590,0.0002547461501351113
Pf3D7_01_v3:293642-294968,4.923506367242208e-05
Pf3D7_01_v3:295300-296931,4.0723838379135486e-05
Pf3D7_01_v3:297362-299397,4.711979615409751e-05
Pf3D7_01_v3:299562-300868,7.14347987193182e-05
Pf3D7_01_v3:302937-303398,5.333085815829121e-05
Pf3D7_01_v3:304362-309257,0.0001630226565909285
Pf3D7_01_v3:314618-319405,0.00025535652761208877
Pf3D7_01_v3:320168-321508,0.00012709318423612912
Pf3D7_01_v3:322371-326072,0.00021609440663146833
Pf3D7_01_v3:326397-327224,2.6817220785532246e-05
Pf3D7_01_v3:330738-332708,0.0003159934926430758
Pf3D7_01_v3:337168-343833,0.00020737899032729085
Pf3D7_01_v3:344400-346540,0.00011616919811302156
Pf3D7_01_v3:349170-349709,9.007696801552765e-05
Pf3D7_01_v3:349995-351626,0.00022208184586751113
Pf3D7_01_v3:352314-356211,0.00010451505462265639
Pf3D7_01_v3:357834-360339,0.00013231477864259327
Pf3D7_01_v3:363318-363992,0.00021421906416785826
Pf3D7_01_v3:365610-368795,0.00014415779790637995
Pf3D7_01_v3:369480-370178,0.00011361236156985108
Pf3D7_01_v3:371815-373012,7.082833179557878e-05
Pf3D7_01_v3:374439-375087,4.5772396910844105e-05
Pf3D7_01_v3:376294-377004,5.012719627145023e-05
Pf3D7_01_v3:377874-378599,4.963475273464595e-05
Pf3D7_01_v3:379149-379806,0.00020203284433899352
Pf3D7_01_v3:380697-382424,3.12127940368546e-05
Pf3D7_01_v3:383284-386632,0.00012334465064670394
Pf3D7_01_v3:386708-387940,0.00042232551469180017
Pf3D7_01_v3:388372-389076,0.0014333634251584644
Pf3D7_01_v3:389261-392065,0.00014699643275240773
Pf3D7_01_v3:392604-393035,5.510207794083113e-05
Pf3D7_01_v3:393875-394835,0.00022174483551068094
Pf3D7_01_v3:396591-403606,0.00019152142027885856
Pf3D7_01_v3:405739-412169,9.846745727232125e-05
Pf3D7_01_v3:413760-415100,0.00018936877357121818
Pf3D7_01_v3:417921-419607,0.00013671826594189402
Pf3D7_01_v3:420293-420853,8.264666056540882e-05
Pf3D7_01_v3:421776-427575,0.0002532645195256247
Pf3D7_01_v3:430152-430858,8.934777787145163e-05
Pf3D7_01_v3:431539-435042,0.00010195645017238968
Pf3D7_01_v3:436408-438564,6.427766273149316e-05
Pf3D7_01_v3:439652-441418,4.1169622709367596e-05
Pf3D7_01_v3:446026-448849,9.536174768075433e-05
Pf3D7_01_v3:464726-470194,0.00034385017019439686
Pf3D7_01_v3:487892-490127,9.554869166180949e-05
Pf3D7_01_v3:495244-500076,0.001994698270943367
Pf3D7_01_v3:500959-502868,0.0014560616594420093
Pf3D7_01_v3:504938-506874,0.001091413419938471
Pf3D7_01_v3:508252-509748,0.00024053098751060527
Pf3D7_01_v3:520807-522579,0.000612220468919096
Pf3D7_01_v3:527107-536351,0.006387761064589328
Pf3D7_01_v3:537109-538025,0.0029756184487113465
Pf3D7_01_v3:542480-546983,0.0001934368989278599
Pf3D7_02_v3:109564-110580,0.0029425402531293187
Pf3D7_02_v3:120524-124102,0.00018291569438983566
Pf3D7_02_v3:129342-133563,0.00017687415238002728
Pf3D7_02_v3:135523-137139,1.6430624249292378e-05
Pf3D7_02_v3:137557-138389,0.00029939197957768105
Pf3D7_02_v3:138927-141192,0.00026017070713441504
Pf3D7_02_v3:141625-147564,0.00011548025227752695
Pf3D7_02_v3:149524-156981,0.0001343900788518031
Pf3D7_02_v3:158137-159660,0.0001883780832648133
Pf3D7_02_v3:160514-161242,3.6298629472253385e-05
Pf3D7_02_v3:166144-168051,2.4575068103333687e-05
Pf3D7_02_v3:168682-170136,7.319571323576497e-05
Pf3D7_02_v3:171563-174912,4.530335306946522e-05
Pf3D7_02_v3:176567-178300,0.00022201142657182917
Pf3D7_02_v3:178955-181526,0.00011347612875704123
Pf3D7_02_v3:182228-189115,9.190033891584885e-05
Pf3D7_02_v3:192818-194199,3.3899748727668815e-05
Pf3D7_02_v3:194826-196916,0.00012733040564817503
Pf3D7_02_v3:198353-199570,0.0011479240590597346
Pf3D7_02_v3:200482-204048,0.0002803070494876806
Pf3D7_02_v3:205889-207403,0.00010617809278899417
Pf3D7_02_v3:209583-210833,0.00019354932819947105
Pf3D7_02_v3:211348-212627,3.873844898899953e-05
Pf3D7_02_v3:212982-214508,0.0003385294634373829
Pf3D7_02_v3:214838-217348,0.000565268746518886
Pf3D7_02_v3:217882-218907,0.00018598943882833753
Pf3D7_02_v3:219690-222256,0.0005089178062658863
Pf3D7_02_v3:223478-224851,1.9590526837544748e-05
Pf3D7_02_v3:231141-232529,0.00011414086430549836
Pf3D7_02_v3:235237-238816,9.980225500899179e-05
Pf3D7_02_v3:239246-243796,0.00029644857933432774
Pf3D7_02_v3:245358-246699,0.000324885878585186
Pf3D7_02_v3:249030-250727,0.0003615850398860235
Pf3D7_02_v3:263037-267347,8.056921642622154e-05
Pf3D7_02_v3:271594-273009,9.972663507639883e-05
Pf3D7_02_v3:273689-274507,0.0009304637541840753
Pf3D7_02_v3:275540-276577,0.00034976443455315585
Pf3D7_02_v3:277494-278456,0.0027823945262976366
Pf3D7_02_v3:281907-287345,0.00030791637175596725
Pf3D7_02_v3:290168-292703,0.0024357309821693815
Pf3D7_02_v3:294273-297616,0.0010170355028009486
Pf3D7_02_v3:298897-302564,0.00021566415557055168
Pf3D7_02_v3:303593-307027,0.00034315499697439586
Pf3D7_02_v3:308847-312155,0.001620957621827193
Pf3D7_02_v3:313449-316741,0.0002993015374665346
Pf3D7_02_v3:317596-321310,0.0009437619772492882
Pf3D7_02_v3:322338-325723,0.0002469349793517339
Pf3D7_02_v3:327932-335203,6.218925584754956e-05
Pf3D7_02_v3:337558-342966,0.0002855498116302707
Pf3D7_02_v3:343308-349340,0.00025376867812359675
Pf3D7_02_v3:352836-353628,0.0006338229166029053
Pf3D7_02_v3:359142-359849,0.00017402993098539958
Pf3D7_02_v3:360828-368354,0.00023739287062565795
Pf3D7_02_v3:370438-379845,0.0006256432299397479
Pf3D7_02_v3:381130-383445,0.00012031139093477464
Pf3D7_02_v3:384865-386580,5.8675036029202296e-05
Pf3D7_02_v3:387273-388151,6.863794226351338e-05
Pf3D7_02_v3:388424-390611,0.000315137826505976
Pf3D7_02_v3:391275-392789,0.0001768836477876793
Pf3D7_02_v3:394237-398745,5.02209845124919e-05
Pf3D7_02_v3:400153-401859,0.00013596351012695257
Pf3D7_02_v3:412275-412859,0.0001856141125340509
Pf3D7_02_v3:413278-421137,0.00025353031668434365
Pf3D7_02_v3:425689-426497,0.00021677335309827362
Pf3D7_02_v3:427490-431530,7.517750172443011e-05
Pf3D7_02_v3:432041-434086,1.7463760429480654e-05
Pf3D7_02_v3:437755-439002,0.0007808756237317995
Pf3D7_02_v3:442080-442934,5.4634598902249746e-05
Pf3D7_02_v3:451751-455116,0.00012675335816769799
Pf3D7_02_v3:457130-458585,2.9273476678896824e-05
Pf3D7_02_v3:459072-461518,4.5592125857284826e-05
Pf3D7_02_v3:463163-466900,7.164014431312905e-05
Pf3D7_02_v3:467847-468476,0.0008357270838433492
Pf3D7_02_v3:469790-473491,0.0009166468942239656
Pf3D7_02_v3:475242-477074,7.195147364132373e-05
Pf3D7_02_v3:477432-479091,6.773694902653911e-05
Pf3D7_02_v3:480100-481432,0.0007190770336166243
Pf3D7_02_v3:483436-488970,0.00012983526316514275
Pf3D7_02_v3:489904-490818,3.320095491783415e-05
Pf3D7_02_v3:495166-507854,0.0003666183635534429
Pf3D7_02_v3:509525-521746,0.00026346795631580435
Pf3D7_02_v3:522931-523999,9.283236171548736e-05
Pf3D7_02_v3:524700-526043,0.00028516431035149106
