,pi_ns_div_pi_s
Pf3D7_01_v3:98819-102282,0.35194053454640556
Pf3D7_01_v3:110750-115799,1.9460767204446177
Pf3D7_01_v3:119041-121249,1.7293358259360734
Pf3D7_01_v3:124517-125484,6.757834072802044
Pf3D7_01_v3:126318-128141,0.6315434529153068
Pf3D7_01_v3:128960-130840,2.746922034510217
Pf3D7_01_v3:132086-133624,1.5811461335368233
Pf3D7_01_v3:134353-139257,0.4409437741278947
Pf3D7_01_v3:140662-142219,3.0853320010093115
Pf3D7_01_v3:143640-146396,0.26340583379190824
Pf3D7_01_v3:147915-152777,0.39323065586867906
Pf3D7_01_v3:154176-160426,0.5534467458960524
Pf3D7_01_v3:161131-166229,0.5835561150290435
Pf3D7_01_v3:166513-168687,0.4620449785730919
Pf3D7_01_v3:169079-171273,0.2910391566751145
Pf3D7_01_v3:172864-174591,1.4788169336424934
Pf3D7_01_v3:175609-176376,0.4059606307536692
Pf3D7_01_v3:178087-180790,9.485076466569618
Pf3D7_01_v3:182822-184222,0.6214784347369902
Pf3D7_01_v3:190269-201230,0.47636019021232856
Pf3D7_01_v3:202536-204143,0.2590369306122832
Pf3D7_01_v3:204622-205455,0.24199553239017127
Pf3D7_01_v3:206170-210189,0.8600783140502032
Pf3D7_01_v3:210870-213005,3.1989477423312374
Pf3D7_01_v3:215776-217509,0.3299789318023576
Pf3D7_01_v3:228485-229519,0.3458605446109842
Pf3D7_01_v3:230289-234402,4.300462702031848
Pf3D7_01_v3:238666-247857,1.3583307407775491
Pf3D7_01_v3:249231-252010,1.0508637049093208
Pf3D7_01_v3:253584-254930,0.27509650107951766
Pf3D7_01_v3:255775-258543,0.6177716917911025
Pf3D7_01_v3:260658-261809,0.2546741694952015
Pf3D7_01_v3:265208-269173,0.5896738997744154
Pf3D7_01_v3:274315-278550,0.6776725417370253
Pf3D7_01_v3:279115-280014,1.358639998542437
Pf3D7_01_v3:281155-285459,1.2440621235653095
Pf3D7_01_v3:286951-288918,0.27218934911242604
Pf3D7_01_v3:290386-292590,0.9616889871852405
Pf3D7_01_v3:293642-294968,0.22414486918920365
Pf3D7_01_v3:297362-299397,0.5139501881333075
Pf3D7_01_v3:299562-300868,0.9921311805154751
Pf3D7_01_v3:304362-309257,0.38273458594450077
Pf3D7_01_v3:314618-319405,0.8413844853101662
Pf3D7_01_v3:320168-321508,0.8228914389879872
Pf3D7_01_v3:322371-326072,0.33589693163087603
Pf3D7_01_v3:330738-332708,0.45491677628730887
Pf3D7_01_v3:337168-343833,1.0526280536310793
Pf3D7_01_v3:344400-346540,1.2883759803746584
Pf3D7_01_v3:349995-351626,0.5339790880496614
Pf3D7_01_v3:352314-356211,0.5933534890859056
Pf3D7_01_v3:357834-360339,1.642770542571523
Pf3D7_01_v3:363318-363992,0.5188974299682103
Pf3D7_01_v3:365610-368795,0.4807267849347276
Pf3D7_01_v3:371815-373012,0.790742202207576
Pf3D7_01_v3:379149-379806,0.21988950276243094
Pf3D7_01_v3:380697-382424,0.47537579301505895
Pf3D7_01_v3:383284-386632,1.1717002895777506
Pf3D7_01_v3:386708-387940,2.2648260740266037
Pf3D7_01_v3:388372-389076,1.7353691220056702
Pf3D7_01_v3:389261-392065,0.4193962497335134
Pf3D7_01_v3:393875-394835,0.5092010257797849
