,pi_s
Pf3D7_01_v3:98819-102282,0.0012387378051697112
Pf3D7_01_v3:110750-115799,0.00020970242349841852
Pf3D7_01_v3:119041-121249,0.0003203093259365542
Pf3D7_01_v3:124517-125484,0.0001312638790472459
Pf3D7_01_v3:126318-128141,0.00025223108035986547
Pf3D7_01_v3:128960-130840,0.0001793239373940471
Pf3D7_01_v3:132086-133624,0.00023912337301258333
Pf3D7_01_v3:134353-139257,0.0011059191903356072
Pf3D7_01_v3:140662-142219,0.00025255339993781494
Pf3D7_01_v3:143640-146396,0.0022674047011615544
Pf3D7_01_v3:147915-152777,0.0009107244351962157
Pf3D7_01_v3:154176-160426,0.0010195790847569862
Pf3D7_01_v3:161131-166229,0.0016337813079953913
Pf3D7_01_v3:166513-168687,0.0004599779033243346
Pf3D7_01_v3:169079-171273,0.00028819383936160703
Pf3D7_01_v3:172864-174591,0.0001183570106506755
Pf3D7_01_v3:175609-176376,0.00040889308316431253
Pf3D7_01_v3:178087-180790,0.000529110025273203
Pf3D7_01_v3:182822-184222,0.00039203779930209627
Pf3D7_01_v3:190269-201230,0.0005077273541588883
Pf3D7_01_v3:202536-204143,0.00011286645706026939
Pf3D7_01_v3:204622-205455,0.0036118507851246565
Pf3D7_01_v3:206170-210189,0.0003912070069776647
Pf3D7_01_v3:210870-213005,4.437755040813556e-05
Pf3D7_01_v3:215776-217509,0.00026614977300342925
Pf3D7_01_v3:228485-229519,0.0004386074975381074
Pf3D7_01_v3:230289-234402,5.196414888455072e-05
Pf3D7_01_v3:238666-247857,0.000177656294351097
Pf3D7_01_v3:249231-252010,0.00011964993614811511
Pf3D7_01_v3:253584-254930,0.0004553252007166615
Pf3D7_01_v3:255775-258543,0.00018025737203606669
Pf3D7_01_v3:260658-261809,0.00010125593689563439
Pf3D7_01_v3:265208-269173,0.0006732791454285306
Pf3D7_01_v3:274315-278550,0.00022688367940945859
Pf3D7_01_v3:279115-280014,0.00010467901527512907
Pf3D7_01_v3:281155-285459,0.0002557323846290487
Pf3D7_01_v3:286951-288918,0.00015324136469670573
Pf3D7_01_v3:290386-292590,0.000264894527783588
Pf3D7_01_v3:293642-294968,0.00021965733077236807
Pf3D7_01_v3:297362-299397,9.168164005394946e-05
Pf3D7_01_v3:299562-300868,7.200136445888465e-05
Pf3D7_01_v3:304362-309257,0.0004259417951179566
Pf3D7_01_v3:314618-319405,0.00030349564565355003
Pf3D7_01_v3:320168-321508,0.00015444708525881804
Pf3D7_01_v3:322371-326072,0.0006433354588333628
Pf3D7_01_v3:330738-332708,0.0006946182447303412
Pf3D7_01_v3:337168-343833,0.0001970107006097067
Pf3D7_01_v3:344400-346540,9.016715608066496e-05
Pf3D7_01_v3:349995-351626,0.00041589989353076865
Pf3D7_01_v3:352314-356211,0.0001761429848228713
Pf3D7_01_v3:357834-360339,8.054367619440835e-05
Pf3D7_01_v3:363318-363992,0.000412835084153302
Pf3D7_01_v3:365610-368795,0.0002998746947831365
