,theta
Pf3D7_01_v3:98819-102282,0.0007795251487786512
Pf3D7_01_v3:104704-105209,0.0016300397995774472
Pf3D7_01_v3:110750-115799,0.0010542831518498864
Pf3D7_01_v3:119041-121249,0.0009324579256948797
Pf3D7_01_v3:124517-125484,0.0019033111777419015
Pf3D7_01_v3:126318-128141,0.0009140194921359414
Pf3D7_01_v3:128960-130840,0.0008240141771208572
Pf3D7_01_v3:132086-133624,0.0008426117193128211
Pf3D7_01_v3:134353-139257,0.001456575032379952
Pf3D7_01_v3:140662-142219,0.0011065762661290124
Pf3D7_01_v3:143640-146396,0.0011526413748157063
Pf3D7_01_v3:147915-152777,0.0008000372720888878
Pf3D7_01_v3:154176-160426,0.001013634806942513
Pf3D7_01_v3:161131-166229,0.000884051639934763
Pf3D7_01_v3:166513-168687,0.0006463870723495613
Pf3D7_01_v3:169079-171273,0.0005964293091541443
Pf3D7_01_v3:172864-174591,0.0006740893754502568
Pf3D7_01_v3:175609-176376,0.0017212205607480874
Pf3D7_01_v3:178087-180790,0.002708772710055448
Pf3D7_01_v3:182822-184222,0.0008800441528997006
Pf3D7_01_v3:190269-201230,0.0010623396385565683
Pf3D7_01_v3:202536-204143,0.003335700002228075
Pf3D7_01_v3:204622-205455,0.0025544439490746574
Pf3D7_01_v3:206170-210189,0.0013142945934140574
Pf3D7_01_v3:210870-213005,0.000686970064153128
Pf3D7_01_v3:215776-217509,0.0005926060443518741
Pf3D7_01_v3:222254-223960,0.00040512884000349324
Pf3D7_01_v3:225110-225779,0.0007759302163456193
Pf3D7_01_v3:228485-229519,0.0006740893754502568
Pf3D7_01_v3:230289-234402,0.0007515397186809924
Pf3D7_01_v3:238666-247857,0.0009193193848190908
Pf3D7_01_v3:249231-252010,0.0009088845511688855
Pf3D7_01_v3:253584-254930,0.0010370605776157797
Pf3D7_01_v3:255775-258543,0.001058023752193031
Pf3D7_01_v3:260658-261809,0.16178145010806164
Pf3D7_01_v3:263340-264223,0.16197519999545554
Pf3D7_01_v3:265208-269173,0.0008730785218999548
Pf3D7_01_v3:272454-273404,0.16236847289723624
Pf3D7_01_v3:274315-278550,0.0008658359652558824
Pf3D7_01_v3:279115-280014,0.0013315345687906306
Pf3D7_01_v3:281155-285459,0.0008194741541064172
Pf3D7_01_v3:286951-288918,0.16276967425216368
Pf3D7_01_v3:290386-292590,0.0008085029990407877
Pf3D7_01_v3:293642-294968,0.16359703720836974
Pf3D7_01_v3:295300-296931,0.0011157341386762872
Pf3D7_01_v3:297362-299397,0.00022038314819474578
Pf3D7_01_v3:299562-300868,0.0005398713574240099
Pf3D7_01_v3:302937-303398,0.16197519999545554
Pf3D7_01_v3:304362-309257,0.0010148651851797225
Pf3D7_01_v3:314618-319405,0.0008541787228514341
Pf3D7_01_v3:320168-321508,0.0012242920548718177
Pf3D7_01_v3:322371-326072,0.0009775314205925174
