,theta_s
Pf3D7_01_v3:98819-102282,0.0004213058596564105
Pf3D7_01_v3:110750-115799,0.00027207307144513205
Pf3D7_01_v3:119041-121249,0.00039014819157892676
Pf3D7_01_v3:124517-125484,0.16178145010806164
Pf3D7_01_v3:126318-128141,0.0006490730194907187
Pf3D7_01_v3:128960-130840,0.0004851017994244727
Pf3D7_01_v3:132086-133624,0.001601655810360669
Pf3D7_01_v3:134353-139257,0.0006106315834451705
Pf3D7_01_v3:140662-142219,0.0006151385935667743
Pf3D7_01_v3:143640-146396,0.0005199189612471182
Pf3D7_01_v3:147915-152777,0.00028670130398897
Pf3D7_01_v3:154176-160426,0.00030404851378586673
Pf3D7_01_v3:161131-166229,0.0003683548499728179
Pf3D7_01_v3:166513-168687,0.16197519999545554
Pf3D7_01_v3:169079-171273,0.0005964293091541443
Pf3D7_01_v3:172864-174591,0.002888954466215386
Pf3D7_01_v3:175609-176376,0.1625680647516079
Pf3D7_01_v3:178087-180790,0.00036751806021822266
Pf3D7_01_v3:182822-184222,0.001662138186041729
Pf3D7_01_v3:190269-201230,0.0003743810597127898
Pf3D7_01_v3:202536-204143,0.003335700002228075
Pf3D7_01_v3:204622-205455,0.0025544439490746574
Pf3D7_01_v3:206170-210189,0.0005971631501989356
Pf3D7_01_v3:210870-213005,0.16178145010806164
Pf3D7_01_v3:215776-217509,0.0004795892789764673
Pf3D7_01_v3:228485-229519,0.0011313388119444869
Pf3D7_01_v3:230289-234402,0.16178145010806164
Pf3D7_01_v3:238666-247857,0.00036074353376258726
Pf3D7_01_v3:249231-252010,0.0002696357501801027
Pf3D7_01_v3:253584-254930,0.16178145010806164
Pf3D7_01_v3:255775-258543,0.0006701799921626413
Pf3D7_01_v3:260658-261809,0.16178145010806164
Pf3D7_01_v3:265208-269173,0.0005238471131399729
Pf3D7_01_v3:274315-278550,0.0002505132395603308
Pf3D7_01_v3:279115-280014,0.16197519999545554
Pf3D7_01_v3:281155-285459,0.0005941606247410449
Pf3D7_01_v3:286951-288918,0.16276967425216368
Pf3D7_01_v3:290386-292590,0.0007478341299294066
Pf3D7_01_v3:293642-294968,0.16359703720836974
Pf3D7_01_v3:297362-299397,0.1629733380900145
Pf3D7_01_v3:299562-300868,0.16178145010806164
Pf3D7_01_v3:304362-309257,0.00035818771241637263
Pf3D7_01_v3:314618-319405,0.00023749478876697243
Pf3D7_01_v3:320168-321508,0.0008089072505403082
Pf3D7_01_v3:322371-326072,0.0004602601710044428
Pf3D7_01_v3:330738-332708,0.000765527366441932
Pf3D7_01_v3:337168-343833,0.00024218779956296653
Pf3D7_01_v3:344400-346540,0.16197519999545554
Pf3D7_01_v3:349995-351626,0.0003141411879258124
Pf3D7_01_v3:352314-356211,0.00037169776015637365
Pf3D7_01_v3:357834-360339,0.16197519999545554
Pf3D7_01_v3:363318-363992,0.16178145010806164
Pf3D7_01_v3:365610-368795,0.00040883398944275504
Pf3D7_01_v3:371815-373012,0.16217086293063154
Pf3D7_01_v3:379149-379806,0.002547739371780498
Pf3D7_01_v3:380697-382424,0.16197519999545554
Pf3D7_01_v3:383284-386632,0.0005858308639697582
Pf3D7_01_v3:386708-387940,0.16236847289723624
Pf3D7_01_v3:388372-389076,0.0005278350737620282
Pf3D7_01_v3:389261-392065,0.0005424357086607263
Pf3D7_01_v3:393875-394835,0.0006479007999818222
Pf3D7_01_v3:396591-403606,0.0001676988228574606
Pf3D7_01_v3:405739-412169,0.00014101673576645164
Pf3D7_01_v3:417921-419607,0.0009351528907980441
Pf3D7_01_v3:421776-427575,0.0003183107724703623
Pf3D7_01_v3:430152-430858,0.16217086293063154
Pf3D7_01_v3:431539-435042,0.000732042760669962
Pf3D7_01_v3:436408-438564,0.0010027775833144315
Pf3D7_01_v3:439652-441418,0.16217086293063154
Pf3D7_01_v3:446026-448849,0.001565521887161433
Pf3D7_01_v3:464726-470194,0.005304309839608578
Pf3D7_01_v3:495244-500076,0.0004431154481184925
Pf3D7_01_v3:500959-502868,0.0004254607497910891
Pf3D7_01_v3:504938-506874,0.000661006946304644
Pf3D7_01_v3:508252-509748,0.001914573374059901
Pf3D7_01_v3:520807-522579,0.00043636264358209477
Pf3D7_01_v3:527107-536351,0.0007373320869753809
Pf3D7_01_v3:537109-538025,0.002390858868592044
Pf3D7_01_v3:542480-546983,0.16178145010806164
Pf3D7_02_v3:120524-124102,0.00020038990517100944
Pf3D7_02_v3:135523-137139,0.0007602511753198385
Pf3D7_02_v3:138927-141192,0.16338698039828797
Pf3D7_02_v3:141625-147564,0.00027015032222243117
Pf3D7_02_v3:149524-156981,0.0004252184600702513
