variable,value
ookinete,PF3D7_0724900
ookinete,PF3D7_1116800
ookinete,PF3D7_1330800
ookinete,PF3D7_1024000
ookinete,PF3D7_0210600
ookinete,PF3D7_0512400
ookinete,PF3D7_0814700
ookinete,PF3D7_1143100
ookinete,PF3D7_0507300
ookinete,PF3D7_0410000
ookinete,PF3D7_0308700
ookinete,PF3D7_1024100
ookinete,PF3D7_1342600
ookinete,PF3D7_1431500
ookinete,PF3D7_0609700
ookinete,PF3D7_0417100
ookinete,PF3D7_1142900
ookinete,PF3D7_1139100
ookinete,PF3D7_0518900
ookinete,PF3D7_1310700
ookinete,PF3D7_1246900
ookinete,PF3D7_1362100
ookinete,PF3D7_1422900
ookinete,PF3D7_0420300
ookinete,PF3D7_1111600
ookinete,PF3D7_0421700
ookinete,PF3D7_0507400
ookinete,PF3D7_0519800
ookinete,PF3D7_1126300
ookinete,PF3D7_1407600
ookinete,PF3D7_0506800
ookinete,PF3D7_1231200
ookinete,PF3D7_0209500
ookinete,PF3D7_1136900
ookinete,PF3D7_0818600
ookinete,PF3D7_0411400
ookinete,PF3D7_0808200
ookinete,PF3D7_1332200
ookinete,PF3D7_1218100
ookinete,PF3D7_1026500
ookinete,PF3D7_0214600
ookinete,PF3D7_1449000
ookinete,PF3D7_0918700
ookinete,PF3D7_0102700
ookinete,PF3D7_1329700
ookinete,PF3D7_1029700
gametocyte,PF3D7_0906400
gametocyte,PF3D7_1231400
gametocyte,PF3D7_0920000
gametocyte,PF3D7_1234100
gametocyte,PF3D7_0622800
gametocyte,PF3D7_1239800
gametocyte,PF3D7_0818800
gametocyte,PF3D7_0521300
gametocyte,PF3D7_0107700
gametocyte,PF3D7_1435200
gametocyte,PF3D7_1006000
gametocyte,PF3D7_0625100
gametocyte,PF3D7_1351600
gametocyte,PF3D7_1428500
gametocyte,PF3D7_0709900
gametocyte,PF3D7_1322100
gametocyte,PF3D7_0903600
gametocyte,PF3D7_0614200
gametocyte,PF3D7_1245800
gametocyte,PF3D7_1033500
gametocyte,PF3D7_0418800
gametocyte,PF3D7_1407400
gametocyte,PF3D7_1362600
gametocyte,PF3D7_0307900
gametocyte,PF3D7_1125300
gametocyte,PF3D7_0916700
gametocyte,PF3D7_0912100
gametocyte,PF3D7_1409900
gametocyte,PF3D7_0107100
gametocyte,PF3D7_0315700
gametocyte,PF3D7_1442600
gametocyte,PF3D7_0107300
gametocyte,PF3D7_0421900
gametocyte,PF3D7_1415100
gametocyte,PF3D7_1344400
gametocyte,PF3D7_1026400
gametocyte,PF3D7_0404000
gametocyte,PF3D7_1342900
gametocyte,PF3D7_0405700
gametocyte,PF3D7_1322400
gametocyte,PF3D7_1146300
gametocyte,PF3D7_0728700
gametocyte,PF3D7_1218000
gametocyte,PF3D7_1427100
gametocyte,PF3D7_0801900
gametocyte,PF3D7_1131700
gametocyte,PF3D7_1031900
gametocyte,PF3D7_1201400
gametocyte,PF3D7_1201700
gametocyte,PF3D7_0934600
gametocyte,PF3D7_1220700
gametocyte,PF3D7_0812900
gametocyte,PF3D7_1473700
gametocyte,PF3D7_1139600
gametocyte,PF3D7_1216700
gametocyte,PF3D7_0408600
gametocyte,PF3D7_0610700
gametocyte,PF3D7_0925100
gametocyte,PF3D7_0207200
gametocyte,PF3D7_0919200
gametocyte,PF3D7_1022300
sporozoite,PF3D7_1354700
sporozoite,PF3D7_0616500
sporozoite,PF3D7_1023800
sporozoite,PF3D7_0925200
sporozoite,PF3D7_1116900
sporozoite,PF3D7_0911100
sporozoite,PF3D7_1327300
sporozoite,PF3D7_1137800
sporozoite,PF3D7_0902900
sporozoite,PF3D7_0304700
sporozoite,PF3D7_0407600
sporozoite,PF3D7_1026600
sporozoite,PF3D7_1468400
sporozoite,PF3D7_1201300
sporozoite,PF3D7_0829600
sporozoite,PF3D7_1475400
sporozoite,PF3D7_1131900
sporozoite,PF3D7_1033100
sporozoite,PF3D7_0212600
sporozoite,PF3D7_1444700
sporozoite,PF3D7_1408300
sporozoite,PF3D7_0421800
sporozoite,PF3D7_1017500
sporozoite,PF3D7_0629300
sporozoite,PF3D7_0202100
sporozoite,PF3D7_1476100
sporozoite,PF3D7_1302200
sporozoite,PF3D7_0830300
sporozoite,PF3D7_1132100
sporozoite,PF3D7_0901500
sporozoite,PF3D7_1352900
schizont,PF3D7_0303200
schizont,PF3D7_0217500
schizont,PF3D7_0508100
schizont,PF3D7_1327400
schizont,PF3D7_0404900
schizont,PF3D7_0317300
