"","pi_ns","pi_s","pnps","D"
"ring - sporozoite",7.01586393265987e-05,0.994392808072809,4.20958544142388e-05,7.88837142886038e-07
"trophozoite - sporozoite",0.706231861976526,0.994392808072809,0.00196463163298091,0.0209930041673513
"schizont - sporozoite",4.30435459561706e-05,0.994392808072809,1.70553959588986e-05,0.000396858446961638
"gametocyte - sporozoite",1.51345589279065e-06,0.994392808072809,0.000107985871978994,7.88837142886038e-07
"ookinete - sporozoite",0.00134109622003452,0.0208278222198162,0.0016780969321322,0.0550479602362118
"trophozoite - ring",0.997718501877992,0.994392808072809,0.99025992621221,0.775396646240891
"schizont - ring",0.997718501877992,0.994392808072809,0.99025992621221,0.775396646240891
"gametocyte - ring",0.997718501877992,0.994392808072809,0.99025992621221,0.486445339941169
"ookinete - ring",0.997718501877992,0.116730334960753,0.99025992621221,0.0644191203770951
"schizont - trophozoite",0.997718501877992,0.994392808072809,0.99025992621221,0.923659362720482
"gametocyte - trophozoite",0.997718501877992,0.994392808072809,0.99025992621221,0.775396646240891
"ookinete - trophozoite",0.997718501877992,0.0925467745175375,0.99025992621221,0.775396646240891
"gametocyte - schizont",0.997718501877992,0.994392808072809,0.99025992621221,0.775396646240891
"ookinete - schizont",0.997718501877992,0.116730334960753,0.99025992621221,0.775396646240891
"ookinete - gametocyte",0.997718501877992,0.0126040410838901,0.99025992621221,0.183675412336843
