"gene","stage"
"PF3D7_0111600","ookinete"
"PF3D7_0112100","ookinete"
"PF3D7_0113400","ookinete"
"PF3D7_0113800","ookinete"
"PF3D7_0206000","ookinete"
"PF3D7_0209200","ookinete"
"PF3D7_0210500","ookinete"
"PF3D7_0213400","ookinete"
"PF3D7_0213500","ookinete"
"PF3D7_0214700","ookinete"
"PF3D7_0217700","ookinete"
"PF3D7_0304500","ookinete"
"PF3D7_0309800","ookinete"
"PF3D7_0310100","ookinete"
"PF3D7_0312900","ookinete"
"PF3D7_0315200","ookinete"
"PF3D7_0315300","ookinete"
"PF3D7_0315600","ookinete"
"PF3D7_0320400","ookinete"
"PF3D7_0403300","ookinete"
"PF3D7_0405600","ookinete"
"PF3D7_0408800","ookinete"
"PF3D7_0411300","ookinete"
"PF3D7_0417000","ookinete"
"PF3D7_0417100","ookinete"
"PF3D7_0422800","ookinete"
"PF3D7_0422900","ookinete"
"PF3D7_0423100","ookinete"
"PF3D7_0507000","ookinete"
"PF3D7_0507300","ookinete"
"PF3D7_0507400","ookinete"
"PF3D7_0508400","ookinete"
"PF3D7_0509200","ookinete"
"PF3D7_0512400","ookinete"
"PF3D7_0512800","ookinete"
"PF3D7_0514500","ookinete"
"PF3D7_0517200","ookinete"
"PF3D7_0518900","ookinete"
"PF3D7_0522900","ookinete"
"PF3D7_0528300","ookinete"
"PF3D7_0604900","ookinete"
"PF3D7_0605000","ookinete"
"PF3D7_0605700","ookinete"
"PF3D7_0606400","ookinete"
"PF3D7_0608000","ookinete"
"PF3D7_0609600","ookinete"
"PF3D7_0618100","ookinete"
"PF3D7_0623500","ookinete"
"PF3D7_0623800","ookinete"
"PF3D7_0625900","ookinete"
"PF3D7_0700800","ookinete"
"PF3D7_0702600","ookinete"
"PF3D7_0716100","ookinete"
"PF3D7_0716900","ookinete"
"PF3D7_0718600","ookinete"
"PF3D7_0719300","ookinete"
"PF3D7_0721700","ookinete"
"PF3D7_0721900","ookinete"
"PF3D7_0727700","ookinete"
"PF3D7_0801300","ookinete"
"PF3D7_0802700","ookinete"
"PF3D7_0805200","ookinete"
"PF3D7_0807400","ookinete"
"PF3D7_0814700","ookinete"
"PF3D7_0817100","ookinete"
"PF3D7_0819200","ookinete"
"PF3D7_0819400","ookinete"
"PF3D7_0821300","ookinete"
"PF3D7_0823500","ookinete"
"PF3D7_0824000","ookinete"
"PF3D7_0824100","ookinete"
"PF3D7_0907600","ookinete"
"PF3D7_0912600","ookinete"
"PF3D7_0912700","ookinete"
"PF3D7_0915700","ookinete"
"PF3D7_0922900","ookinete"
"PF3D7_0924700","ookinete"
"PF3D7_0926600","ookinete"
"PF3D7_0929100","ookinete"
"PF3D7_0929300","ookinete"
"PF3D7_0929600","ookinete"
"PF3D7_0929900","ookinete"
"PF3D7_0935700","ookinete"
"PF3D7_1004900","ookinete"
"PF3D7_1005600","ookinete"
"PF3D7_1006500","ookinete"
"PF3D7_1007000","ookinete"
"PF3D7_1007300","ookinete"
"PF3D7_1011500","ookinete"
"PF3D7_1024000","ookinete"
"PF3D7_1024100","ookinete"
"PF3D7_1024700","ookinete"
"PF3D7_1027600","ookinete"
"PF3D7_1032500","ookinete"
"PF3D7_1106600","ookinete"
