,0
0,Pf3D7_01_v3:29510-37126
1,Pf3D7_01_v3:29510-37126
2,Pf3D7_01_v3:29510-37126
3,Pf3D7_01_v3:38982-40207
4,Pf3D7_01_v3:38982-40207
5,Pf3D7_01_v3:38982-40207
6,Pf3D7_01_v3:42367-46507
7,Pf3D7_01_v3:42367-46507
8,Pf3D7_01_v3:42367-46507
9,Pf3D7_01_v3:50363-51636
10,Pf3D7_01_v3:50363-51636
11,Pf3D7_01_v3:50363-51636
12,Pf3D7_01_v3:74563-75366
13,Pf3D7_01_v3:74563-75366
14,Pf3D7_01_v3:74563-75366
15,Pf3D7_01_v3:104704-105209
16,Pf3D7_01_v3:124517-125484
17,Pf3D7_01_v3:126318-128141
18,Pf3D7_01_v3:128960-130840
19,Pf3D7_01_v3:172864-174591
20,Pf3D7_01_v3:172864-174591
21,Pf3D7_01_v3:172864-174591
22,Pf3D7_01_v3:175609-176376
23,Pf3D7_01_v3:175609-176376
24,Pf3D7_01_v3:175609-176376
25,Pf3D7_01_v3:215776-217509
26,Pf3D7_01_v3:215776-217509
27,Pf3D7_01_v3:215776-217509
28,Pf3D7_01_v3:221202-221633
29,Pf3D7_01_v3:221202-221633
30,Pf3D7_01_v3:221202-221633
31,Pf3D7_01_v3:222254-223960
32,Pf3D7_01_v3:225110-225779
33,Pf3D7_01_v3:225110-225779
34,Pf3D7_01_v3:225110-225779
35,Pf3D7_01_v3:226681-227285
36,Pf3D7_01_v3:226681-227285
37,Pf3D7_01_v3:226681-227285
38,Pf3D7_01_v3:230289-234402
39,Pf3D7_01_v3:260658-261809
40,Pf3D7_01_v3:272454-273404
41,Pf3D7_01_v3:272454-273404
42,Pf3D7_01_v3:272454-273404
43,Pf3D7_01_v3:286951-288918
44,Pf3D7_01_v3:286951-288918
45,Pf3D7_01_v3:286951-288918
46,Pf3D7_01_v3:290386-292590
47,Pf3D7_01_v3:293642-294968
48,Pf3D7_01_v3:293642-294968
49,Pf3D7_01_v3:293642-294968
50,Pf3D7_01_v3:302937-303398
51,Pf3D7_01_v3:302937-303398
52,Pf3D7_01_v3:302937-303398
53,Pf3D7_01_v3:320168-321508
54,Pf3D7_01_v3:320168-321508
55,Pf3D7_01_v3:320168-321508
56,Pf3D7_01_v3:326397-327224
57,Pf3D7_01_v3:328431-329558
58,Pf3D7_01_v3:328431-329558
59,Pf3D7_01_v3:328431-329558
60,Pf3D7_01_v3:330738-332708
61,Pf3D7_01_v3:337168-343833
62,Pf3D7_01_v3:344400-346540
63,Pf3D7_01_v3:349170-349709
64,Pf3D7_01_v3:349170-349709
65,Pf3D7_01_v3:349170-349709
66,Pf3D7_01_v3:352314-356211
67,Pf3D7_01_v3:357834-360339
68,Pf3D7_01_v3:363318-363992
69,Pf3D7_01_v3:363318-363992
70,Pf3D7_01_v3:363318-363992
71,Pf3D7_01_v3:365610-368795
72,Pf3D7_01_v3:369480-370178
73,Pf3D7_01_v3:369480-370178
74,Pf3D7_01_v3:369480-370178
75,Pf3D7_01_v3:374439-375087
76,Pf3D7_01_v3:374439-375087
77,Pf3D7_01_v3:374439-375087
78,Pf3D7_01_v3:376294-377004
79,Pf3D7_01_v3:376294-377004
80,Pf3D7_01_v3:376294-377004
81,Pf3D7_01_v3:377874-378599
82,Pf3D7_01_v3:379149-379806
83,Pf3D7_01_v3:380697-382424
84,Pf3D7_01_v3:386708-387940
85,Pf3D7_01_v3:392604-393035
86,Pf3D7_01_v3:392604-393035
87,Pf3D7_01_v3:392604-393035
88,Pf3D7_01_v3:393875-394835
89,Pf3D7_01_v3:393875-394835
90,Pf3D7_01_v3:393875-394835
91,Pf3D7_01_v3:413760-415100
92,Pf3D7_01_v3:420293-420853
93,Pf3D7_01_v3:430152-430858
