,stage,Gene ID,Pfal_gene,Preich_gene,score_adj,ns,s,ns_sites,s_sites,ffd,ffd_sites
16231,4,PF3D7_1410600,PF3D7_1410600.1,PRCDC_1409900.1,5.0,0,15,1096.666666666666,298.3333333333333,14,168.0
17557,5,PF3D7_1023500,PF3D7_1023500.1,PRCDC_1022900.1,5.0,0,4,238.3333333333333,52.66666666666668,2,20.0
17336,5,PF3D7_0829300,PF3D7_0829300.1,PRCDC_0828600.1,5.0,0,3,229.0,56.00000000000001,1,25.0
17399,5,PF3D7_0914400,PF3D7_0914400.1,PRCDC_0912400.1,5.0,0,7,599.3333333333335,147.66666666666663,4,74.0
17401,5,PF3D7_0914800,PF3D7_0914800.1,PRCDC_0912800.1,5.0,0,2,508.0000000000007,115.99999999999984,1,47.0
17412,5,PF3D7_0917900,PF3D7_0917900.1,PRCDC_0915900.1,5.0,0,41,1545.0000000000043,410.999999999999,22,232.0
17447,5,PF3D7_0925700,PF3D7_0925700.1,PRCDC_0923700.1,5.0,0,18,1072.6666666666654,274.3333333333336,12,156.0
17475,5,PF3D7_0931500,PF3D7_0931500.1,PRCDC_0929500.1,5.0,0,1,190.6666666666666,40.33333333333335,0,17.0
17496,5,PF3D7_1003600,PF3D7_1003600.1,PRCDC_1003000.1,5.0,0,4,684.3333333333329,158.66666666666666,2,80.0
9355,3,PF3D7_0312000,PF3D7_0312000.1,PRCDC_0311300.1,5.0,0,7,323.66666666666646,84.33333333333339,3,44.0
17510,5,PF3D7_1008200,PF3D7_1008200.1,PRCDC_1007600.1,5.0,0,11,953.3333333333318,210.6666666666669,3,80.0
17513,5,PF3D7_1008900,PF3D7_1008900.1,PRCDC_1008300.1,5.0,0,6,364.0000000000002,91.99999999999993,4,46.0
9345,3,PF3D7_0305400,PF3D7_0305400.1,PRCDC_0304700.1,5.0,0,1,360.3333333333337,74.66666666666669,1,34.0
17525,5,PF3D7_1011400,PF3D7_1011400.1,PRCDC_1010800.1,5.0,0,1,654.333333333333,158.6666666666667,0,81.0
17574,5,PF3D7_1026500,PF3D7_1026500.1,PRCDC_1025900.1,5.0,0,1,167.66666666666669,42.33333333333333,0,22.0
8326,2,PF3D7_1430800,PF3D7_1430800.1,PRCDC_1430100.1,5.0,0,6,637.333333333333,157.66666666666677,1,86.0
17604,5,PF3D7_1036600,PF3D7_1036600.1,PRCDC_1035700.1,5.0,0,5,541.6666666666672,118.33333333333312,3,48.0
17611,5,PF3D7_1105400,PF3D7_1105400.1,PRCDC_1103900.1,5.0,0,9,578.6666666666667,150.33333333333334,6,77.0
17624,5,PF3D7_1109900,PF3D7_1109900.1,PRCDC_1108400.1,5.0,0,2,266.00000000000006,70.0,1,36.0
17631,5,PF3D7_1112000,PF3D7_1112000.1,PRCDC_1110500.1,5.0,0,1,174.9999999999999,41.00000000000003,0,21.0
17674,5,PF3D7_1127100,PF3D7_1127100.1,PRCDC_1125600.1,5.0,0,7,413.3333333333336,105.66666666666661,6,58.0
17721,5,PF3D7_1143400,PF3D7_1143400.1,PRCDC_1141800.1,5.0,0,3,378.66666666666697,86.33333333333326,2,37.0
17749,5,PF3D7_1204700,PF3D7_1204700.1,PRCDC_1204100.1,5.0,0,5,291.9999999999999,68.00000000000004,0,33.0
17760,5,PF3D7_1209700,PF3D7_1209700.1,PRCDC_1209000.1,5.0,0,6,534.3333333333339,107.66666666666647,0,40.0
17763,5,PF3D7_1211400,PF3D7_1211400.1,PRCDC_1210700.1,5.0,0,5,581.0000000000003,150.99999999999994,3,89.0
8371,2,PF3D7_1475300,PF3D7_1475300.1,PRCDC_1474400.1,5.0,0,8,551.3333333333337,132.66666666666657,3,60.0
8367,2,PF3D7_1467800,PF3D7_1467800.1,PRCDC_1467000.1,5.0,0,1,221.99999999999986,48.00000000000002,1,22.0
8349,2,PF3D7_1453300,PF3D7_1453300.1,PRCDC_1452600.1,5.0,0,0,187.3333333333334,40.66666666666666,0,10.0
17335,5,PF3D7_0829100,PF3D7_0829100.1,PRCDC_0828400.1,5.0,0,10,540.3333333333338,107.66666666666653,6,42.0
17317,5,PF3D7_0825200,PF3D7_0825200.1,PRCDC_0824500.1,5.0,0,2,401.3333333333336,93.66666666666659,2,41.0
17316,5,PF3D7_0823200,PF3D7_0823200.1,PRCDC_0822500.1,5.0,0,4,185.66666666666663,45.33333333333334,1,28.0
10513,3,PF3D7_0524400,PF3D7_0524400.1,PRCDC_0523500.1,5.0,0,15,863.3333333333317,231.6666666666671,6,130.0
16726,5,PF3D7_0422700,PF3D7_0422700.1,PRCDC_0419900.1,5.0,0,13,940.9999999999989,229.00000000000028,5,113.0
11548,3,PF3D7_0821700,PF3D7_0821700.1,PRCDC_0821000.1,5.0,0,1,340.0000000000001,77.00000000000001,1,36.0
16742,5,PF3D7_0504900,PF3D7_0504900.1,PRCDC_0504100.1,5.0,0,5,415.33333333333354,100.66666666666663,2,57.0
11541,3,PF3D7_0816500,PF3D7_0816500.1,PRCDC_0815800.1,5.0,0,2,414.00000000000045,101.99999999999989,1,54.0
16766,5,PF3D7_0512600,PF3D7_0512600.1,PRCDC_0511800.1,5.0,0,8,486.0000000000007,113.99999999999984,4,52.0
16770,5,PF3D7_0513400,PF3D7_0513400.1,PRCDC_0512600.1,5.0,0,1,195.3333333333333,38.66666666666668,1,13.0
11427,3,PF3D7_0804800,PF3D7_0804800.1,PRCDC_0804400.1,5.0,0,5,531.6666666666671,119.33333333333324,3,54.0
11221,3,PF3D7_0730400,PF3D7_0730400.1,PRCDC_0727200.1,5.0,0,0,380.3333333333335,93.66666666666664,0,53.0
11218,3,PF3D7_0729800,PF3D7_0729800.1,PRCDC_0726600.1,5.0,0,0,241.99999999999983,49.00000000000003,0,15.0
16870,5,PF3D7_0610400,PF3D7_0610400.1,PRCDC_0609100.1,5.0,0,1,314.3333333333332,93.66666666666664,0,57.0
11189,3,PF3D7_0720500,PF3D7_0720500.1,PRCDC_0717700.1,5.0,0,3,327.0,75.00000000000003,2,29.0
16892,5,PF3D7_0615800,PF3D7_0615800.1,PRCDC_0614500.1,5.0,0,1,185.33333333333337,42.66666666666666,1,18.0
16897,5,PF3D7_0617200,PF3D7_0617200.1,PRCDC_0615900.1,5.0,0,13,1116.333333333331,221.66666666666723,3,73.0
11179,3,PF3D7_0713400,PF3D7_0713400.1,PRCDC_0710700.1,5.0,0,12,876.3333333333325,194.6666666666668,3,74.0
16914,5,PF3D7_0624100,PF3D7_0624100.1,PRCDC_0622500.1,5.0,0,5,662.0000000000001,153.99999999999997,1,69.0
10983,3,PF3D7_0709500,PF3D7_0709500.1,PRCDC_0707700.1,5.0,0,1,332.00000000000006,72.99999999999999,0,31.0
16979,5,PF3D7_0711300,PF3D7_0711300.1,PRCDC_0709500.1,5.0,0,3,294.6666666666666,62.33333333333341,1,30.0
17086,5,PF3D7_0716900,PF3D7_0716900.1,PRCDC_0714200.1,5.0,0,13,777.6666666666657,188.3333333333335,6,85.0
17100,5,PF3D7_0721600,PF3D7_0721600.1,PRCDC_0718800.1,5.0,0,4,303.0000000000001,83.99999999999993,2,48.0
17107,5,PF3D7_0724400,PF3D7_0724400.1,PRCDC_0721600.1,5.0,0,3,278.9999999999999,66.00000000000004,1,33.0
17121,5,PF3D7_0729600,PF3D7_0729600.1,PRCDC_0726400.1,5.0,0,4,403.00000000000045,85.99999999999996,2,31.0
10768,3,PF3D7_0620100,PF3D7_0620100.1,PRCDC_0618500.1,5.0,0,3,319.33333333333337,70.66666666666671,1,29.0
10657,3,PF3D7_0611100,PF3D7_0611100.1,PRCDC_0609800.1,5.0,0,0,199.66666666666652,49.333333333333364,0,26.0
17281,5,PF3D7_0814000,PF3D7_0814000.1,PRCDC_0813400.1,5.0,0,3,519.0000000000005,125.99999999999986,1,59.0
17282,5,PF3D7_0814200,PF3D7_0814200.1,PRCDC_0813600.1,5.0,0,4,580.3333333333336,163.66666666666657,2,96.0
8344,2,PF3D7_1445500,PF3D7_1445500.1,PRCDC_1444800.1,5.0,0,3,363.33333333333354,83.66666666666664,2,38.0
8324,2,PF3D7_1421500,PF3D7_1421500.1,PRCDC_1420800.1,5.0,0,5,282.99999999999994,56.00000000000004,2,20.0
18704,6,PF3D7_0519700,PF3D7_0519700.1,PRCDC_0518800.1,5.0,0,5,470.66666666666725,105.33333333333321,4,51.0
18534,6,PF3D7_0210100,PF3D7_0210100.1,PRCDC_0209000.1,5.0,0,5,226.6666666666666,61.33333333333335,3,37.0
7953,2,PF3D7_1011200,PF3D7_1011200.1,PRCDC_1010600.1,5.0,0,1,283.3333333333334,58.6666666666667,0,19.0
18262,5,PF3D7_1432100,PF3D7_1432100.1,PRCDC_1431400.1,5.0,0,8,700.9999999999997,166.00000000000006,1,86.0
18277,5,PF3D7_1437200,PF3D7_1437200.1,PRCDC_1436500.1,5.0,0,3,197.3333333333333,54.66666666666667,2,36.0
18280,5,PF3D7_1437900,PF3D7_1437900.1,PRCDC_1437200.1,5.0,0,14,1024.3333333333312,247.6666666666672,6,132.0
18295,5,PF3D7_1444800,PF3D7_1444800.1,PRCDC_1444100.1,5.0,0,3,842.6666666666661,243.33333333333354,1,153.0
18299,5,PF3D7_1447000,PF3D7_1447000.1,PRCDC_1446300.1,5.0,0,16,632.9999999999997,183.00000000000023,7,117.0
7902,2,PF3D7_0925600,PF3D7_0925600.1,PRCDC_0923600.1,5.0,0,4,308.33333333333337,75.66666666666667,3,44.0
7892,2,PF3D7_0917200,PF3D7_0917200.1,PRCDC_0915200.1,5.0,0,10,787.3333333333323,184.66666666666686,8,84.0
7886,2,PF3D7_0909800,PF3D7_0909800.1,PRCDC_0907900.1,5.0,0,4,274.66666666666674,73.33333333333333,3,41.0
18403,6,PF3D7_0106300,PF3D7_0106300.1,PRCDC_0104200.1,5.0,0,4,228.66666666666654,59.333333333333364,2,30.0
18406,6,PF3D7_0106800,PF3D7_0106800.1,PRCDC_0104700.1,5.0,0,2,512.333333333334,129.66666666666654,1,71.0
18407,6,PF3D7_0107000,PF3D7_0107000.1,PRCDC_0104900.1,5.0,0,2,412.33333333333366,91.66666666666663,1,39.0
