,0
0,Pf3D7_01_v3:29510-37126
1,Pf3D7_01_v3:29510-37126
2,Pf3D7_01_v3:29510-37126
3,Pf3D7_01_v3:38982-40207
4,Pf3D7_01_v3:38982-40207
5,Pf3D7_01_v3:38982-40207
6,Pf3D7_01_v3:42367-46507
7,Pf3D7_01_v3:42367-46507
8,Pf3D7_01_v3:42367-46507
9,Pf3D7_01_v3:50363-51636
10,Pf3D7_01_v3:50363-51636
11,Pf3D7_01_v3:50363-51636
12,Pf3D7_01_v3:74563-75366
13,Pf3D7_01_v3:74563-75366
14,Pf3D7_01_v3:74563-75366
15,Pf3D7_01_v3:104704-105209
16,Pf3D7_01_v3:124517-125484
17,Pf3D7_01_v3:225110-225779
18,Pf3D7_01_v3:225110-225779
19,Pf3D7_01_v3:225110-225779
20,Pf3D7_01_v3:226681-227285
21,Pf3D7_01_v3:226681-227285
22,Pf3D7_01_v3:226681-227285
23,Pf3D7_01_v3:263340-264223
24,Pf3D7_01_v3:272454-273404
25,Pf3D7_01_v3:293642-294968
26,Pf3D7_01_v3:293642-294968
27,Pf3D7_01_v3:293642-294968
28,Pf3D7_01_v3:302937-303398
29,Pf3D7_01_v3:320168-321508
30,Pf3D7_01_v3:326397-327224
31,Pf3D7_01_v3:328431-329558
32,Pf3D7_01_v3:328431-329558
33,Pf3D7_01_v3:328431-329558
34,Pf3D7_01_v3:349170-349709
35,Pf3D7_01_v3:349995-351626
36,Pf3D7_01_v3:357834-360339
37,Pf3D7_01_v3:357834-360339
38,Pf3D7_01_v3:357834-360339
39,Pf3D7_01_v3:369480-370178
40,Pf3D7_01_v3:374439-375087
41,Pf3D7_01_v3:376294-377004
42,Pf3D7_01_v3:377874-378599
43,Pf3D7_01_v3:392604-393035
44,Pf3D7_01_v3:413760-415100
45,Pf3D7_01_v3:430152-430858
46,Pf3D7_01_v3:430152-430858
47,Pf3D7_01_v3:430152-430858
48,Pf3D7_01_v3:439652-441418
49,Pf3D7_01_v3:446026-448849
50,Pf3D7_01_v3:450043-450646
51,Pf3D7_01_v3:450043-450646
52,Pf3D7_01_v3:450043-450646
53,Pf3D7_01_v3:450831-453118
54,Pf3D7_01_v3:454847-455338
55,Pf3D7_01_v3:481809-482618
56,Pf3D7_01_v3:547597-548380
57,Pf3D7_01_v3:547597-548380
58,Pf3D7_01_v3:547597-548380
59,Pf3D7_01_v3:577704-583789
60,Pf3D7_01_v3:577704-583789
61,Pf3D7_01_v3:577704-583789
62,Pf3D7_01_v3:587391-588394
63,Pf3D7_01_v3:587391-588394
64,Pf3D7_01_v3:587391-588394
65,Pf3D7_01_v3:604162-605531
66,Pf3D7_01_v3:604162-605531
67,Pf3D7_01_v3:604162-605531
68,Pf3D7_01_v3:607390-614893
69,Pf3D7_01_v3:607390-614893
70,Pf3D7_01_v3:607390-614893
71,Pf3D7_02_v3:25232-31168
72,Pf3D7_02_v3:25232-31168
73,Pf3D7_02_v3:25232-31168
74,Pf3D7_02_v3:73441-74396
75,Pf3D7_02_v3:73441-74396
76,Pf3D7_02_v3:73441-74396
77,Pf3D7_02_v3:77251-78808
78,Pf3D7_02_v3:77251-78808
79,Pf3D7_02_v3:77251-78808
80,Pf3D7_02_v3:81291-84165
81,Pf3D7_02_v3:81291-84165
82,Pf3D7_02_v3:81291-84165
83,Pf3D7_02_v3:86832-88791
84,Pf3D7_02_v3:86832-88791
85,Pf3D7_02_v3:86832-88791
86,Pf3D7_02_v3:91318-98838
87,Pf3D7_02_v3:91318-98838
88,Pf3D7_02_v3:91318-98838
89,Pf3D7_02_v3:103385-105796
90,Pf3D7_02_v3:103385-105796
91,Pf3D7_02_v3:103385-105796
92,Pf3D7_02_v3:109564-110580
93,Pf3D7_02_v3:127994-128314
