,0
0,Pf3D7_01_v3:29510-37126
1,Pf3D7_01_v3:29510-37126
2,Pf3D7_01_v3:29510-37126
3,Pf3D7_01_v3:38982-40207
4,Pf3D7_01_v3:38982-40207
5,Pf3D7_01_v3:38982-40207
6,Pf3D7_01_v3:42367-46507
7,Pf3D7_01_v3:42367-46507
8,Pf3D7_01_v3:42367-46507
9,Pf3D7_01_v3:50363-51636
10,Pf3D7_01_v3:50363-51636
11,Pf3D7_01_v3:50363-51636
12,Pf3D7_01_v3:74563-75366
13,Pf3D7_01_v3:74563-75366
14,Pf3D7_01_v3:74563-75366
15,Pf3D7_01_v3:104704-105209
16,Pf3D7_01_v3:263340-264223
17,Pf3D7_01_v3:286951-288918
18,Pf3D7_01_v3:302937-303398
19,Pf3D7_01_v3:349170-349709
20,Pf3D7_01_v3:369480-370178
21,Pf3D7_01_v3:374439-375087
22,Pf3D7_01_v3:376294-377004
23,Pf3D7_01_v3:392604-393035
24,Pf3D7_01_v3:413760-415100
25,Pf3D7_01_v3:481809-482618
26,Pf3D7_01_v3:547597-548380
27,Pf3D7_01_v3:547597-548380
28,Pf3D7_01_v3:547597-548380
29,Pf3D7_01_v3:577704-583789
30,Pf3D7_01_v3:577704-583789
31,Pf3D7_01_v3:577704-583789
32,Pf3D7_01_v3:587391-588394
33,Pf3D7_01_v3:587391-588394
34,Pf3D7_01_v3:587391-588394
35,Pf3D7_01_v3:604162-605531
36,Pf3D7_01_v3:604162-605531
37,Pf3D7_01_v3:604162-605531
38,Pf3D7_01_v3:607390-614893
39,Pf3D7_01_v3:607390-614893
40,Pf3D7_01_v3:607390-614893
41,Pf3D7_02_v3:25232-31168
42,Pf3D7_02_v3:25232-31168
43,Pf3D7_02_v3:25232-31168
44,Pf3D7_02_v3:73441-74396
45,Pf3D7_02_v3:73441-74396
46,Pf3D7_02_v3:73441-74396
47,Pf3D7_02_v3:77251-78808
48,Pf3D7_02_v3:77251-78808
49,Pf3D7_02_v3:77251-78808
50,Pf3D7_02_v3:81291-84165
51,Pf3D7_02_v3:81291-84165
52,Pf3D7_02_v3:81291-84165
53,Pf3D7_02_v3:86832-88791
54,Pf3D7_02_v3:86832-88791
55,Pf3D7_02_v3:86832-88791
56,Pf3D7_02_v3:91318-98838
57,Pf3D7_02_v3:91318-98838
58,Pf3D7_02_v3:91318-98838
59,Pf3D7_02_v3:103385-105796
60,Pf3D7_02_v3:103385-105796
61,Pf3D7_02_v3:103385-105796
62,Pf3D7_02_v3:109564-110580
63,Pf3D7_02_v3:127994-128314
64,Pf3D7_02_v3:137557-138389
65,Pf3D7_02_v3:192818-194199
66,Pf3D7_02_v3:217882-218907
67,Pf3D7_02_v3:232729-233476
68,Pf3D7_02_v3:232729-233476
69,Pf3D7_02_v3:232729-233476
70,Pf3D7_02_v3:245358-246699
71,Pf3D7_02_v3:270078-270619
72,Pf3D7_02_v3:271594-273009
73,Pf3D7_02_v3:352836-353628
74,Pf3D7_02_v3:356501-358014
75,Pf3D7_02_v3:356501-358014
76,Pf3D7_02_v3:425689-426497
77,Pf3D7_02_v3:492616-494306
78,Pf3D7_02_v3:535646-536146
79,Pf3D7_02_v3:540409-540969
80,Pf3D7_02_v3:557048-557696
81,Pf3D7_02_v3:668985-669841
82,Pf3D7_02_v3:715798-716549
83,Pf3D7_02_v3:715798-716549
84,Pf3D7_02_v3:715798-716549
85,Pf3D7_02_v3:717692-718281
86,Pf3D7_02_v3:720437-722661
87,Pf3D7_02_v3:731120-732312
88,Pf3D7_02_v3:772316-772690
89,Pf3D7_02_v3:773335-773754
90,Pf3D7_02_v3:774815-776036
91,Pf3D7_02_v3:774815-776036
92,Pf3D7_02_v3:774815-776036
93,Pf3D7_02_v3:809511-810298
