,fst:drc-ghana,fst:drc-tanzania,fst:drc-cambodia,fst:ghana-tanzania,fst:ghana-cambodia,fst:tanzania-cambodia
Pf3D7_01_v3:29510-37126,,,,,,
Pf3D7_01_v3:38982-40207,,,,,,
Pf3D7_01_v3:42367-46507,,,,,,
Pf3D7_01_v3:50363-51636,,,,,,
Pf3D7_01_v3:53778-55006,,,,,,
Pf3D7_01_v3:62187-63400,,,,,,
Pf3D7_01_v3:65817-66989,,,,,,
Pf3D7_01_v3:69304-70417,,,,,,
Pf3D7_01_v3:74563-75366,,,,,,
Pf3D7_01_v3:98819-102282,0.08348725807522538,0.006862548082750102,0.1608053163438116,0.14006489650926882,0.3505205425588098,0.10620101628205778
Pf3D7_01_v3:104704-105209,-0.002129600586519092,-0.0018556252593712199,0.014350082301693936,-0.002217469989309067,0.011868221278391647,0.006661716167823475
Pf3D7_01_v3:110750-115799,0.03794209072427186,0.004519280589493422,0.2954771846466361,0.07614922510977191,0.37572031183357046,0.06435001965506655
Pf3D7_01_v3:119041-121249,0.004003476793008297,0.014377028334967405,,0.03439893771804658,,
Pf3D7_01_v3:124517-125484,-0.00225012727223012,0.01082961471977312,0.07557646655099887,0.013619875906515392,0.07149106394442671,0.14739688909547277
Pf3D7_01_v3:126318-128141,-0.0017593031073307877,-3.9221918970144674e-05,,0.001100295862777641,,
Pf3D7_01_v3:128960-130840,-0.0017261466215278487,-0.0034602273220901802,0.021164847953245285,-0.002080233828482937,0.017708172473967082,0.02199301643308636
Pf3D7_01_v3:132086-133624,0.0015459446712315693,-0.0014479050781794958,,-0.0018065435797671077,,
Pf3D7_01_v3:134353-139257,0.04530562175736674,0.009615079856677757,0.15752537549338522,0.01703197835113466,0.23110174189752855,0.2507337172698734
Pf3D7_01_v3:140662-142219,0.03375427730411222,0.24714371390084627,,0.346670719305688,,
Pf3D7_01_v3:143640-146396,0.008446283482640966,0.0059782928471989825,0.2619190490238169,-0.001344480775472576,0.279064513284588,0.26625691563580123
Pf3D7_01_v3:147915-152777,0.001350702667426809,0.0050250914702550265,0.010428756398599082,0.005143564134883743,0.06703763856007046,0.05501007160577668
Pf3D7_01_v3:154176-160426,0.0005168114431481157,0.005247319356168648,0.3832299869954011,0.00598409542011232,0.33202582904015493,0.36337214991569594
Pf3D7_01_v3:161131-166229,0.0019296584840748194,0.007550761641283272,0.1262780177832811,0.00037962025327466106,0.10468970164778435,0.09985654909187605
Pf3D7_01_v3:166513-168687,-0.0007312379598855069,-0.003009220045917174,0.1487211575569257,-0.0015575133202671693,0.1454144334914132,0.1512001184648744
Pf3D7_01_v3:169079-171273,-0.0011530345266101845,,,-0.000954258437721924,,
Pf3D7_01_v3:172864-174591,0.0007002548900680402,0.0022904740666206615,,-0.0016859386977716663,,
Pf3D7_01_v3:175609-176376,,,,,,
Pf3D7_01_v3:178087-180790,0.002734380707388513,0.007625149685384958,0.06976334040353017,0.011190927766248419,0.07143694651652809,0.08002501617104196
Pf3D7_01_v3:182822-184222,0.0072886506464648355,0.007731518414071429,,-0.0006822156618421095,,
Pf3D7_01_v3:190269-201230,0.1909021425606578,0.009896885684824523,0.18942929636175362,0.3061411076511234,0.05870868103689506,0.21269817432852794
Pf3D7_01_v3:202536-204143,,,,,,
Pf3D7_01_v3:204622-205455,0.06038740973529825,0.04397235564898943,0.4460903271535207,-0.0013677480622874072,0.254367999005778,0.27698236148613986
Pf3D7_01_v3:206170-210189,0.004647633563428687,0.000305954820146254,0.07133034910467445,0.00482820073205988,0.11979600670162742,0.06799265073182872
Pf3D7_01_v3:210870-213005,0.0020566809958685126,0.0005621291498661604,0.14802122590015473,-0.0010336271669785912,0.18066308949047233,0.17617445210230198
Pf3D7_01_v3:215776-217509,-0.0010151095719009517,-0.0003772893633422385,,,,
Pf3D7_01_v3:221202-221633,-0.0011697897263798092,,,,,
Pf3D7_01_v3:222254-223960,-0.001151644201875735,-0.0034864673473537816,,,,
Pf3D7_01_v3:225110-225779,,,,,,
Pf3D7_01_v3:226681-227285,,,,,,
Pf3D7_01_v3:228485-229519,-0.0011697897263798092,-0.00347711293164676,,,,
Pf3D7_01_v3:230289-234402,-0.0016766844190125826,0.00021889210166074646,-0.0006014262899533441,0.004817702262553096,0.002653855434848258,-0.002027786049175532
Pf3D7_01_v3:238666-247857,0.006787663744792466,0.0003216621422673637,-0.00412485885670336,0.009657150094197792,0.011309498947799382,-0.0035491015757931972
Pf3D7_01_v3:249231-252010,0.001179471364244915,-0.0018421380635669977,,,,-0.005346102103284441
Pf3D7_01_v3:253584-254930,0.005086370299064924,-0.0034794232624911917,,0.005570431653736211,,
