,tajimas_d_ns
Pf3D7_01_v3:98819-102282,-1.5469871584443138
Pf3D7_01_v3:104704-105209,-1.6109160856129985
Pf3D7_01_v3:110750-115799,-2.191507260623457
Pf3D7_01_v3:119041-121249,-1.9142368381603276
Pf3D7_01_v3:124517-125484,
Pf3D7_01_v3:126318-128141,-1.7089379927851915
Pf3D7_01_v3:128960-130840,-0.9281114646177935
Pf3D7_01_v3:132086-133624,-1.0940075904710256
Pf3D7_01_v3:134353-139257,-2.1269166123929613
Pf3D7_01_v3:140662-142219,-1.812065763935112
Pf3D7_01_v3:143640-146396,-1.3943600792051845
Pf3D7_01_v3:147915-152777,-1.7449551812314268
Pf3D7_01_v3:154176-160426,-1.5733639990888426
Pf3D7_01_v3:161131-166229,-0.8909573008053099
Pf3D7_01_v3:166513-168687,-1.7362312568731566
Pf3D7_01_v3:169079-171273,-1.5397401319455943
Pf3D7_01_v3:172864-174591,-1.89093109252135
Pf3D7_01_v3:175609-176376,
Pf3D7_01_v3:178087-180790,0.04245710433315502
Pf3D7_01_v3:182822-184222,-1.893364191644074
Pf3D7_01_v3:190269-201230,-2.444434259094861
Pf3D7_01_v3:202536-204143,-1.8518032186209539
Pf3D7_01_v3:204622-205455,-0.08388257238612092
Pf3D7_01_v3:206170-210189,-2.3947389237594665
Pf3D7_01_v3:210870-213005,-1.9555738321606293
Pf3D7_01_v3:215776-217509,-1.541984277031507
Pf3D7_01_v3:221202-221633,
Pf3D7_01_v3:222254-223960,-1.7672965029637837
Pf3D7_01_v3:228485-229519,-1.3863497475776052
Pf3D7_01_v3:230289-234402,-2.3201862559175694
Pf3D7_01_v3:238666-247857,-2.3083044058801443
Pf3D7_01_v3:249231-252010,-1.9860731875002524
Pf3D7_01_v3:253584-254930,-1.3115135249932313
Pf3D7_01_v3:255775-258543,-1.8636042708768654
Pf3D7_01_v3:260658-261809,
Pf3D7_01_v3:263340-264223,-1.3863497475776052
Pf3D7_01_v3:265208-269173,-1.87779837844954
Pf3D7_01_v3:272454-273404,-1.5432997972249434
Pf3D7_01_v3:274315-278550,-2.24496879019518
Pf3D7_01_v3:279115-280014,-1.542906359470397
Pf3D7_01_v3:281155-285459,-2.0342964918142217
Pf3D7_01_v3:286951-288918,-1.6670932007310164
Pf3D7_01_v3:290386-292590,-2.153850879483209
Pf3D7_01_v3:295300-296931,-1.7567465986270954
Pf3D7_01_v3:297362-299397,-1.7339632980327528
Pf3D7_01_v3:299562-300868,-1.665852335287442
Pf3D7_01_v3:302937-303398,
Pf3D7_01_v3:304362-309257,-1.94563497272173
Pf3D7_01_v3:314618-319405,-2.144485128263063
Pf3D7_01_v3:320168-321508,
Pf3D7_01_v3:322371-326072,-1.9740461924866841
Pf3D7_01_v3:326397-327224,
Pf3D7_01_v3:330738-332708,-1.9922765205199993
Pf3D7_01_v3:337168-343833,-2.235594756282799
Pf3D7_01_v3:344400-346540,-1.0814996853297705
Pf3D7_01_v3:349170-349709,-1.3863497475776052
Pf3D7_01_v3:349995-351626,-1.546843316490769
Pf3D7_01_v3:352314-356211,-2.2519242001897886
Pf3D7_01_v3:363318-363992,
Pf3D7_01_v3:365610-368795,-2.0065231748928327
Pf3D7_01_v3:369480-370178,-1.8049993478895394
Pf3D7_01_v3:371815-373012,-1.6651381433563082
Pf3D7_01_v3:374439-375087,-1.536578560340458
Pf3D7_01_v3:376294-377004,
Pf3D7_01_v3:377874-378599,
Pf3D7_01_v3:379149-379806,
Pf3D7_01_v3:380697-382424,-1.8524561020952808
Pf3D7_01_v3:383284-386632,-2.0953290670035285
Pf3D7_01_v3:386708-387940,-1.1801456181487733
Pf3D7_01_v3:388372-389076,-0.19473977258216926
Pf3D7_01_v3:389261-392065,-2.1350167698368216
Pf3D7_01_v3:392604-393035,-1.3450518301584389
Pf3D7_01_v3:393875-394835,-1.5070464576176177
Pf3D7_01_v3:396591-403606,-2.2989658657377414
Pf3D7_01_v3:405739-412169,-2.386298674358269
Pf3D7_01_v3:413760-415100,-1.542448361224428
Pf3D7_01_v3:417921-419607,-1.4055297240434288
Pf3D7_01_v3:420293-420853,
Pf3D7_01_v3:421776-427575,-2.2446058860850417
Pf3D7_01_v3:431539-435042,-2.20050440862953
Pf3D7_01_v3:436408-438564,-1.4050556935885368
Pf3D7_01_v3:439652-441418,-1.632760989441991
Pf3D7_01_v3:442543-443289,-1.3871449585756557
Pf3D7_01_v3:446026-448849,-1.39978617171347
Pf3D7_01_v3:450831-453118,
Pf3D7_01_v3:454847-455338,-1.3857972915920016
