,tajimas_d_ns
Pf3D7_01_v3:98819-102282,-1.5702581269547273
Pf3D7_01_v3:104704-105209,-1.0666091980683192
Pf3D7_01_v3:110750-115799,-2.4390260405365107
Pf3D7_01_v3:119041-121249,-2.2633651594381066
Pf3D7_01_v3:124517-125484,-1.531183408393779
Pf3D7_01_v3:126318-128141,-2.259373047526636
Pf3D7_01_v3:128960-130840,-2.056630728269762
Pf3D7_01_v3:132086-133624,-1.5661958551364994
Pf3D7_01_v3:134353-139257,-2.3622006261848134
Pf3D7_01_v3:140662-142219,-2.01368586069232
Pf3D7_01_v3:143640-146396,-2.2001287601857817
Pf3D7_01_v3:147915-152777,-2.3531475175482037
Pf3D7_01_v3:154176-160426,-2.223791042654764
Pf3D7_01_v3:161131-166229,-1.6135373417669348
Pf3D7_01_v3:166513-168687,-2.230439515752635
Pf3D7_01_v3:169079-171273,-1.9061344881112978
Pf3D7_01_v3:172864-174591,-1.802565615742648
Pf3D7_01_v3:175609-176376,-1.6726261737506194
Pf3D7_01_v3:178087-180790,-0.09298742634305189
Pf3D7_01_v3:182822-184222,-2.0153473521249787
Pf3D7_01_v3:190269-201230,-2.6171175405897826
Pf3D7_01_v3:202536-204143,-1.9379030559038677
Pf3D7_01_v3:204622-205455,-1.3850877287256373
Pf3D7_01_v3:206170-210189,-2.531482296095896
Pf3D7_01_v3:210870-213005,-2.21785926147492
Pf3D7_01_v3:215776-217509,-1.938182692517904
Pf3D7_01_v3:221202-221633,-1.4617903051322794
Pf3D7_01_v3:222254-223960,-2.1837834901840014
Pf3D7_01_v3:225110-225779,-1.4619017578622544
Pf3D7_01_v3:226681-227285,-1.309085447348574
Pf3D7_01_v3:228485-229519,-1.8428130760519794
Pf3D7_01_v3:230289-234402,-2.52329363522067
Pf3D7_01_v3:238666-247857,-2.5741136480979425
Pf3D7_01_v3:249231-252010,-2.3699950658438778
Pf3D7_01_v3:253584-254930,-2.188190593585218
Pf3D7_01_v3:255775-258543,-2.288870403930872
Pf3D7_01_v3:260658-261809,-1.717827919698083
Pf3D7_01_v3:263340-264223,
Pf3D7_01_v3:265208-269173,-2.3931771052374047
Pf3D7_01_v3:272454-273404,-1.4618148426785709
Pf3D7_01_v3:274315-278550,-2.560290573950371
Pf3D7_01_v3:279115-280014,-1.557595616729409
Pf3D7_01_v3:281155-285459,-2.2460819682346025
Pf3D7_01_v3:286951-288918,
Pf3D7_01_v3:290386-292590,-2.3104148241031077
Pf3D7_01_v3:293642-294968,-1.4022095294087535
Pf3D7_01_v3:295300-296931,-2.101474404335173
Pf3D7_01_v3:297362-299397,-1.7384175296592652
Pf3D7_01_v3:299562-300868,-2.082801742958143
Pf3D7_01_v3:302937-303398,
Pf3D7_01_v3:304362-309257,-2.382066249900742
Pf3D7_01_v3:314618-319405,-2.5442567258692006
Pf3D7_01_v3:320168-321508,-2.200940389926704
Pf3D7_01_v3:322371-326072,-2.5246487651281084
Pf3D7_01_v3:326397-327224,-1.8333365043805347
Pf3D7_01_v3:328431-329558,-1.5704440798045103
Pf3D7_01_v3:330738-332708,-1.905669183871476
Pf3D7_01_v3:337168-343833,-2.4327596707707975
Pf3D7_01_v3:344400-346540,-2.0181901674157263
Pf3D7_01_v3:349170-349709,-1.6731218188829258
Pf3D7_01_v3:349995-351626,-2.149838140509978
Pf3D7_01_v3:352314-356211,-2.5248468446945926
Pf3D7_01_v3:357834-360339,-1.7462325477924923
Pf3D7_01_v3:363318-363992,-1.5448195388690356
Pf3D7_01_v3:365610-368795,-2.4534586854789824
Pf3D7_01_v3:369480-370178,-1.6729244784746344
Pf3D7_01_v3:371815-373012,-1.4614275974434814
Pf3D7_01_v3:374439-375087,-1.5836863327959625
Pf3D7_01_v3:376294-377004,-1.5709081856017126
Pf3D7_01_v3:377874-378599,-1.3871102415602297
Pf3D7_01_v3:379149-379806,-1.202502433961641
Pf3D7_01_v3:380697-382424,-2.237631127302207
Pf3D7_01_v3:383284-386632,-2.2790775117484148
Pf3D7_01_v3:386708-387940,-1.5793528785961617
Pf3D7_01_v3:388372-389076,-1.3620593671675145
Pf3D7_01_v3:389261-392065,-2.287291573328147
Pf3D7_01_v3:392604-393035,-1.5062438657724562
Pf3D7_01_v3:393875-394835,-1.5446713396805938
Pf3D7_01_v3:396591-403606,-2.5996408001697215
Pf3D7_01_v3:405739-412169,-2.464479774164887
Pf3D7_01_v3:413760-415100,-1.8636978068287309
Pf3D7_01_v3:417921-419607,-1.5504081568891936
Pf3D7_01_v3:420293-420853,-1.7597241171750853
Pf3D7_01_v3:421776-427575,-2.5759601086625747
Pf3D7_01_v3:430152-430858,
Pf3D7_01_v3:431539-435042,-2.423651049992655
Pf3D7_01_v3:436408-438564,-2.0630157890821597
Pf3D7_01_v3:439652-441418,-1.9876729569877085
Pf3D7_01_v3:442543-443289,-1.219715712000654
Pf3D7_01_v3:446026-448849,-1.7273763094900545
Pf3D7_01_v3:450043-450646,
Pf3D7_01_v3:450831-453118,
Pf3D7_01_v3:454847-455338,-1.3084575091525517
Pf3D7_01_v3:464726-470194,-2.093505889504092
Pf3D7_01_v3:481809-482618,
Pf3D7_01_v3:487892-490127,-1.0808255356844683
Pf3D7_01_v3:495244-500076,-1.5861231392712023
Pf3D7_01_v3:500959-502868,-1.3225840104732707
Pf3D7_01_v3:504938-506874,-1.7178141174666395
Pf3D7_01_v3:508252-509748,-2.1741964160400107
Pf3D7_01_v3:520807-522579,-1.5925552986082439
Pf3D7_01_v3:527107-536351,0.4146604989970674
Pf3D7_01_v3:537109-538025,-0.3720626295228832
Pf3D7_01_v3:542480-546983,-2.121143252537321
Pf3D7_02_v3:109564-110580,-1.1713974512124585
Pf3D7_02_v3:120524-124102,-2.153513645598187
Pf3D7_02_v3:127994-128314,-1.431735194840607
Pf3D7_02_v3:129342-133563,-2.515370087485747
Pf3D7_02_v3:135523-137139,-1.7386269478794032
Pf3D7_02_v3:137557-138389,-1.6504250290575009
Pf3D7_02_v3:138927-141192,-2.4306495798323606
Pf3D7_02_v3:141625-147564,-2.5998421717604763
Pf3D7_02_v3:149524-156981,-2.6620250985251506
Pf3D7_02_v3:158137-159660,-2.0560644665583223
Pf3D7_02_v3:160514-161242,
Pf3D7_02_v3:162065-162900,-1.3095629205516683
Pf3D7_02_v3:166144-168051,-1.9966818268480775
Pf3D7_02_v3:168682-170136,-1.9243499335592942
