"Gene ID","source_id","Organism","Ortholog count","Paralog count","Ortholog Group","Genomic Location (Gene)"
"PF3D7_0100100","PF3D7_0100100.1","Plasmodium falciparum 3D7","2211","65","OG6_104345","Pf3D7_01_v3:29,510..37,126(+)"
"PF3D7_0100200","PF3D7_0100200.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_01_v3:38,982..40,207(-)"
"PF3D7_0100300","PF3D7_0100300.1","Plasmodium falciparum 3D7","2211","65","OG6_104345","Pf3D7_01_v3:42,367..46,507(-)"
"PF3D7_0100400","PF3D7_0100400.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_01_v3:50,363..51,636(+)"
"PF3D7_0100600","PF3D7_0100600.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_01_v3:53,778..55,006(-)"
"PF3D7_0100700","PF3D7_0100700.1","Plasmodium falciparum 3D7","906","26","OG6_110760","Pf3D7_01_v3:56,690..56,893(-)"
"PF3D7_0100800","PF3D7_0100800.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_01_v3:59,772..61,003(+)"
"PF3D7_0100900","PF3D7_0100900.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_01_v3:62,187..63,400(-)"
"PF3D7_0101000","PF3D7_0101000.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_01_v3:65,817..66,989(-)"
"PF3D7_0101100","PF3D7_0101100.1","Plasmodium falciparum 3D7","117","6","OG6_128062","Pf3D7_01_v3:69,304..70,417(-)"
"PF3D7_0101200","PF3D7_0101200.1","Plasmodium falciparum 3D7","145","8","OG6_128718","Pf3D7_01_v3:71,624..72,426(+)"
"PF3D7_0101300","PF3D7_0101300.1","Plasmodium falciparum 3D7","209","11","OG6_122335","Pf3D7_01_v3:74,295..75,622(+)"
"PF3D7_0101600","PF3D7_0101600.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_01_v3:81,765..83,106(-)"
"PF3D7_0101800","PF3D7_0101800.1","Plasmodium falciparum 3D7","871","30","OG6_109391","Pf3D7_01_v3:87,203..88,177(-)"
"PF3D7_0101900","PF3D7_0101900.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_01_v3:90,242..91,420(-)"
"PF3D7_0102200","PF3D7_0102200.1","Plasmodium falciparum 3D7","254","7","OG6_131931","Pf3D7_01_v3:97,590..103,615(+)"
"PF3D7_0102300","PF3D7_0102300.1","Plasmodium falciparum 3D7","26","0","OG6_533326","Pf3D7_01_v3:104,058..105,792(+)"
"PF3D7_0102500","PF3D7_0102500.1","Plasmodium falciparum 3D7","148","2","OG6_160717","Pf3D7_01_v3:109,005..117,516(-)"
"PF3D7_0102600","PF3D7_0102600.1","Plasmodium falciparum 3D7","561","18","OG6_111291","Pf3D7_01_v3:118,812..122,534(-)"
"PF3D7_0102700","PF3D7_0102700.1","Plasmodium falciparum 3D7","619","2","OG6_145873","Pf3D7_01_v3:124,394..126,213(+)"
"PF3D7_0102800","PF3D7_0102800.1","Plasmodium falciparum 3D7","45","0","OG6_532896","Pf3D7_01_v3:125,835..128,373(-)"
"PF3D7_0102900","PF3D7_0102900.1","Plasmodium falciparum 3D7","62","0","OG6_100778","Pf3D7_01_v3:128,569..131,554(-)"
"PF3D7_0103000","PF3D7_0103000.1","Plasmodium falciparum 3D7","60","0","OG6_102826","Pf3D7_01_v3:131,609..134,133(-)"
"PF3D7_0103100","PF3D7_0103100.1","Plasmodium falciparum 3D7","65","0","OG6_103074","Pf3D7_01_v3:134,155..140,371(-)"
"PF3D7_0103200","PF3D7_0103200.1","Plasmodium falciparum 3D7","63","0","OG6_533310","Pf3D7_01_v3:140,494..143,049(-)"
"PF3D7_0103300","PF3D7_0103300.1","Plasmodium falciparum 3D7","58","0","OG6_532990","Pf3D7_01_v3:143,389..146,959(-)"
"PF3D7_0103400","PF3D7_0103400.1","Plasmodium falciparum 3D7","52","0","OG6_101273","Pf3D7_01_v3:147,031..152,795(-)"
"PF3D7_0103500","PF3D7_0103500.1","Plasmodium falciparum 3D7","54","0","OG6_533411","Pf3D7_01_v3:153,669..160,630(+)"
"PF3D7_0103600","PF3D7_0103600.1","Plasmodium falciparum 3D7","35","0","OG6_533277","Pf3D7_01_v3:160,673..166,273(+)"
"PF3D7_0103700","PF3D7_0103700.1","Plasmodium falciparum 3D7","57","0","OG6_105960","Pf3D7_01_v3:166,497..168,687(+)"
"PF3D7_0103800","PF3D7_0103800.1","Plasmodium falciparum 3D7","58","0","OG6_103845","Pf3D7_01_v3:168,768..171,442(-)"
"PF3D7_0103900","PF3D7_0103900.1","Plasmodium falciparum 3D7","60","0","OG6_101728","Pf3D7_01_v3:172,470..175,055(+)"
"PF3D7_0104000","PF3D7_0104000.1","Plasmodium falciparum 3D7","60","0","OG6_532694","Pf3D7_01_v3:175,609..176,376(+)"
"PF3D7_0104100","PF3D7_0104100.1","Plasmodium falciparum 3D7","59","0","OG6_532817","Pf3D7_01_v3:177,187..181,825(+)"
"PF3D7_0104200","PF3D7_0104200.1","Plasmodium falciparum 3D7","60","0","OG6_532641","Pf3D7_01_v3:182,205..184,820(-)"
"PF3D7_0104300","PF3D7_0104300.1","Plasmodium falciparum 3D7","45","0","OG6_129339","Pf3D7_01_v3:188,420..201,324(+)"
"PF3D7_0104400","PF3D7_0104400.1","Plasmodium falciparum 3D7","60","0","OG6_105777","Pf3D7_01_v3:201,354..204,250(+)"
"PF3D7_0104500","PF3D7_0104500.1","Plasmodium falciparum 3D7","61","0","OG6_110534","Pf3D7_01_v3:204,368..205,612(-)"
"PF3D7_0104600","PF3D7_0104600.1","Plasmodium falciparum 3D7","43","0","OG6_533159","Pf3D7_01_v3:205,812..210,273(+)"
"PF3D7_0104700","PF3D7_0104700.1","Plasmodium falciparum 3D7","57","0","OG6_533318","Pf3D7_01_v3:210,870..213,005(+)"
"PF3D7_0104800","PF3D7_0104800.1","Plasmodium falciparum 3D7","64","0","OG6_129777","Pf3D7_01_v3:215,143..217,616(+)"
"PF3D7_0105100","PF3D7_0105100.1","Plasmodium falciparum 3D7","61","0","OG6_160718","Pf3D7_01_v3:220,727..221,928(+)"
"PF3D7_0105200","PF3D7_0105200.1","Plasmodium falciparum 3D7","61","0","OG6_139431","Pf3D7_01_v3:222,086..224,501(-)"
