GENE	TRANS	NAME	NS	SYN	FFD	TOTAL_CODING_LENGTH	PROP_NS	PROP_SYN	PROP_FFD	STOP_CODONS	FULL_LENGTH	COORD	variable	value	ID	coding_length_adj
PF3D7_1312500	PF3D7_1312500.1	conserved Plasmodium protein, unknown function	146.3333333	51.66666667	35	198	0.739057239	0.260942761	0.176767677	1	198	location=Pf3D7_13_v3:526863-527060(-)	1	0.92	PF3D7_1312500	182.16
PF3D7_1312450	PF3D7_1312450.1	apical ring associated protein 1, putative	144.0	48.0	33	192	0.75	0.25	0.171875	1	192	location=Pf3D7_13_v3:525028-525219(-)	1	0.868421052631579	PF3D7_1312450	166.73684210526318
PF3D7_0401800	PF3D7_0401800.1	Plasmodium exported protein (PHISTb), unknown function	1269.5	413.5	288	1683	0.754307784	0.245692216	0.171122995	1	1862	location=Pf3D7_04_v3:103742-105603(-)	4	0.7647058823529411	PF3D7_0401800	1287.0
PF3D7_0320900	PF3D7_0320900.1	histone H2A.Z	359.0	118.0	81	477	0.752620545	0.247379455	0.169811321	1	1083	location=Pf3D7_03_v3:875213-876295(+)	6	0.8068181818181818	PF3D7_0320900	384.8522727272727
PF3D7_0516200	PF3D7_0516200.1	40S ribosomal protein S11	343.3333333	112.6666667	77	456	0.752923977	0.247076023	0.168859649	1	806	location=Pf3D7_05_v3:675809-676614(-)	4	0.7472527472527473	PF3D7_0516200	340.74725274725273
PF3D7_0532100	PF3D7_0532100.1	early transcribed membrane protein 5	417.1666667	128.8333333	92	546	0.764041514	0.235958486	0.168498168	1	546	location=Pf3D7_05_v3:1301224-1301769(+)	2	0.822429906542056	PF3D7_0532100	449.0467289719626
PF3D7_0519200	PF3D7_0519200.1	V-type proton ATPase 16 kDa proteolipid subunit	374.3333333	123.6666667	79	498	0.75167336	0.24832664	0.158634538	1	1218	location=Pf3D7_05_v3:791719-792936(-)	6	0.725	PF3D7_0519200	361.05
PF3D7_0501400	PF3D7_0501400.1	interspersed repeat antigen	4008.333333	1154.666667	819	5163	0.776357415	0.223642585	0.158628704	1	5334	location=Pf3D7_05_v3:74509-79842(+)	4	0.2368896925858951	PF3D7_0501400	1223.0614828209764
PF3D7_0206800	PF3D7_0206800.1	merozoite surface protein 2	635.0	184.0	129	819	0.775335775	0.224664225	0.157509158	1	819	location=Pf3D7_02_v3:273689-274507(-)	3	0.7227722772277227	PF3D7_0206800	591.950495049505
PF3D7_0627500	PF3D7_0627500.1	protein DJ-1	433.8333333	136.1666667	89	570	0.761111111	0.238888889	0.156140351	1	1119	location=Pf3D7_06_v3:1101734-1102852(-)	2	0.7191011235955056	PF3D7_0627500	409.8876404494382
PF3D7_1354400	PF3D7_1354400.1	V-type proton ATPase 21 kDa proteolipid subunit, putative	414.3333333	131.6666667	85	546	0.758852259	0.241147741	0.155677656	1	1103	location=Pf3D7_13_v3:2169314-2170416(-)	4	0.7461538461538462	PF3D7_1354400	407.40000000000003
PF3D7_1401400	PF3D7_1401400.1	early transcribed membrane protein 14.1	247.5	76.5	50	324	0.763888889	0.236111111	0.154320988	1	324	location=Pf3D7_14_v3:53411-53734(-)	3	0.7398373983739838	PF3D7_1401400	239.70731707317074
PF3D7_1407100	PF3D7_1407100.1	rRNA 2'-O-methyltransferase fibrillarin, putative	735.8333333	221.1666667	147	957	0.768895855	0.231104145	0.153605016	1	1243	location=Pf3D7_14_v3:258746-259988(+)	3	0.6984924623115578	PF3D7_1407100	668.4572864321608
PF3D7_0617800	PF3D7_0617800.1	histone H2A	302.6666667	96.33333333	60	399	0.758563074	0.241436926	0.15037594	1	399	location=Pf3D7_06_v3:748416-748814(-)	6	0.6836734693877551	PF3D7_0617800	272.7857142857143
PF3D7_0831800	PF3D7_0831800.1	histidine-rich protein II	720.5	197.5	137	918	0.784858388	0.215141612	0.149237473	1	1064	location=Pf3D7_08_v3:1374236-1375299(-)	1	0.0	PF3D7_0831800	0.0
PF3D7_1300600	PF3D7_1300600.1	rifin	794.5	243.5	154	1038	0.765414258	0.234585742	0.148362235	1	1193	location=Pf3D7_13_v3:54067-55259(-)	3	0.0	PF3D7_1300600	0.0
PF3D7_1462800	PF3D7_1462800.1	glyceraldehyde-3-phosphate dehydrogenase	781.3333333	232.6666667	150	1014	0.770545694	0.229454306	0.147928994	1	1250	location=Pf3D7_14_v3:2559098-2560347(+)	3	0.5531914893617021	PF3D7_1462800	560.936170212766
PF3D7_0516900	PF3D7_0516900.1	60S ribosomal protein L2	597.6666667	185.3333333	114	783	0.763303533	0.236696467	0.14559387	1	1011	location=Pf3D7_05_v3:712762-713772(-)	6	0.5607476635514018	PF3D7_0516900	439.0654205607476
PF3D7_1121600	PF3D7_1121600.1	exported protein 1	380.3333333	108.6666667	71	489	0.777777778	0.222222222	0.145194274	1	937	location=Pf3D7_11_v3:815386-816322(-)	5	0.8032786885245902	PF3D7_1121600	392.8032786885246
PF3D7_0714000	PF3D7_0714000.1	histone H2B variant	285.3333333	86.66666667	54	372	0.76702509	0.23297491	0.14516129	1	372	location=Pf3D7_07_v3:643101-643472(-)	4	0.3936170212765957	PF3D7_0714000	146.4255319148936
PF3D7_1447000	PF3D7_1447000.1	40S ribosomal protein S5	626.8333333	192.1666667	117	819	0.765364265	0.234635735	0.142857143	1	1449	location=Pf3D7_14_v3:1929931-1931379(+)	5	0.472636815920398	PF3D7_1447000	387.089552238806
PF3D7_1456800	PF3D7_1456800.1	V-type H(+)-translocating pyrophosphatase, putative	1642.5	511.5	305	2154	0.762534819	0.237465181	0.141597029	1	2154	location=Pf3D7_14_v3:2329933-2332086(-)	4	0.5743243243243243	PF3D7_1456800	1237.0945945945946
PF3D7_0406200	PF3D7_0406200.1	parasitophorous vacuole membrane protein S16	370.1666667	103.8333333	67	474	0.780942335	0.219057665	0.141350211	1	474	location=Pf3D7_04_v3:329216-329689(+)	5	0.8130841121495327	PF3D7_0406200	385.40186915887847
PF3D7_1105100	PF3D7_1105100.1	histone H2B	272.3333333	81.66666667	50	354	0.769303202	0.230696798	0.141242938	1	354	location=Pf3D7_11_v3:226065-226418(+)	6	0.5892857142857143	PF3D7_1105100	208.60714285714286
PF3D7_1215300	PF3D7_1215300.1	10 kDa chaperonin	239.0	73.0	44	312	0.766025641	0.233974359	0.141025641	1	659	location=Pf3D7_12_v3:629009-629667(-)	3	0.8095238095238095	PF3D7_1215300	252.57142857142858
PF3D7_0501300	PF3D7_0501300.1	skeleton-binding protein 1	790.1666667	223.8333333	143	1014	0.779257068	0.220742932	0.141025641	1	1184	location=Pf3D7_05_v3:68930-70113(+)	1	0.7272727272727273	PF3D7_0501300	737.4545454545455
PF3D7_1105900	PF3D7_1105900.1	conserved Plasmodium membrane protein, unknown function	306.1666667	92.83333333	56	399	0.767335004	0.232664996	0.140350877	1	399	location=Pf3D7_11_v3:254523-254921(+)	3	0.7479674796747967	PF3D7_1105900	298.4390243902439
PF3D7_1444800	PF3D7_1444800.1	fructose-bisphosphate aldolase	852.1666667	257.8333333	155	1110	0.767717718	0.232282282	0.13963964	1	1577	location=Pf3D7_14_v3:1844041-1845617(-)	5	0.4776119402985074	PF3D7_1444800	530.1492537313433
PF3D7_0817800	PF3D7_0817800.1	respiratory chain complex 3 associated protein 3	126.6666667	38.33333333	23	165	0.767676768	0.232323232	0.139393939	1	302	location=Pf3D7_08_v3:815150-815451(+)	5	0.8333333333333334	PF3D7_0817800	137.5
PF3D7_0610400	PF3D7_0610400.1	histone H3	312.3333333	98.66666667	57	411	0.759935118	0.240064882	0.138686131	1	411	location=Pf3D7_06_v3:444747-445157(+)	5	0.6476190476190476	PF3D7_0610400	266.1714285714286
PF3D7_0617900	PF3D7_0617900.1	histone H3 variant	313.1666667	97.83333333	57	411	0.761962693	0.238037307	0.138686131	1	411	location=Pf3D7_06_v3:754395-754805(+)	6	0.43	PF3D7_0617900	176.73
PF3D7_1033200	PF3D7_1033200.1	early transcribed membrane protein 10.2	826.5	241.5	148	1068	0.773876404	0.226123596	0.138576779	1	1068	location=Pf3D7_10_v3:1335222-1336289(+)	5	0.8288590604026845	PF3D7_1033200	885.2214765100671
PF3D7_0805200	PF3D7_0805200.1	gamete release protein, putative	219.0	63.0	39	282	0.776595745	0.223404255	0.138297872	1	282	location=Pf3D7_08_v3:290902-291183(+)	4	0.7866666666666666	PF3D7_0805200	221.83999999999997
PF3D7_1331800	PF3D7_1331800.1	60S ribosomal protein L23, putative	322.3333333	97.66666667	58	420	0.767460317	0.232539683	0.138095238	1	791	location=Pf3D7_13_v3:1324012-1324802(+)	3	0.6947368421052632	PF3D7_1331800	291.7894736842105
PF3D7_1235700	PF3D7_1235700.1	ATP synthase subunit beta, mitochondrial	1241.833333	366.1666667	222	1608	0.772284411	0.227715589	0.138059701	1	1608	location=Pf3D7_12_v3:1487084-1488691(+)	3	0.4688346883468834	PF3D7_1235700	753.8861788617885
PF3D7_1454900	PF3D7_1454900.1	conserved protein, unknown function	365.3333333	99.66666667	64	465	0.785663082	0.214336918	0.137634409	1	465	location=Pf3D7_14_v3:2245100-2245564(-)	5	0.7395833333333334	PF3D7_1454900	343.90625
PF3D7_1357000	PF3D7_1357000.1	elongation factor 1-alpha	1032.333333	299.6666667	182	1332	0.775025025	0.224974975	0.136636637	1	1332	location=Pf3D7_13_v3:2265817-2267148(-)	4	0.091644204851752	PF3D7_1357000	122.07008086253366
PF3D7_1357100	PF3D7_1357100.1	elongation factor 1-alpha	1032.333333	299.6666667	182	1332	0.775025025	0.224974975	0.136636637	1	1332	location=Pf3D7_13_v3:2268901-2270232(+)	3	0.1061946902654867	PF3D7_1357100	141.45132743362828
PF3D7_1137800	PF3D7_1137800.1	sporozoite surface protein essential for liver stage development, putative	342.8333333	113.1666667	62	456	0.751827485	0.248172515	0.135964912	1	627	location=Pf3D7_11_v3:1480900-1481526(-)	1	0.8775510204081632	PF3D7_1137800	400.1632653061224
PF3D7_0821800	PF3D7_0821800.1	protein transport protein SEC61 subunit beta, putative	188.1666667	54.83333333	33	243	0.774348422	0.225651578	0.135802469	1	571	location=Pf3D7_08_v3:976074-976644(+)	5	0.7681159420289855	PF3D7_0821800	186.65217391304347
PF3D7_0603500	PF3D7_0603500.1	cation/H+ antiporter	1021.5	304.5	180	1326	0.770361991	0.229638009	0.135746606	1	1326	location=Pf3D7_06_v3:139193-140518(+)	3	0.6151079136690647	PF3D7_0603500	815.6330935251798
PF3D7_0219200	PF3D7_0219200.1	40S ribosomal protein S30	137.5	39.5	24	177	0.776836158	0.223163842	0.13559322	1	375	location=Pf3D7_02_v3:772316-772690(+)	3	0.5	PF3D7_0219200	88.5
PF3D7_1021600	PF3D7_1021600.1	deoxyribose-phosphate aldolase, putative	616.1666667	175.8333333	107	792	0.777988215	0.222011785	0.13510101	1	792	location=Pf3D7_10_v3:871095-871886(+)	5	0.7294117647058823	PF3D7_1021600	577.6941176470588
PF3D7_0306900	PF3D7_0306900.1	40S ribosomal protein S23, putative	339.1666667	98.83333333	59	438	0.77435312	0.22564688	0.134703196	1	1154	location=Pf3D7_03_v3:310652-311805(+)	6	0.6859504132231405	PF3D7_0306900	300.44628099173553
PF3D7_0422300	PF3D7_0422300.1	alpha tubulin 2	1049.166667	303.8333333	182	1353	0.7754373	0.2245627	0.134515891	1	1680	location=Pf3D7_04_v3:1022487-1024166(+)	2	0.3929712460063898	PF3D7_0422300	531.6900958466454
PF3D7_0203400	PF3D7_0203400.1	conserved protein, unknown function	217.1666667	58.83333333	37	276	0.786835749	0.213164251	0.134057971	1	836	location=Pf3D7_02_v3:162065-162900(-)	5	0.8285714285714286	PF3D7_0203400	228.6857142857143
