,stage,Gene ID,Pfal_gene,Ppraefal_gene,score_adj,ns,s,ns_sites,s_sites,ffd,ffd_sites
17732,4,PF3D7_0308200,PF3D7_0308200.1,PPRFG01_0309500_t1,5.0,0,3,1171.6666666666665,304.33333333333314,2,160.0
17656,4,PF3D7_0210400,PF3D7_0210400.1,PPRFG01_0210400_t1,5.0,0,1,284.33333333333326,72.66666666666667,0,37.0
17653,4,PF3D7_0208500,PF3D7_0208500.1,PPRFG01_0208500_t1,5.0,0,0,336.00000000000017,74.99999999999999,0,31.0
17646,4,PF3D7_0204900,PF3D7_0204900.1,PPRFG01_0205000_t1,5.0,0,2,861.3333333333327,200.6666666666668,1,99.0
17625,4,PF3D7_0110700,PF3D7_0110700.1,PPRFG01_0109100_t1,5.0,0,1,1075.6666666666652,262.3333333333337,1,143.0
17472,3,PF3D7_1470900,PF3D7_1470900.1,PPRFG01_1471500_t1,5.0,0,1,472.33333333333394,112.66666666666653,0,53.0
22031,5,PF3D7_1315300,PF3D7_1315300.1,PPRFG01_1317200_t1,5.0,0,3,1182.3333333333328,248.66666666666697,1,105.0
17463,3,PF3D7_1466600,PF3D7_1466600.1,PPRFG01_1467200_t1,5.0,0,3,687.9999999999995,152.00000000000003,0,60.0
22032,5,PF3D7_1315400,PF3D7_1315400.1,PPRFG01_1317300_t1,5.0,0,1,874.6666666666654,214.33333333333363,1,107.0
17458,3,PF3D7_1463500,PF3D7_1463500.1,PPRFG01_1464100_t1,5.0,0,4,631.3333333333335,142.66666666666652,0,61.0
17456,3,PF3D7_1462800,PF3D7_1462800.1,PPRFG01_1463500_t1,5.0,0,0,785.9999999999992,225.0000000000002,0,150.0
17453,3,PF3D7_1461200,PF3D7_1461200.1,PPRFG01_1461900_t1,5.0,0,3,444.666666666667,104.33333333333326,0,43.0
17444,3,PF3D7_1459300,PF3D7_1459300.1,PPRFG01_1460000_t1,5.0,0,1,468.3333333333341,98.66666666666649,1,35.0
17443,3,PF3D7_1458900,PF3D7_1458900.1,PPRFG01_1459600_t1,5.0,0,2,567.3333333333336,122.6666666666665,0,55.0
17441,3,PF3D7_1455000,PF3D7_1455000.1,PPRFG01_1455700_t1,5.0,0,0,508.66666666666737,112.33333333333319,0,45.0
17433,3,PF3D7_1450200,PF3D7_1450200.1,PPRFG01_1450900_t1,5.0,0,0,317.0,61.00000000000006,0,16.0
17424,3,PF3D7_1443300,PF3D7_1443300.1,PPRFG01_1444000_t1,5.0,0,0,244.66666666666654,58.33333333333335,0,31.0
17655,4,PF3D7_0209300,PF3D7_0209300.1,PPRFG01_0209300_t1,5.0,0,3,576.3333333333333,143.66666666666666,2,65.0
17658,4,PF3D7_0211200,PF3D7_0211200.1,PPRFG01_0211300_t1,5.0,0,1,569.9999999999999,134.99999999999994,0,65.0
22072,5,PF3D7_1328300,PF3D7_1328300.1,PPRFG01_1330300_t1,5.0,0,0,333.0,72.00000000000003,0,34.0
17664,4,PF3D7_0212600,PF3D7_0212600.1,PPRFG01_0212700_t1,5.0,0,1,609.0,140.99999999999991,1,72.0
23179,6,PF3D7_1211800,PF3D7_1211800.1,PPRFG01_1243100_t1,5.0,0,39,897.3333333333328,245.66666666666683,19,133.0
