"Gene ID","source_id","Organism","Genomic Location (Gene)","Ortholog count","Paralog count","Ortholog Group"
"PF3D7_0100100","PF3D7_0100100.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:29,510..37,126(+)","2211","65","OG6_104345"
"PF3D7_0100200","PF3D7_0100200.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:38,982..40,207(-)","4601","156","OG6_100719"
"PF3D7_0100300","PF3D7_0100300.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:42,367..46,507(-)","2211","65","OG6_104345"
"PF3D7_0100400","PF3D7_0100400.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:50,363..51,636(+)","4601","156","OG6_100719"
"PF3D7_0100600","PF3D7_0100600.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:53,778..55,006(-)","4601","156","OG6_100719"
"PF3D7_0100700","PF3D7_0100700.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:56,690..56,893(-)","906","26","OG6_110760"
"PF3D7_0100800","PF3D7_0100800.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:59,772..61,003(+)","4601","156","OG6_100719"
"PF3D7_0100900","PF3D7_0100900.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:62,187..63,400(-)","4601","156","OG6_100719"
"PF3D7_0101000","PF3D7_0101000.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:65,817..66,989(-)","4601","156","OG6_100719"
"PF3D7_0101100","PF3D7_0101100.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:69,304..70,417(-)","117","6","OG6_128062"
"PF3D7_0101200","PF3D7_0101200.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:71,624..72,426(+)","145","8","OG6_128718"
"PF3D7_0101300","PF3D7_0101300.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:74,295..75,622(+)","209","11","OG6_122335"
"PF3D7_0101600","PF3D7_0101600.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:81,765..83,106(-)","4601","156","OG6_100719"
"PF3D7_0101800","PF3D7_0101800.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:87,203..88,177(-)","871","30","OG6_109391"
"PF3D7_0101900","PF3D7_0101900.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:90,242..91,420(-)","4601","156","OG6_100719"
"PF3D7_0102200","PF3D7_0102200.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:97,590..103,615(+)","254","7","OG6_131931"
"PF3D7_0102300","PF3D7_0102300.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:104,058..105,792(+)","26","0","OG6_533326"
"PF3D7_0102500","PF3D7_0102500.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:109,005..117,516(-)","148","2","OG6_160717"
"PF3D7_0102600","PF3D7_0102600.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:118,812..122,534(-)","561","18","OG6_111291"
"PF3D7_0102700","PF3D7_0102700.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:124,394..126,213(+)","619","2","OG6_145873"
"PF3D7_0102800","PF3D7_0102800.1","Plasmodium falciparum 3D7","Pf3D7_01_v3:125,835..128,373(-)","45","0","OG6_532896"
